user_name,star,comment_time,vote,short
饥饿艺术家,4,2009-11-04 11:23:02,137,孩儿，你行的！你的声音太华丽太质感了！趁着孙燕姿忙着设计服装和演唱会的当，赶紧抢占市场吧！姐看好你！
哪吒男,4,2013-10-28 17:38:43,118,凝视睁开眼睛，私语鼓动耳膜，亲吻撬开嘴唇，拥抱伸展双臂。爱是生命的启蒙是感官的革命，四肢五官无一幸免。原来眼神不能传情，原来耳听可以为虚，原来谎言不能拆穿，原来相拥不能取暖。爱，与时间空间无关，只是一场感官的体验。
叶酱,4,2012-04-07 14:14:43,131,我们曾相爱，想到就心酸
锐利修蕊,5,2011-04-23 11:23:42,36,太好了，以至于过早觉得这就是他的最佳专辑（孤僻鬼需要爱一个人）。
夏日扬帆,5,2009-10-31 17:19:45,16,这张当年就是平地一声雷啊
░▒▓██,5,2009-10-30 21:21:33,5,OMG！！！
🌈時雨,3,2012-03-27 16:44:20,6,烂大街烂KTV的歌真心爱不起第一次听说谎就是在KTV里有人点唱完了又有人继续点唱还模仿地不伦不类KTV里嘶吼娱乐过后就什么都不会留下也不会放进MP3慢慢听的歌目前喜欢的是<飘>
PabloHoney,5,2012-07-13 23:17:40,5,我整个人都魔怔了啊！！！
潋 | Béatrice,5,2009-11-26 04:16:09,1,不是适合他的风格
肖浑,4,2010-01-05 17:13:12,4,耳朵说谎心酸解HIGH人
tlmgt,4,2011-05-19 13:52:39,4,解high人
阿朽,4,2012-08-04 10:31:22,1,不错！
停用豆瓣勿cue,3,2011-11-27 18:02:56,1,内地版删了「看见什么吃什么」
Bill,4,2009-11-23 18:37:11,1,都没第一张好
斯 琰 🌈 🍭,5,2011-09-25 17:16:23,6,无需多言我爱yoga
Dyingpluto,4,2009-10-30 14:29:29,0,http://ent.qq.com/a/20091102/000079.htmhttp://ent.qq.com/a/20091102/000491.htm
颜良辰,3,2009-10-30 21:38:34,0,还不错。我得找到残酷月光。
sys1010,5,2009-11-09 23:00:41,4,五星给说谎。
口袋_肥力士,4,2013-04-16 21:51:13,2,CD版里唱歇斯底里实在是放不开，现场版好多了，总觉得他的声音还能再放开一点的
tensa,5,2010-01-17 00:51:20,4,力推的原因是心酸和说谎
鸭酱,5,2010-04-10 22:46:33,1,嘉哥威武
雅克,4,2009-11-09 21:56:08,0,为什么第一遍下来没有抓耳之作。。
zard砸得王大崩,4,2009-11-10 21:15:55,1,幸运的小子，你遇上如此棒的音乐。希望你能历练更多，唱得更好听些~飘~心酸~解high人
门柱,NaN,2011-12-21 13:32:54,4,小娘炮儿唐人街不错
川总,4,2011-06-01 13:17:37,0,哟，还不错呢。
