user_name,star,comment_time,vote,short
素手纤纤,5,2007-12-06 12:21:35,484,我给这张专辑打满分。十年后再听，新的体会。好的专辑应该如此。
鱼婆婆,5,2010-01-10 14:46:28,395,听到newboy会异常的开心起来==
何小刀,5,2012-02-29 22:24:10,210,你去2000，我已经要去2012了。
某线,5,2010-12-07 16:42:25,122,中学时东四十条一家小音像店买的，他娘的当时这盘翻来覆去都听烂了，好听带劲
韧勉,3,2008-09-20 17:05:37,20,糙
Homesick Alien,5,2014-01-01 01:57:45,68,不知怎么回事突然就想到了朴树的我去2000年，这一下儿啊，都过去那么久了。。。。1999年的最后一天晚上，在初中的操场上大家一起看焰火来着。。。。。
夏日扬帆,5,2010-07-28 17:34:53,37,实在是太好听了，我觉得我眼泪都要流下来了，我恨我不是八零后生人[newboy，白桦林，我去2000年]
[已注销],5,2016-12-13 23:56:12,40,在整个内地华语音乐史上都能占有一席之地的一张专辑，朴树凭这一张专辑就足以扬名立万，事实上确实如此。
Hey Johnny,5,2012-05-11 18:53:56,37,＂快些仰起你那苍白的脸吧／快些松开你那紧皱的眉吧你的生命她不长／不能用她来悲伤／那些坏天气／终于都会过去／人们都是这样地匆忙长大／那些疑问从来没有人回答／就让他们都去吧／随着风远远去吧／让该来的来／我们在这里等待／我们就这么唱唱唱唱／那些东西大麻都不能给你／那些风雨你也别想去逃避／就让他们都去吧／随着风远远去吧／都会好的／总会有的／那些风雨／还有阴霾／关于未来／就请你坦然／不要离开／不要离开／请你等待＂
何牧歌,5,2012-02-10 01:43:12,22,那个简简单单唱那些花儿的朴树，被张亚东搞成管弦乐之后，再也不见了。
virgin,5,2007-10-22 14:17:25,12,他在哪里呀?他都老了么?55~~个人舍得收的第一张高价首版是65元!:)。。
麦麦桥上的Hugo,5,2018-12-27 15:19:43,12,《NewBoy》和《旅途》陪伴了我下半年来的每一天。
齊克斯尼力佐飛,4,2012-03-30 23:04:01,7,我挺喜欢这张朴树的唱腔。
肖浑,5,2007-01-22 10:09:21,10,绝对的最爱
收音鸡·耳東,5,2012-09-06 18:20:34,5,已收卡带和CD都首版的:)~~
Song³,5,2010-01-02 22:57:23,12,白桦林/NewBoy
tlmgt,4,2011-08-20 23:04:14,9,虽然不太有感觉也许我不是那个时代的青年（。
唱游,5,2013-12-09 18:51:24,11,因为是你爱的，所以我也爱。
狮子人,5,2007-10-17 16:19:36,15,妈妈，我恶心。
Bill,5,2009-05-17 17:08:04,14,惊鸿一瞥《活着》
易召,5,2007-06-28 15:50:41,12,每一首都是彼时的青春代言
Hao,4,2010-01-17 14:36:04,4,我们在九月间相遇。
Sarcophagus,5,2013-01-21 23:18:44,10,西门酒吧街、汉学书店台阶、博论……
十六。,5,2012-04-29 19:40:04,4,静静的村庄，飘着白的雪……
品客,5,2013-10-08 14:53:22,9,#年轻的记忆真美好#快来吧奔腾电脑，就让它们代替我来思考，穿新衣吧剪新发型呀，轻松一下WINDOWS98，打扮漂亮，18岁是天堂。
Summer孙夏天,3,2011-08-14 00:45:29,5,妈妈，我..
T3的小喇叭,NaN,2010-07-30 22:22:34,7,召唤你敢再好听点吗？
DeerColin,5,2013-09-13 10:00:45,10,"中国民谣摇滚的典范！具有一定的社会批判性和思想性。朴树的轻重咬字和断句都很有个人特色。《火车开往冬天》编曲很有行进曲的感觉，就好像火车在开一样。《白桦林》的编曲美极了！""NewBoy""应该算是专辑里听去最轻松的歌曲了。"
RD,4,2013-03-08 23:39:10,3,初中那会儿很喜欢
sevear,5,2007-04-20 14:33:55,4,那些花儿永垂不朽
1806,5,2017-08-17 13:21:55,3,18年了
固力果guriko,5,2012-09-26 16:16:18,2,休息了9年我们演唱会见
Topfun,5,2012-03-31 22:36:16,8,那时觉得2000年好远
Luffyjun,4,2012-09-14 13:15:20,5,忧郁的声音。。感动过我的心
zard砸得王大崩,5,2007-09-05 19:22:40,1,高中时代的重要回忆
心猿,4,2009-12-12 17:51:45,3,现在也常回头听下《召唤》
走马,5,2009-10-16 14:35:54,4,我那会儿多喜欢~
太阳车,5,2008-03-25 14:49:52,2,最喜欢的一张朴树专辑
哈默林騎士,5,2006-03-20 03:37:55,2,永远的朴树，像一件纯棉白色T-shirt忧伤从不矫情，时光一直往前，剩下的就只是陪我们一路马不停蹄迷惘的声音了。
琦殿,3,2011-08-23 20:40:18,2,朴树啊，周迅啊，这种小青年我都无法欣赏。
苏樱,4,2009-08-01 00:06:55,2,我梦到一个孩子，在路边的花园哭泣——有没有这样一首歌，会让你心会跟着疼。听朴树的时候心会奇怪地跳动，不知道那是不是因为心疼。
何必在乎我是谁,5,2012-12-06 15:37:58,2,但是我還是覺得逼哥比這個好！！
眠去,4,2007-02-08 10:39:33,1,傻子才悲伤。
伊豆,5,2008-09-14 23:22:03,1,那些青葱岁月，我们多么喜爱那偏执沉默的少年~~
莊小壞,4,2009-06-25 18:40:25,1,4.5－－－我被深深吸引住了。他迷住我了。
Ridden,5,2010-08-14 16:09:18,2,NEWBOY。白桦林。
Pumpkinhead,5,2011-02-12 18:50:26,2,都是好歌
十万嬉皮Fz,5,2007-03-21 07:26:26,4,当年是让朴树带进摇滚门的
斯 琰 🌈 🍭,5,2016-03-17 13:21:06,2,「醉的人们呀举起杯，笑着眼里都是泪。」16年本该是一道鸿沟，但懵然一惊，我们仍然像极了“那些青年”。【Newboy丨白桦林丨那些花儿丨九月丨妈妈，我】
花伦,5,2013-10-16 23:51:48,1,翻出来听，总觉得又回到了小时候什么都不懂在电台听到朴树的时刻。过去这么多年，还是会在KTV唱这张专辑的歌，歌曲本身的魅力一点没少。
乡愁,5,2010-07-24 22:27:06,1,在他们的世界，生活是这么旧，让我总不快乐。/你可知人情冷暖，你可知世事艰险，天真是一种罪，在你成人的世界。/我们都是很柔软的动物，活在壳里发誓抵抗，最后不过丢盔卸甲慢慢地顺从。我们都是很微小的动物不足道。如果想要快乐一些，就要忘掉世界的辽阔。/《那些花儿》、《白桦林》。
梅生,NaN,2005-12-02 11:07:08,0,小P已经死了，就说这么多。
CiCi,5,2008-10-12 18:09:21,1,那些花儿在身后凋零。
Tiff,5,2011-02-27 08:48:04,1,首首都经典，喜欢那个时候的歌
半·糖®,4,2010-01-10 22:12:27,3,这儿有一支未来牌香烟你不想尝尝吗。。。我想反复的问
Gl,5,2012-05-29 23:42:23,2,我只是不想把这个世界看到太清楚。
薇羅尼卡,4,2006-11-06 13:12:05,1,朴树首张专辑，很不错~挺不错的专辑，耐听。
齐鲁矿业李德友,4,2008-11-03 23:56:18,2,我记得磁带里没有《九月》这首歌啊。
沉歌,5,2008-02-10 18:34:00,3,白桦林
风撼斜阳,4,2011-03-28 23:16:58,2,windows98啊啊
元気一杯咪噶酱,5,2013-06-23 15:23:18,1,【天真是一种罪】这是我第一个喜欢的歌手。记得那时小学时流行笔友，一个女孩子在信里问我喜欢哪个明星，我当时认真地思考了一下然后写下了朴树，她还问了我你怎么会喜欢他啊，我说我也不知道。现在想起来，我也只有音乐品味是难得的从小喜欢的人说出来就不丢脸的。
鹌鹑之丘白桃挞,5,2007-12-26 22:06:16,1,直接又温暖，哀伤、亲切。
绵羊头,5,2007-12-21 19:32:09,2,这是我最喜欢的一张朴树。之后再也没有那种可感动。
沉城,5,2009-05-30 14:45:57,1,我听的第一张流行专辑是他的《我去2000年》和《生如夏花》
我爱阳光,5,2007-11-02 23:02:34,1,无论何时何地，《那些花儿》总让我热泪盈眶~~
13平米宅,5,2011-08-11 17:18:11,1,我狠狠喜欢过他
Angeline35,5,2011-05-21 11:55:02,2,竟然十年已经过去。
迷鹿,5,2006-01-31 18:21:07,2,好怀旧。好喜欢。听朴树就应该听这张专辑~
海孩等pk14,5,2011-12-08 07:30:25,1,朴树朴树
Белка,5,2009-03-15 01:19:20,2,一晃十年就过去了...我还记得小学时候中午去悦姥姥家找她一起上学，一起看MTV，一起听那些花儿和白桦林.....笑当时什么都不懂，怎么居然也隐约听懂这些叛逆、忧郁、憧憬、离别……现实的感伤
crascopy,4,2021-06-07 00:23:58,9,80/100其实没啥厉害的，电子部分玩得糊成一团，比较动人的是吉他摇滚部分，旋律就是普通的好听，但配上他的肾虚唱法就有种独特的“青春气”
soloye,5,2008-10-12 01:25:44,1,后来，我又听了许多遍
汤之问棘🌈,3,2013-03-11 20:02:07,0,我去！2000年...
幽灵不会哭,5,2011-03-12 10:41:08,5,窦唯《黑梦》之后大陆唯一称得上“划时代”的专辑，充满力量、构架了完整而宏大的世界观。看看现在遍地的网络低俗歌星和一些搔首弄姿的港台明星，真是可悲，你们连给朴树提鞋的资格都没有！！
原獸god,5,2009-11-25 10:27:41,2,那时偶还听磁带。卡卡卡游走的那些粗糙而温柔的年少岁月。
千寻｜Scorpio,5,2014-04-08 20:24:38,1,无论什么时候听都能带动我的情绪。
poiuny,5,2013-03-30 23:08:03,2,补。1999年。Newboy
伍迪2在中国,5,2013-03-08 23:11:16,2,想当年啊，
明玥-醉™,5,2008-11-17 19:52:36,1,想起了流域~
愤怒的小鸡8,5,2009-09-30 00:03:36,2,买的第一张内地唱片当时初中
艾桑,4,2006-08-03 13:42:45,0,所谓的民谣？
kelling,5,2009-05-10 23:07:36,2,朴树最好的专辑，没有之一。每次听到都会感动的一地鸡皮疙瘩。
影子的素描,5,2009-07-27 11:24:18,1,我心中永远的经典
一又,5,2009-04-10 22:59:06,2,如果可以，我也去。
姽嫿ღ,5,2010-12-30 01:06:49,2,哎，朴树，当年你的歌见证了一个文艺妞的成长之初。不对，已经呈现茂盛之势了。
Parachute.cpp,4,2014-09-12 01:49:14,0,没什么意思
宋不吃,5,2011-10-03 23:00:50,1,真想回到那个年代去听音乐。
黏黏雲端,5,2014-11-05 09:06:23,1,穿新衣吧剪新发型呀
掩杀,NaN,2006-03-28 01:04:53,0,喜欢《妈妈，我》
基尔,5,2013-10-26 15:01:47,0,还是有精咽到
≌菩提风花,5,2007-06-22 11:11:06,1,~经典珍藏那个时期的朴树永恒而又一去不返...
豆友35496190,5,2012-05-19 22:59:36,0,朴树嫁给哪个女的了来着=口=
可乐我的命,5,2013-03-25 19:49:44,0,原谅全世界。
苍★☆☆☆☆,4,2010-09-10 20:36:04,1,那一瞬间，它的美让我震惊
傅善行,5,2009-10-31 23:52:47,0,2000，逝去的时代。
TristanShen,4,2009-01-16 18:26:40,0,4.3
BtKnowhere,5,2012-10-28 20:01:09,0,因为昨晚的树与花开始重新听起来，充满回忆的特别味道。
deo Z,4,2008-10-07 11:04:01,0,只喜欢《白桦林》。
Morpheus,5,2009-12-10 10:30:09,1,喵的，當年沒這張唱片估計也就沒這么輝煌的個人搖滾史了……
[已注销],5,2008-10-01 18:53:52,0,妈妈我恶心
