user_name,star,comment_time,vote,short
tlmgt,5,2011-06-07 00:31:32,401,蒲公英的约定。青花瓷是继东风破后的神曲。最长的电影是最考验现场的一首歌。
ladybird,NaN,2007-11-09 10:49:46,167,周董戀愛了。
Bill,4,2007-12-24 21:47:18,130,真是没什么感觉口水歌倒是很多什么『甜甜的』『阳光宅男』之类的很没思想11月2日上市算不上是优秀的作品很多歌都能同『不能说的秘密』抑或之前专辑中的作品扯上关系无法让人信服『青花瓷』是一个亮点但是同以前中国风的曲目相比仍显差距～
Song³,3,2007-12-21 16:44:48,106,青花瓷/最长的电影/彩虹
约翰柠檬,2,2011-11-02 21:26:41,46,从这张之后我再不买他的专辑了
猫打喷嚏,5,2010-04-27 19:44:36,40,小周近年来少有的佳作
MeetMeinaMaze,4,2011-12-28 21:27:47,15,现在回味，一切刚刚好，还有周董的幽默~
不万能青年,4,2012-07-07 15:20:02,15,为什么天这么安静，所有的云都跑到我这里。
Claire,4,2007-11-28 20:21:32,14,回头再去听，发现了别样的喜爱。
zard砸得王大崩,4,2007-11-09 12:15:08,12,notJay，butJay
锐利修蕊,4,2012-06-24 15:33:52,30,现在听勉强可以给这张平反一下。即使上半张有《青花瓷》，但都抵不上后半张的好，最喜欢《无双》。《甜甜的》就是周杰伦的《暖暖》，至此周杰伦彻底开始放弃对流行乐的深度琢磨，转而走向流行市场，开始进入个人音乐生涯第三阶段。
香水瓶,5,2008-11-22 14:51:32,19,青花瓷真是太好听
littletwo,3,2007-12-03 21:06:27,6,忙吧~
令糊葱,3,2008-10-12 11:59:33,3,。。。。
尧耳,3,2007-11-21 21:00:13,3,青花瓷，而已。
DeerColin,4,2013-04-12 21:50:42,8,卖萌初见端倪，可是《牛仔很忙》《甜甜的》还不至于接受不了，甚至个人还很喜欢《甜甜的》，《惊叹号》则完全是玩票。《青花瓷》虽然不是他最出色的中国风，但绝对是最具传唱度的。现在还蛮喜欢《阳光宅男》和《最长的电影》的
清弥,4,2017-07-14 11:46:47,16,彩虹/我不配/最长的电影
○Ⅴ○,4,2011-01-09 14:59:17,10,周氏口齿不清越来越难听到。但还是有好多经典好歌。最爱我不配。
踢踢踢,3,2007-11-07 10:32:33,2,真的是姚小民上身!!!偶像爆紅XD
范德一彪 Alex,3,2013-04-22 14:18:08,6,8这是周杰伦第一张垃圾专辑，《彩虹》新东方班，中午一个出来走在街上听到这首歌
眼角的花朵,3,2007-12-15 10:30:31,1,周董啊　董啊　这个专集我唯一喜欢的歌是大家都不待见的牛仔很忙　却是有抄袭的嫌疑
当心马路骗子,3,2007-11-05 09:58:32,3,还在听，还没有特别印象深刻的
Hao,4,2015-07-20 14:40:08,1,3.5
杨生活,3,2008-04-06 16:58:00,3,喜欢甜甜的
IVAN,4,2014-12-26 17:31:20,1,2014年年末话题电影“采访/TheInterview”中，周董的“牛仔很忙”作为BGM插曲出现在电影15分55秒---16分37秒。。真是一个大惊喜，23333
Ariel .Fly,4,2008-08-21 16:22:52,3,其实蛮好听的XD
伊豆,4,2009-08-30 22:27:43,2,牛仔很忙很适合一大帮人去ktvk歌。
某S,4,2014-04-28 17:07:52,2,补录。这张开始就……没了。对我来说。
🍀again 😸,4,2010-04-14 01:17:37,0,三星半
眠去,2,2007-11-03 16:48:40,5,口水歌。你终于。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-12-14 23:57:18,0,新砖，晕了。
狮子人,4,2007-11-02 21:39:53,0,小子8张
宅蘑菇Moku,4,2007-12-06 19:57:30,1,挺好的。
气急败坏女疯子,3,2010-03-03 00:54:40,0,以前听的
Ridden,NaN,2009-08-25 11:42:55,2,蒲公英的约定吧。其他不喜欢。
莊小壞,2,2009-06-19 14:31:48,1,1.7－－－我不知道怎么感觉他这张特别的幼稚。那个彩虹，那个甜甜的。哎哟。
Dr. Tardis,4,2008-06-12 04:14:24,3,这个标签给的是牛仔很忙这个歌四星也是给的它剩下的让我给星我都不愿意
