user_name,star,comment_time,vote,short
金色面包机,1,2012-08-31 18:55:45,172,只有曲婉婷wanting知道谁是原创
poppyxong,NaN,2012-04-28 14:04:53,106,够了！先做人再做音乐！
夏日扬帆,4,2012-04-26 22:15:32,70,呃……我觉得词很普通啊。但是这种欧美的唱腔唱中文还是蛮好听的
停用豆瓣勿cue,1,2012-12-27 00:30:26,48,这个条目早该被合并了
办公室甜心,2,2012-08-31 18:58:22,26,"爱情买卖2.0时代，""你存在我深深的脑海里""，慢慢游吧太深了我自己都找不到！"
欣欣向荣,4,2018-04-05 09:30:41,33,这首歌很流行啊当时
已注销,3,2018-04-08 12:23:22,18,挺好听的，还是不错的，有点爵士范儿。
翠蝶🌸羽生✨💫,5,2018-05-02 15:12:29,16,她嗓音宏亮，真的是深深地存在了我的脑海中。。。。。
海棠依旧,3,2018-03-17 20:17:06,18,你存在我深深的脑海里
阿朽,4,2011-10-27 19:29:49,2,被推荐了确实挺好听的
小小吃货,4,2018-04-08 10:59:37,18,有点词穷不知道咋夸，但是好听啊(๑•́₃•̀๑)，你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里，这么久没听，还是这么熟悉，歌词旋律还是能哼出来。
EL_CR,4,2018-04-08 12:55:33,13,你存在…我深深的脑海里…多少人听错了哈哈哈哈…可是好听…不管怎么恶搞都好听…连我父母都喜欢…
锐利修蕊,3,2012-07-08 22:18:30,0,你存在，我深深的脑海里。——不用再为是否相爱而苦恼，我掌握了喜欢的决定权。
半袖,3,2011-04-17 16:06:38,1,还是觉得太技巧感了。
ztlpoppy,4,2011-06-14 23:07:31,1,你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里
tlmgt,3,2012-03-19 21:06:48,1,旧版的还能凑合。新版的感觉歌曲表情里“笑”的成分太多？很奇怪，反正是这个感觉。
33迟来_小小岛,5,2012-04-15 13:14:11,1,声音真的太赞了绝对只有“温暖”来形容或者是一个“满”
zard砸得王大崩,5,2012-02-15 17:19:27,2,你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里
影志,5,2013-02-19 15:43:17,4,我爱你
shuli23333,5,2012-04-08 12:18:19,1,艾玛。我最近就哼哼一句，你存在~~
Claire,4,2011-04-24 20:28:58,1,你存在，我深深的脑海里，我的梦里，我的心里，我的歌声里。
少年夏不安,4,2012-02-17 18:43:18,1,这支单曲最近好红啊～
不宁,5,2012-01-13 13:06:49,1,强推！
肥匪廢·老🐰,5,2012-05-02 08:00:14,2,最近火得一塌糊涂啊。。。
固力果guriko,4,2012-02-15 10:49:26,0,过耳不忘
丶,3,2012-04-27 11:14:23,0,还行
苏不西,4,2011-07-22 22:50:16,0,你曾带给我意想不到的快乐。
何牧歌,3,2011-08-27 14:11:58,0,比不上邓紫棋
凡人,4,2018-04-08 12:30:36,13,总之这歌我喜欢，超有感觉
鸭酱,4,2012-05-13 17:59:35,0,洗脑歌，看多好多歌的影子。
grace-xhu,4,2018-04-08 12:48:50,14,说真的要不是那位男歌手真不知道这首歌，两个人唱的都很好听，各有个的特点。
竹子哟竹子✨,5,2012-05-27 13:48:16,1,有点像王若琳，但是声线更饱满
Hao,3,2012-08-05 17:48:21,2,歌尚且不错，但唱得太烂，减分。
河堤上的貓,5,2018-03-10 23:46:07,26,你存在我深深的腦海裏～獨特的嗓音滿觸動人心的
倉鼠,3,2012-01-11 11:09:44,0,声音还是很有特点的。
十六。,5,2012-10-08 17:22:59,1,念在那么多人给我唱过这歌儿的份上。
老楠,4,2012-02-15 10:20:08,1,清新又婉转啊~好听死了！！！
evilgracula,2,2012-08-26 17:55:21,1,这歌能红？？？那句歌词倒是记得满清楚的，有句说句不如民族风
