user_name,star,comment_time,vote,short
锐利修蕊,5,2017-11-06 11:57:05,183,2000年，以王菲、林忆莲、莫文蔚三大天后新专辑，开启华语乐最鼎盛时代。以周杰伦、孙燕姿为主，那年喷涌的新人如今也成就，并且丰富了这个愈渐疲态的流行乐坛。当年金曲奖选择将最佳新人颁给孙燕姿，并且她也是历史上第一位以双专辑入围并且获奖的歌手。这张专辑以制作为主，十首歌填充整个青春。
停用豆瓣勿cue,4,2012-04-28 03:59:18,85,「害怕」「我要的幸福」「开始懂了」「相信」
Bill,4,2009-07-12 11:32:29,45,『我要的幸福』和『开始懂了』是专辑两首指标性的歌曲其他歌曲虽然质量仍旧达标但同首张同名专辑相比延续性过强未见有巨大的突破
DeerColin,5,2012-10-14 16:22:02,28,孙燕姿唱功太好'第二张专辑依旧高品质高内涵。「害怕」真的是首好歌'不仅她唱的有味道'蔡依林翻唱出来依旧让我很感动。「开始懂了」是首KTV好歌'在她的点唱排行榜一直高居不下。「星期一天气晴我离开你」绝对是本砖神曲'耐听度不亚于「和平」。「相信」「累赘」一干催泪歌。
○Ⅴ○,5,2011-02-01 10:50:21,11,除了星期一XXX其他都很勉励人
朴九月,5,2010-02-17 22:46:10,11,这是我最喜欢的燕姿的一张专辑。那些孤单的人，都会问一句，我要的幸福，在哪里呢？
苦月亮,5,2020-02-19 17:09:50,14,孙燕姿有种力量，明明唱的是困境，却能让听的人找准方向走出的勉励在里面。像日剧像美食像世间一切美好的事情。
UrthónaD'Mors,4,2009-11-17 19:15:14,1,中学回忆
LORENZO 洛伦佐,5,2010-05-03 14:41:19,5,《我要的幸福》《坏天气》《开始懂了》《相信》
郁程,4,2008-01-15 11:01:32,2,超赞
L I M O,5,2010-02-17 17:51:10,3,相信幸福。
丶,4,2011-12-09 12:35:36,7,开始懂了，听了N遍。
要早睡啊minami,5,2009-04-14 11:57:31,1,还是这张好
MeetMeinaMaze,5,2012-04-12 23:00:10,7,我耳朵出问题了？一股Indie的味道！
33迟来_小小岛,5,2011-08-25 12:42:34,1,你是我的神话
徐达多,NaN,2009-11-01 13:46:23,1,娟子的最爱。
zard砸得王大崩,5,2006-12-14 15:53:33,1,我要的幸福，我爱的孙燕姿
blueblue,5,2009-12-06 20:41:56,2,星期一天气晴我离开你
夏日扬帆,4,2013-11-08 13:08:51,2,还记得最初认识的网友告诉我他最喜欢听的歌就是我要的幸福。这里面像相信，开始懂了，我要的幸福真的都是听了好多年的歌曲了[我要的幸福，开始懂了]
香水瓶,4,2006-04-15 16:07:21,1,要努力追求自己的幸福啊，就在不远处！
virgin,4,2008-02-20 23:07:53,0,流行也精彩！哼哼：）。。
with,5,2008-07-24 21:29:51,1,唱吧，燕姿，唱~
苏格,NaN,2009-03-18 19:45:57,0,都不记得是什么时候了，不特意的零散的听了你
MochaTong,5,2007-01-06 13:42:14,0,best~~
eloise暖,4,2008-07-18 15:56:53,1,情绪不好冲到极限
不宁,5,2008-10-04 00:19:32,0,我很喜欢这张专辑几乎所有的歌曲。
哈默林騎士,4,2006-02-25 20:58:42,0,幸福若只是一场幻觉，那涩涩地追寻终点是什么？梦想理想幻想坚持着就一定能找到想要的幸福
hjffjkeryjvnnc,4,2018-01-25 14:51:15,25,好好听的一首歌，喜欢孙，也喜欢这首歌，有时候烦恼时就听听这首歌。
小魔@优雅穿梭,NaN,2011-03-22 21:40:48,0,负分
泉の向日葵,4,2008-06-24 17:33:56,0,曾经……
伊豆,4,2008-04-29 15:59:25,0,曾经觉得很不能接受的一张专辑，但是却是最值得一再回味的专辑。
莊小壞,4,2009-03-21 21:52:09,0,4.3－－－第二張。開始懂了。
韬,4,2014-03-07 14:25:03,2,刚刚听到“相信”，这么久以前的歌曲，却是今天第一次听。就把他当作新歌吧，多久没有听到这样简单，娓娓道来的情歌。
大橘喵子^ ^,4,2008-03-20 09:38:54,0,相信你只是怕伤害我，不是骗我，很爱过谁会舍得。把我的梦摇醒了，宣布幸福不回来了。
肖浑,4,2019-03-10 17:44:37,1,热门金曲很多，基本都算好听，就是歌词太拖后腿了，要么温吞小家子气要么陈腔滥调要么不知所谓。台湾那么多文艺工作者怎么就没几个擅长写词的呢。
斯 琰 🌈 🍭,4,2014-04-04 17:05:07,4,现在听比两年前感觉好一些了。她的《我要的幸福》也是我莫名其妙就是不爱的歌之一。重听发现的遗珠是《中间地带》，“断，断，断”附近的旋律和语气太有爱了~“累赘”她咬字成了“累zei”。。。
萨嘎摩多熊猫桑,5,2010-08-18 00:09:20,0,孙燕姿的专辑里最喜欢这张
三四,5,2008-06-11 13:36:09,0,开始懂了
Hey Johnny,5,2011-09-13 11:44:19,0,一直喜欢的是初中时代记忆里的孙燕姿。
球儿先生,5,2010-08-30 08:22:41,1,首首精品，完全没有瑕疵。
不擅长,5,2007-10-09 17:26:10,0,2http://www.xiami.com/album/11680
安东妮,4,2006-04-18 20:13:12,1,同名曲相信这样的唱歌简单但曾让我觉得有力量
essence.c,4,2014-06-29 10:32:57,0,【害怕】【难得一见】
钟,5,2009-09-04 16:35:17,0,难得一见。
塘坑一姐小渡边,4,2013-01-25 13:14:39,1,《坏天气》、《OnTheRoad》两首《真的》的钢琴演奏曲都很好听。孙燕姿对我来说最闪亮的就是她的治愈系的能力。。。《开始懂了》《零缺点》的态度都是比较理性的。《累赘》《中间地带》都有点实验的性质。
亞麻君,4,2009-11-09 23:09:11,0,recall~~~~
薇羅尼卡,4,2006-01-27 21:01:00,0,第二张，听得不多。我要的幸福。
飞天PP猪,5,2008-07-29 12:54:53,1,记得吗？翻来覆去的橘色磁带？
魔角之声,5,2010-01-18 14:29:04,0,我还不清楚怎样的速度，符合这世界变化的脚步，生活像等待创作的黏土，幸福、我要的幸福，渐渐清楚。。。
丹,5,2006-05-30 23:28:27,2,喜欢她的声音，虽然最近的认同度不高，不过，她会好得.Warner用分手，性感等词汇宣传唱片.早晚要自食恶果.
半个柿子,5,2013-06-04 09:41:12,0,那些时光壹
妈妈我想吃肉,5,2007-10-24 19:00:02,0,开始懂了~
许仙,4,2007-05-26 12:04:14,0,...
失控的蘑菇,4,2011-05-15 13:26:32,0,3.5
不如的我的,4,2006-08-03 21:45:43,0,第一次认认真真听的一张
[已注销],4,2011-03-19 13:44:10,0,OnTheRoad+坏天气
tavico,5,2010-08-19 20:29:29,1,10/10孙燕姿最好的专辑！
普通美,NaN,2014-02-12 23:22:36,0,相信，害怕
宇宙宝贝,NaN,2009-10-02 01:15:48,0,PS送的生日禮物。女孩子可以這樣恨得要死還要好
脫繮的蛇肉堡,5,2008-12-16 12:33:03,0,没有中间地带那首歌就更好了……
小澈,5,2008-11-26 21:56:29,0,大爱
Vince♫,4,2008-06-19 00:45:57,0,难得的女生
程萬萬金,4,2007-11-11 01:47:47,0,《害怕》
ヽ 丶詸゜,5,2008-05-28 22:57:06,0,更喜欢以前的她..
一又,5,2009-01-21 23:54:29,0,我真的瘋狂喜歡過她，以及這一張專輯。十年來我放棄了國足，放棄了燕姿，放棄了《看電影》，難道我真的會放棄五月天嗎？
A-sun*,4,2007-01-22 03:29:29,0,孙燕姿
≌菩提风花,5,2007-04-02 14:47:00,0,YANZI经典
然,5,2011-03-15 17:47:53,0,我还不懂坚持。但还是要相信。相信感觉。相信简单
Y2K-nostalgia,4,2009-12-02 13:55:31,1,有品质的流行音乐，率真的音乐人格。
🌟亚树🌟,NaN,2006-03-15 00:07:18,0,坏天气　开始懂了　
stranger17🎐,5,2009-04-13 12:50:17,0,一遍一遍沉淀清晰。
kingfish,5,2006-03-23 10:49:42,0,形象可人.音乐很棒.
痴人,5,2007-11-20 22:00:05,0,最爱华语女歌手。从初一到现在。
某水,5,2013-05-28 12:15:16,0,我要的幸福，开始懂了，信任，害怕
Layla,5,2008-09-22 19:48:07,0,喜欢《开始懂了》
千与千桐,4,2007-11-09 16:42:55,0,少年时光
如是我闻,NaN,2011-03-01 15:51:38,1,当年不知多少人听过多少遍《遇见》，那年在音像店买的磁带，放在教室的抽屉里，不知多少人拿去听，直至毕业，回到我手里，仍然当它是个宝。还有一个玩得很好的男生啊，也买了同样的专辑，被我骂不会拿我的去听，非要去浪费钱。他说，我总找不到你的磁带啊，所以只好自己也买。
半辈子,NaN,2006-10-28 21:13:48,0,还是卡带
家常辣酱,4,2009-03-08 20:52:03,0,高中时期
石白,4,2007-06-02 10:54:49,0,开始懂了..
Spidy,5,2013-01-12 08:44:37,0,相对于天黑黑时期的青涩，燕姿对情歌把握已有很大进步，《害怕》更是凸显燕姿声线的优秀苦逼情歌
mono,5,2009-02-22 13:46:02,1,怎么会这么好听。
煮蓝,4,2013-03-01 01:18:38,0,向来分不清优秀和出类拔萃，好歌好声的天作之和要到多年后才能说我还记得。这几天又特意绕回来听三首不太熟的《相信》《累赘》和《害怕》，我还是不懂孙燕姿为什么是孙燕姿。原来《坏天气》是游鸿明写的，游先生真色艺双绝。
tlmgt,5,2011-06-07 00:59:46,0,最喜欢的是《坏天气》和《相信》
Sulu,5,2010-06-07 22:53:10,0,小学的感动
饭夫斯基,4,2010-04-30 12:14:56,0,坏天气。
器官坏死,NaN,2008-05-27 11:01:48,0,我的一段记忆
菲以,4,2012-12-31 13:21:55,0,普遍来讲被K频率很高嘛，但是一开始听不是特别感冒，主要是没有给力的快歌……
水,5,2012-12-12 17:13:44,0,磁带。。
朵杜,4,2011-03-16 13:34:34,1,有一天打的再次听到《坏天气》发现其实很好听。
凛,3,2010-02-17 15:33:38,0,这不是我要的感觉。真的。
mikaholic,4,2009-06-07 15:44:08,0,星期一天氣晴我離開你
夜国,5,2009-11-23 01:08:32,0,这是我最喜欢的孙燕姿的专辑。初中那年
psy,4,2009-03-07 02:16:34,1,00年就出了么，那时候我在干嘛？
六月天蝎,5,2007-05-11 09:51:16,0,我个人认为孙燕姿最好的一张专集
时间的玫瑰,4,2009-02-22 21:46:59,0,那时候同寝室有个女孩特别喜欢她，好象叫木头是个木头美人。
0405|Love&Life,3,2010-02-06 19:18:11,0,开始懂了，记忆犹新。
杨先生说移民,5,2010-06-05 08:33:55,0,现在才开始懂了，
tree,5,2009-06-22 14:58:43,1,高三的时候，把《我要的幸福》的歌词抄在课桌上，她的歌，陪伴我成长。
sickid,5,2012-09-05 17:04:50,1,总有些歌在你看到歌名的时候就有音乐在脑海回旋。“还是害怕夜深人静时总想起你，还是害怕不经意地听见你的消息，还是害怕一个人时总很难忘记，还是害怕突然宁愿当初没有决定。”
