user_name,star,comment_time,vote,short
Enjoy🌈Rachel,5,2012-12-19 20:13:02,179,一年多前在现场跟陈老师合唱这首被挤出翔也值得
tlmgt,4,2011-06-06 16:39:44,85,N年后推翻认同，还是华丽的冒险那个弦乐版的更好
Bill,5,2007-06-29 16:32:05,45,很棒的感觉吉他版本的编曲更加适合这首歌曲的整体基调当然之后李雨寰的才华也是同样令人刮目相看的
91.7,3,2008-08-26 17:38:53,18,我喜歡裏面的吉他譜
Samuca,NaN,2010-05-27 13:20:42,9,那年的歌。
囧之女神daisy,5,2008-07-09 17:57:56,7,“你离开我就是旅行的意义”，唉。
停用豆瓣勿cue,4,2011-09-09 15:31:42,2,怎能不喜欢
兔球波,5,2008-10-08 22:50:14,1,朋友推荐的，非常喜欢，但是唱不好
神探夏洛特二世,5,2008-12-13 11:23:00,1,专辑封面很漂亮捏
Claire,5,2006-06-19 17:04:27,1,虽然就這麼一首，但却是最喜歡的。
锐利修蕊,5,2011-06-19 23:46:12,2,你离开我，就是旅行的意义。
zard砸得王大崩,5,2008-01-25 17:42:34,2,很喜欢伴奏
豆友36396401,3,2012-09-09 00:22:53,3,歌词不明所以
苏格,4,2006-11-09 17:56:15,3,你离开我，就是旅行的意义
不万能青年,5,2011-08-24 14:46:04,3,勉强说出你爱我的原因，却说不出你欣赏我哪一种表情。
Topfun,4,2012-01-08 14:25:43,1,旅行不是旅游
mosquito惟,5,2013-12-20 19:00:57,1,虽然听过很多很多次...可是前奏走完，第一声出来我总是会以为是曾轶可这是年长者的困扰么......
哈默林騎士,5,2006-02-25 20:48:03,1,世界上有一片风景永远在心底即使走过四季也一样鲜活透亮，只是每一个上路的表情都太过复杂，不明白就顺其自然吧
九份的咖啡店,5,2008-02-14 13:20:51,2,我离开你。这就是旅行的意义。未完不续。
小M,4,2007-11-17 15:14:31,0,我的CHEER
莊小壞,3,2011-12-11 20:42:05,0,3.3---嗯哼。
○Ⅴ○,5,2010-01-01 22:29:43,0,两个版本各有千秋。喜欢吉他多一点。
Luffyjun,5,2011-02-16 14:40:59,0,~\(≧▽≦)/~
涒灘,5,2006-11-18 20:36:08,0,适合夏天，适合旅行时放的歌。
山川若水富江萌,5,2010-03-29 17:59:21,1,人生は、旅行である
心猿,2,2011-03-01 11:50:41,0,完全受不了，拿来做个杂志标题还成
乡愁,3,2010-02-14 23:42:11,0,你离开我，就是旅行的意义。
豆维,5,2005-10-06 12:27:50,0,木吉他版，三张单曲中我最喜欢的
Tiff,5,2010-05-12 08:51:38,0,Ithink，Ilikeyou..butjustlikeafriend.
猪大腿,5,2010-11-27 20:08:14,0,突然爱上陈绮贞！
薇羅尼卡,4,2005-12-07 12:37:03,0,旅行的意义，好希望有天能和心爱的人去
大蒜味儿口香糖,4,2008-09-27 20:59:26,0,喜欢
Milk,5,2011-02-11 13:09:42,4,你有沒有試過愛上一個喜歡漂泊的人，他走遍了這個地球噶每一個角落，迷戀電影裏面虛幻的情節，卻總是記不起你們之間的細節。後來你才知道，他旅行，是爲了離開你。
Alto,NaN,2009-11-29 16:28:32,1,小提琴的伴奏有另一种味道
Белка,5,2008-01-12 17:08:29,1,很好很好
Pumpkinhead,5,2012-05-29 20:35:07,0,喜欢acoustic版
沉歌,5,2007-10-21 16:32:41,0,旅行的意义
牙3牙,5,2007-10-04 00:10:47,0,一听她的歌就想到赵静雯。。。
嗷拜拜,3,2009-11-29 15:37:25,0,死不爱这首歌。
baichi0038,5,2008-01-16 12:42:37,1,最美的旅行～～我和你的意义～
Memento Mori,NaN,2010-04-18 17:15:52,0,当年这首歌害得我食欲不振。
soloye,5,2008-12-08 08:44:32,0,那是我第一次听到陈绮贞的声音
AI Cat,5,2008-07-06 09:51:53,1,十五岁冬天的回忆.
少年桑将,5,2007-08-22 19:32:46,2,一定要听前奏有火车轰隆隆铁轨撞击声的那个版本～这才是旅行的一部分。这是我了解cheer的起点。
五月微蓝,5,2008-12-15 16:00:29,0,旅行途中一直带着的音乐。。。
清爽🤕,5,2012-10-13 16:16:45,0,陪了我一天....
kingfish,5,2006-03-23 10:42:11,2,绝对好听.
镜泉,5,2012-02-04 19:56:28,0,“你说，离开我，就是旅行的意义”
掩杀,NaN,2010-07-01 01:27:25,0,陈绮贞.2004
yonski,4,2012-09-07 19:37:16,1,还是更喜欢鱼。。。。。
你是桌子我是布,5,2011-07-07 22:58:23,0,你离开我就是你旅行的意义
一又,NaN,2007-10-28 20:41:26,0,老师，这是你的，教科书.
独角仙,4,2006-05-18 09:51:38,0,不错
苏少爷,4,2010-04-10 14:01:27,1,想亲姐姐了。。
仙代♥,NaN,2015-04-14 08:15:02,1,小时候觉得好矫情啊，现在也能体会一点那种心情
給料泥棒,5,2010-02-18 14:47:04,0,你离开我
XA™,5,2009-02-05 14:19:37,0,好小氣音樂工作室。。。
qb,NaN,2007-11-09 18:20:00,1,在西安买不到的唱片。
