user_name,star,comment_time,vote,short
tree's shadow,5,2013-04-19 16:40:13,103,在阳光温暖的春天走在这城市的人群中在不知不觉的一瞬间又想起你
赤潮▪夯,4,2006-12-13 01:28:52,101,许巍的突破之作，从此成为人民艺术家！
潋 | Béatrice,5,2010-05-25 12:49:23,76,在最短的时间里，给予我最深长的感动
soloye,3,2011-01-13 02:03:53,23,时间这种东西，就是让曾经觉得好的现在感觉也不过如此，不过如此
收音鸡·耳東,5,2012-03-24 16:55:55,6,我有首版CD:)~~
tlmgt,5,2015-08-14 01:24:20,14,原来我4年前标记了想听···回应短评里的某友邻，其实不是“好音乐不一定非得是摇滚”但民谣也本来就是在广义的摇滚乐体系里的呀，FolkRock不也是有么··《天鹅之旅》我很喜欢，一听就知道世界味浓浓的
UrthónaD'Mors,3,2008-02-14 22:01:53,6,二舅，你就不能喜欢别人吗
韧勉,5,2008-10-18 21:06:47,4,时光漫步，伴我成长！
果酱☮,5,2008-12-10 00:03:11,6,许巍最好的一张
六翼在天堂,5,2010-10-06 16:17:09,1,喜欢这个给我温暖的男人
齊克斯尼力佐飛,4,2011-03-14 19:41:41,1,蓝莲花，礼物，一天·············
L I M O,5,2008-04-14 18:38:35,0,時光漫步。
Odding,5,2006-03-26 00:09:52,0,不错。
zard砸得王大崩,5,2006-12-15 01:04:39,1,温暖人心。
丶,4,2012-09-11 17:16:07,1,不错。
DeerColin,5,2015-04-26 09:09:06,1,许巍的神砖，自己今后可能都无法企及。
五摆五折,NaN,2008-09-14 03:39:24,0,http://ting.baidu.com/album/688953
哈默林騎士,NaN,2007-02-24 04:11:24,1,礼物时光很喜欢的一张许巍后期完美专辑
ζωήιδ,NaN,2008-04-19 06:31:57,3,当时全班人都会唱，同时期流行的还有周董的第三张专《八度空间》，哈分裂有木有
usquebaugh,4,2013-08-15 13:31:52,1,我喜欢许巍CD里的唱腔
BlackScholes,5,2014-02-23 07:07:17,3,歌词和曲子怎么听都舒服，怎么听都附有想象力。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-06-03 17:36:34,1,夏日的风。。你是。
神威太太,4,2009-08-24 13:22:43,0,現場也不走音。
小M,4,2008-04-28 17:38:37,0,温暖温暖
苏觋觋,5,2009-07-10 21:50:51,0,高一那年当时在一家要拆迁的音像店购买的。
Ridden,5,2008-10-09 13:54:28,0,时光。蓝莲花。
孤独心俱乐部,3,2011-05-14 17:00:19,0,不变的永远不变
