user_name,star,comment_time,vote,short
叶子阿姨,5,2008-12-10 11:10:23,54,老了，累了，倦了，变了，那不会是我。
猫打喷嚏,5,2010-04-26 13:57:54,18,时光机！！K歌必唱！
Bill,4,2009-03-03 14:13:50,7,精致的破碎激情有些少了
果酱☮,4,2008-11-17 00:55:15,4,永远的爱及青春
Mignon松弛地,NaN,2006-12-26 16:46:31,2,雌雄同体、而我知道...
Shift,4,2012-11-17 16:59:15,2,四星只给恒星的恒心
Song³,4,2009-06-27 21:58:14,0,第十五届台湾金曲奖最佳乐团奖
zard砸得王大崩,4,2006-12-14 15:44:39,0,商业化时代的五月天~雌雄同体~时光机
mee,4,2006-01-04 00:12:05,2,最不摇滚的一张专辑，最能触摸到内心柔软的地方。可是没有《雌雄同体》的大陆版是龌龊的，就好像太阳失去了应有的光芒。
凹凸代餐,NaN,2009-11-08 11:10:12,0,http://u.115.com/file/ehvugbkuwww.oppsu.cn
長閑,5,2012-09-07 23:47:43,1,而我知道我们曾天真的一起哭和笑。
英恩,5,2010-10-25 21:28:27,0,王子面王子面
肥匪廢·老🐰,5,2009-10-30 08:16:56,0,为DNA五月天重庆演唱会复习~
shu,5,2007-12-02 13:59:22,0,很喜欢这张
小魔@优雅穿梭,4,2009-09-26 15:00:39,0,地球可以无重力，不可以没有五月天--------这五人对自己的评价相当得高-----冬日必备
不万能青年,5,2011-05-29 22:59:40,2,从前书包很满，装不下的梦就丢了一些。
小狐狸BOBO,NaN,2006-02-12 18:10:32,0,碎裂的时光，更迭的成长，乘着时光机，回到记忆中永远的1995，年少轻狂的17岁！
落羽杉,NaN,2006-07-09 10:30:56,0,总是在上班的时候听
不擅长,5,2007-10-09 17:19:04,0,4http://www.xiami.com/album/15641
essence.c,5,2014-07-13 01:27:42,0,【恒星的恒心】【而我知道】【九号球】【武装】【时光机】【生命有一种绝对】
徐大阳,4,2010-03-17 08:56:22,0,留我荒唐的坐在这里.我想你是懂的。
沉城,5,2010-12-21 21:32:40,0,而我知道
Pumpkinhead,4,2012-06-26 21:54:54,0,轻功而我知道时光机小时候
木木龙,5,2007-10-13 10:50:02,0,.....我们没有时光机...
沉歌,4,2008-04-03 21:18:34,2,中规中矩，除了《时光机》这首。
Paul,5,2008-11-26 10:50:36,0,认识五月天
chaaaaad。,5,2009-11-09 17:21:39,0,复习
王晓啥,5,2009-07-28 09:04:23,0,我愿意付出所有来换一个时光机~听到哭的一首歌~
五月之星,5,2007-10-28 12:24:43,1,时光机
宇宙宝贝,5,2008-08-07 17:31:11,0,时光机你们不是说要咬紧牙关俄？
JasmineJasmine,5,2008-07-17 00:17:34,0,而我知道
五月微蓝,5,2007-09-11 23:55:35,0,想起那句话“音乐是一种态度，生命有一种绝对。”
machlie,5,2009-02-09 14:36:24,0,最喜欢《阿姆斯壮》《雌雄同体》和《九号球》在听阿信唱出：“请你爱我”的时候总是有种热血沸腾的感觉。
一又,5,2007-10-10 22:49:47,0,这张唱片，是时光机的家。
金色花椰菜🥦,4,2010-03-24 21:26:29,1,谁都有喜欢五月天的日子
A-sun*,4,2007-01-22 03:20:04,0,五月天：时光机
Sophie  Z,5,2010-04-07 23:35:51,0,我愿意，付出所有来换一个时光机。
momo,5,2006-07-15 16:33:34,0,好听的，而且是每一首．
🌟亚树🌟,4,2006-02-07 18:57:56,0,时光机阿姆斯壮小时候王子面叫我第一名生命有一种绝对轻功而我知道赌神武装
笪笪,3,2014-07-24 22:06:28,0,个人喜好而已，不很很喜欢这张。
baichi0038,5,2008-05-29 20:54:39,0,生命有一种绝对~~
c小调的冰蓝,5,2011-01-19 19:51:17,0,而我知道我知道這一切我全都知道，我就是受不了
斯 琰 🌈 🍭,5,2011-10-30 13:28:46,0,好想坐上那台时光机~
杨小歪,5,2008-06-26 10:51:44,0,一个人能背多少的往事
小小,4,2012-04-10 22:55:47,0,有时候有一首歌就足够，而我知道。
蕾蕾,5,2006-10-17 22:43:27,0,而我知道時光機生命有一種絕對九號球
aqua||。。。,5,2008-05-16 16:59:17,0,受橙橙影响～～
hotdogyer,5,2007-03-03 02:54:28,0,．．．．．．恩
微子,4,2010-04-30 20:07:43,0,台版。最钟爱的是九号球，想起那个并不相熟带着灰色气息的男孩子，以及我没有尝试过的逃课和台球。赌神王子面和雌雄同体是我喜爱的搞怪作品，用来吵耳朵最好。常常想起生命有一种绝对的歌词。小时候……好吧，某人你真的不是张雨生，不要勉强自己。
penumbear,5,2011-05-24 16:05:56,0,年少啊，五月天啊，《时光机》啊
Supernova™,5,2010-03-30 13:53:35,0,唱k我包了
llao,NaN,2008-12-22 02:51:53,0,2008冬
Milk,5,2008-12-18 22:37:32,0,那年夏天重复播放的旋律。
魔女幼汐,5,2009-12-12 18:37:15,0,爱mayday就要买正版
阿踢,5,2008-06-14 23:27:40,0,复出后的第一张专辑，很多感动的歌
幸福超市总经理,3,2012-07-09 01:36:17,0,虽然不是我喜欢的音乐，但是还得感慨台湾音乐制作的精良
