user_name,star,comment_time,vote,short
Bill,5,2009-05-16 22:19:32,68,春天就应该是三拍子的！
tlmgt,4,2011-09-20 14:54:05,44,四星给日光交响梦
冰山李,4,2009-05-25 18:30:21,37,"""身体形式是生命的各站停靠"""
kerrysun,4,2020-06-29 10:09:22,2,初春，万物复苏，刚从冬眠中苏醒的大自然，慵懒舒适。苏打绿的韦瓦第计划四季之春，如此切题的专辑还是第一次在华语乐坛里听到（不知是不是我孤陋寡闻），很有新意。推荐曲目：《日光》。可听曲目：《雪融之前》，《各站停靠》，《交响梦》，《异次元的玫瑰》，《早点回家》。
停用豆瓣勿cue,3,2011-09-28 16:44:21,10,「融雪之前」「早点回家」
Inevitable,5,2009-05-14 00:14:34,8,听这张需要一气呵成才畅快
鸭酱,3,2009-05-28 13:42:43,6,第一次聽蘇打綠聽膩味了.
DeerColin,5,2013-10-25 22:29:20,13,《春》实在太悦耳了，正如文案所说，以温暖民谣为主，歌词很有意思，编曲非常丰富有趣，青峰实在太有想法！《牧神搭上春色的火车》和《在我们之间》的编曲好活跃，充满生机，《交响梦》是最喜欢的歌！
阿朽,3,2009-05-08 18:47:11,1,歌词。。。。。。。。。。名牌大学的果然。。。。。。曲子个把不错给三星好了
ztlpoppy,4,2009-05-08 17:19:01,1,总体还可以吧就是日光！！额。。
Hao,3,2009-04-28 12:53:40,4,慵懒得直把我催眠..
zard砸得王大崩,4,2009-05-08 09:17:59,1,真的听到春天，真好。编曲的巧思让我感动~融雪之前，早点回家，各占停靠。
L I M O,5,2009-05-11 14:15:32,0,春色日光。
肖浑,4,2009-05-08 19:09:30,1,后半张
Ding,3,2010-12-22 11:34:34,0,目前感受是没有想象的惊艳
半袖,3,2009-11-19 14:46:13,0,虽然只打了三星，但是听的时候心情还是很愉悦的。
sorrento,3,2009-05-22 15:20:19,0,还是最喜欢第一张
目黑,4,2009-05-08 09:20:48,1,概念贯彻得十分美好旋律上有所不足
倉鼠,4,2011-04-27 17:15:53,0,春天要应景哦也~
苏格,NaN,2009-05-08 10:04:24,0,我这里都是夏天了哎哟喂~小清新呀小清新
sean cheung,3,2009-05-08 12:30:30,2,春字完全多余，而且……别这样，plz....
草威,3,2009-05-18 17:14:18,0,受不鸟
了了,4,2009-05-16 18:30:05,0,早点回家～早点回家～期待下一张
夏日扬帆,5,2009-08-10 10:53:19,1,词太赞了
kik,1,2009-07-19 15:53:23,0,2009最难听中文专辑没有之一
YoyoRan,2,2009-05-18 14:11:19,1,娘得哦！还拿维瓦尔第四季说事不知天高地厚……
長閑,3,2009-05-08 17:52:40,0,日光的MV实在是很晃眼，青峰粉色的头发还蛮乖，不知道为什么，看他的歌词会想起郭敬明的风格。四季系列，这张不怎样，期待下一张。
霄汉,3,2010-06-19 17:53:04,0,“韦瓦第为18世纪初古协奏曲之父，苏打绿从《无与伦比的美丽》中「四季狂想」这首歌而萌芽了「韦瓦第计画」”……看见这句我就吐血了
尉迟,5,2009-05-08 20:01:51,1,你们将走得更远。这才是我认识的、期许的你们。
usquebaugh,4,2009-04-28 15:47:02,0,比《无》要来得惊艳些
易召,5,2009-06-14 21:07:32,0,早点回家
eloise暖,NaN,2009-05-17 07:41:03,0,听完日光就不想听了。。星都没的打
banana*🌈,3,2009-05-13 22:38:17,1,你们越来越pinky了...
小魔@优雅穿梭,5,2010-02-13 23:52:21,0,这张最春天！！！！
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,3,2010-12-20 21:29:39,0,融雪之前早点回家
不万能青年,5,2012-07-09 17:50:40,2,我们都是，一个人加上另一个人的长相。
91.7,1,2010-12-11 22:15:05,0,好笑
眠去,4,2009-05-12 20:30:03,0,喜欢
飞老湿,4,2009-07-29 16:36:26,0,本来对苏打绿失望了，这张让我对他们又有了信心。我喜欢他们还是因为加入了很多古典的编曲，非常棒！
BlackScholes,NaN,2015-10-13 05:49:15,0,交响梦
郭二,4,2009-05-26 02:37:40,1,专辑的整体性来说，我认为这是苏打绿至今水准最高的一张！四星半
老楠,4,2009-12-13 12:06:51,0,春日是阳光洒在草原上。
essence.c,3,2014-07-11 09:14:05,0,【异次元的玫瑰】【早点回家】
Yome,3,2009-05-09 12:46:09,0,旋律上出了問題聽起總覺得怪
走走走走一,4,2009-05-25 14:48:19,0,慢慢消化之后还是给了四星。四星啊四星啊四星啊强大的四星。我是真的开始觉得好听了……>_<好吧，我BS我自己……
怀山鹿,3,2009-12-28 02:46:42,0,其中几首不错~如日光~~但后面风格太雷同，以致我分不开
魔角之声,4,2010-04-08 22:27:19,0,春
喵丧彪.,4,2009-05-22 23:46:55,0,民歌feel，--
Illusion,4,2009-05-08 19:53:06,0,歌词不错
JO,5,2009-05-17 19:33:23,0,我就是哈他唱腔随便他唱什么他都是独一无二的吴青轰～
Pumpkinhead,3,2009-05-18 12:24:30,0,合不来
沉歌,3,2010-01-14 15:46:57,0,早点回家
RoJay,4,2009-05-10 12:33:07,0,早点回家
Memento Mori,3,2009-12-05 14:23:10,0,苏打绿，一年要发几张？
神山樹,3,2012-02-22 00:17:26,0,交响梦
安蓝·怪伯爵𓆝𓆟𓆜,3,2009-05-11 00:10:43,0,还是那调调
Q,4,2009-05-08 23:18:39,0,水准很高
小隐隐于浆糊,5,2009-05-11 12:38:20,0,交响乐
kokki@靠模子,5,2009-05-09 19:39:24,0,依旧钟爱。
时以星,5,2009-04-30 19:23:56,0,从夏听回春。融雪之前。日光。各站停靠里认出夏宇的声音，她的N和M。一千座喷泉，早点回家。
日烟火,4,2009-10-16 00:27:04,0,我更喜欢夏一点点。
chaaaaad。,4,2009-04-23 23:19:07,0,也许希望过大会小小失望。没有特别让人记忆深刻的歌。不过相对还是不错的。
yum,3,2009-05-10 21:39:29,0,开篇第一首把中性的嗓子衬得很好，说是温暖的民谣是在有点过了，也就是轻快小品
某线,3,2009-05-17 14:35:34,0,失望了
小岩菽,4,2009-05-10 10:21:42,0,春光跳跃。概念很好。你们一直很独特。
低調小姐 - VG,4,2009-05-09 18:32:20,0,融雪之前，一千座喷泉，早点回家
zk,2,2009-04-26 01:04:40,0,声音好想太刻意了...不自然呢
JasmineJasmine,4,2009-05-20 19:02:55,0,越发随性了
卡卡,4,2009-05-12 18:30:14,0,开始好玩儿喽。虽然青峰的音准问题还是一如既往。
破产君,4,2009-05-23 16:35:50,0,一千座喷泉/早点回家
五月微蓝,3,2009-05-10 15:40:24,0,早点回家，其实蛮感动的，喜欢这么简单的歌。当然整张专辑里，青峰的词还是很强大！
影子的素描,4,2009-05-26 17:30:15,0,还行吧用一两首主流让大家接受他们的非主流
Minerva,5,2010-03-13 00:13:15,0,时隔一年，今年春天再听，青峰的声音还是那么温暖。
丁扁扁,4,2009-05-16 19:00:05,0,早点回家听得人掉眼泪
绿毛水怪,3,2009-05-23 17:10:07,0,好好好春天
La Bambola,1,2012-04-16 20:53:13,0,我是苏打黑
ヨイ,4,2009-05-09 04:03:13,0,各站停靠牧神搭上春色的火车　　03日光
TristanShen,3,2009-05-09 13:51:09,0,2.8
混不吝福音战士,3,2009-04-26 12:43:25,0,其实我真的对这种小清新不是很感冒，但是在这样一个下了一周雨但是突然放晴的周末听到还是感觉心情很不错
ЧōЦΩG央,4,2009-05-08 16:55:44,0,台東春天的溫暖民謠這不就是么？
小易甫,3,2009-05-12 12:02:41,0,You'rewritingsongsthatvoicesnevershare.
瑾朵朵,3,2012-05-06 20:35:59,0,不男不女阴阳怪气
上野千驴子,2,2009-05-17 19:16:47,0,没什么好讲的
绵绵,1,2009-05-08 19:14:52,0,可怜的苏打绿
Strelizeia,3,2009-10-19 09:34:15,0,一般般，和之前的比较，不算太出彩。
Eiðsgrandi,2,2011-12-15 21:49:04,0,反胃。听得我快要流产了。。
得我艳与天齐,4,2009-05-10 20:17:53,0,回归
斯 琰 🌈 🍭,5,2010-09-22 16:26:15,0,春·日光温暖了整个世纪
Papaya,3,2011-10-25 23:18:37,0,我一直觉得他们的歌换把稍微正常点的嗓子会更好，虽然现在的vocal独具特色，但实在是............太怪了......(¬_¬)
花。卷,5,2009-05-08 21:22:07,0,你还在，春天就没有离开。你们一直都没让我失望。
tavico,4,2009-05-25 18:26:11,0,有点偷工减料，不要为了概念概念
夏小C,4,2009-04-17 07:36:37,0,春天大概就是这样。
提恩恩恩,2,2009-09-12 13:15:35,0,没劲已经么当年的感觉了
寒凌旭,4,2013-03-31 17:49:44,0,春天要来了。
小小,2,2009-07-19 23:59:45,0,苏打绿这张完全是自我毁灭的难听。
蕾蕾,4,2009-05-09 20:23:14,0,日光交響夢早點回家
鹤鹤崽,4,2009-11-17 11:45:28,0,牧神搭上春色的火车
halaoh,2,2012-03-08 17:07:31,0,有态度没味道
预习,4,2009-05-16 19:42:54,0,实在不凑巧，这张跟绿日一起听……给三星对不起这么用心的制作。青峰啊~俺竟然吃不消您老人家的低音了==交响梦是最爱啦。
hotdogyer,3,2009-05-13 18:06:36,0,soda不满意
