user_name,star,comment_time,vote,short
V.Dunham,5,2011-02-08 10:30:12,217,克卜勒必然是比不上这张的，现在听来这张应该可以正名为巅峰了。全专都围绕“时间”这个意象，在情感表达和曲目制作上都有种重休上阵游刃自如的张驰感，选取的发行时机也很对，臻于饱满而多元的佳作。
░▒▓██,5,2011-02-28 18:16:47,233,听完所有歌，只能说唱片就应该这样做。
🌈時雨,5,2012-01-31 17:00:41,151,第一首点开播的是180度就听泪了。。。
川总,4,2011-03-02 20:35:37,123,孙燕姿要封神了！！！！！！
tlmgt,5,2011-04-29 19:49:46,63,好久没重温这张，又听了一遍，原来这张的编曲那么电气化的。
KinG羽,5,2011-03-04 21:57:13,45,众里寻姿千百度，似曾相识燕归来···一百次相爱只要有一次的绚烂下一次会更勇敢
潋 | Béatrice,5,2011-03-04 02:56:07,27,一直很喜欢她这个人，但是对她的音乐不怎么感冒，虽然音乐作品档次不低，也有水准，但是始终让人觉得不能保存在心里。4年的沉淀蛰伏，让这张专辑内敛深刻了很多，Stefanie终以更好的姿态回归了，也许从这张专辑开始，我会连她的音乐一起喜欢。
Dyingpluto,4,2012-06-12 15:27:02,12,久违了，清新
高歌,5,2013-06-02 21:12:24,16,近年来我听过最棒的华语专辑！
沉默电话,4,2011-02-28 14:41:31,13,2011第一张好华语
岛上的夏奈,3,2011-03-05 22:54:07,6,不过不失！
停用豆瓣勿cue,4,2019-03-08 09:34:33,7,2011.03.08-2019.03.08「是时候」发行8周年。同名(却不是主打)非常好哭。「空口言」这种俏皮的风格估计以后不会有了，这几年听她的新歌几乎毫无感触。除了前面提到的两首歌外，再推荐「追」「当冬夜渐暖」「愚人的国度」。
夏日扬帆,4,2011-03-01 17:32:14,10,是一惯的水准，受不了豆瓣上很多过于矫情的评论...[是时候、空口言]
亵渎电影,4,2011-03-02 15:23:40,9,没什么惊喜，依旧很孙燕姿。
知识雪豹,4,2012-01-08 17:36:53,9,属于第二耳专辑，不过，雷声大雨点小，亮点是歌词深度，当冬夜渐暖是首好歌-毛新宇
Doublebitch,3,2011-03-03 11:38:11,0,虽然一直不是特别喜欢孙燕姿但也没少听她的歌，没办法太红了简直耳濡目染，这张还行吧，没抱希望就不会失望
↓,4,2011-03-16 00:09:48,2,封面苑琼丹
影志,4,2011-09-17 19:40:11,5,那只是习惯把爱当作喜欢
锐利修蕊,5,2011-09-24 09:56:49,7,是时候-愚人的国度-当冬夜渐暖-快疯了-世说心语-时光小偷-明天的记忆-空口言-追-180度“我多恨自己轻易的放开手以为能承受还能从容不迫”
内陆飞鱼,4,2011-03-06 10:28:51,3,偏向小众，流行气质不足。
叶酱,NaN,2011-03-06 00:03:47,0,不知道该怎么评价，不知道该给感情分还是实际分~
zard砸得王大崩,5,2011-04-21 23:29:58,8,你唱着我，陪我长大。孙燕姿，我爱你。
Autorun,3,2011-03-04 08:58:22,1,没有力。不过也正常，哪儿能老有力。
素手纤纤,5,2011-03-08 05:35:33,2,哦亲爱的燕姿我等了居然快四年了！
齊克斯尼力佐飛,4,2011-02-28 21:44:32,2,愚人的国度，追，180度，当冬夜渐暖，时光小偷，世说新语，是时候。
zitsunari,3,2011-03-01 20:52:08,3,一直觉得你的快歌很可怕
L I M O,5,2011-02-28 23:55:07,0,是時候歸來。
Song³,3,2011-03-08 10:25:40,3,第11张。世說心語-印度女诗人SarojiniNaidu的诗作“Life”
YeleZhang,5,2011-03-02 00:53:28,1,当冬夜渐暖，回来的正是时候！
Aragaki,4,2011-04-04 22:10:25,3,偷走了四年的时光，是时候，当冬夜渐暖，你缓缓归来。在我的记忆中，无论昨天、今天还是明天，我一直喜欢你。
赵大宝,3,2013-01-21 02:02:30,1,想起来2004年看孙燕姿演唱会，说起高中那个谁谁谁长的像孙燕姿，也不知道她干嘛去了。那天正好是欧洲杯揭幕战，送女朋友回学校后跑到阜成门看球。一推门，发现那个谁谁谁的前男友就坐在左边第一张桌子旁边。
Claire,4,2011-05-25 23:52:12,0,【时光小偷:www.yinyuetai.com/video/435829】
1806,4,2011-03-04 01:30:23,1,从这张专辑听到了一种豁达，4年的沉淀让她也让这张专辑少了一份张扬，最喜欢最后两首。燕姿加油，重新开始吧！
筱晗,5,2011-03-07 09:58:15,1,4年真快！不过每首都超好听，除了主打，最爱180度和明天的记忆
Dululu,NaN,2011-03-25 03:03:22,1,居然是在电玩巴士下到的==
LORENZO 洛伦佐,5,2011-03-03 03:18:10,5,It'sbeentoolong，butnowit'stime.敢于自己去活，而不管别人怎么说，不知道下次听到孙燕姿的歌是什么时候，可是我们总有一天，会发现是时候，停止流浪。【愚人的国度】【时光小偷】
要早睡啊minami,3,2011-03-06 00:06:37,0,有这么高吗？太假了！只记住一首《180度》
冰山李,3,2011-12-20 22:50:49,0,她嗓子是咋了...
H!karu,5,2011-03-24 23:07:44,0,十三姐你回来了
StevenTong,4,2011-05-07 11:20:06,0,雖然沒有想像中的超級無敵好聽，主要是四年時間和最終效果之間的比例問題。但好聽，是真的；那份感動，也是真的。
丶,3,2011-12-04 21:55:06,0,感觉你从唱流行的要转变成唱民谣了……我对你不是有很深的羁绊，所以真的不知道这样一张专辑哪里值得给5星。如果说4年，那不算什么。何况4年你就憋出这些歌？可能之前你被双李定性久了，实在听不来现在的所谓耳目一新震撼心灵。
王阿胖™,4,2011-04-18 22:32:21,0,风筝v2.0
DeerColin,4,2012-10-14 16:54:12,4,这张专辑的隐藏曲目找得我好辛苦，沉淀了4年，孙燕姿的《是时候》都快让我听不懂了。同名主打《是时候》内涵确实深刻，诠释得也非常出色，是本砖的最爱！轻快活泼的《奔》是专辑里最抓耳的歌了，《180度》轻松有趣，《愚人的国度》要看MV才有感触，摇滚风格的《快疯了》很惊艳，因为这张专辑温和
凹凸代餐,5,2011-03-05 23:57:30,1,http://u.115.com/file/t47271b606好吧。我真的打不出五星。比完美的一天和Stefanie都要好。和逆光没比头|||拿到实体西滴听之后果断改成五星
五摆五折,3,2011-03-13 16:51:31,0,始终停留在《天黑黑》的那些初印象里，是上了年纪么，难免小小感触下时光；http://www.1ting.com/album/c0/album_50981.html；6.5分
黄靖昀,NaN,2011-03-01 22:34:22,0,http://u.115.com/file/f4e4592cfhttp://www.1ting.com/album/c0/album_50981.html
猫打喷嚏,3,2011-06-14 21:35:22,0,我靠我的审美和主流脱节这么远么。几乎听不下去
索君,5,2011-03-04 02:00:21,1,該怎麼說這種感覺，以為不再會有得感動都回來了，有些會消失有些會延續有些會隱藏有些會飛奔，有些竟然是流動的。
Samuca,5,2011-03-07 21:02:57,2,旅行七天之后回来打开电脑第一件做的事情就是听孙燕姿的专辑
Rebecca,3,2011-03-03 23:24:51,0,遭不住粉丝了。。。
Marvin,5,2011-03-04 11:32:19,0,时间小偷把我唱哭了！
MochaTong,5,2011-03-05 16:32:18,0,试听版。请支持正版。
银谷,5,2011-03-03 20:31:32,0,推荐180度明天的记忆当冬夜渐暖
Hao,4,2011-03-04 20:59:58,0,听了几遍，对这张感觉终于好了点
Enhui,2,2011-03-03 06:48:12,0,4年前，你發專輯，我來此地，4年後，你是時候了，我也是了...額...失望...
了了,4,2012-03-04 16:55:50,0,听了整整一年的专辑！好多回忆都跟歌融为一体了！
A,5,2011-03-02 08:13:54,0,果然果然没失望
YoyoRan,4,2011-03-01 11:44:45,0,世说新语当冬日渐暖
少年夏不安,4,2011-03-05 19:02:15,0,很好听，可是没有印象深刻的，还是只有《愚人的国度》。
陈二菜,4,2011-03-20 10:11:57,0,你的声音还是那么好听
小本,5,2011-03-05 11:30:59,0,其实，世说新语好听在哪里==
不宁,4,2011-03-04 15:57:43,0,女人，我听的只是回忆。
i'd,5,2011-04-14 09:52:34,0,是時候讓愛行動起來
某S,5,2011-03-11 22:34:01,3,打开文件袋一样的包装，好像在拆一个等了太久才到的包裹，在赴一个曾经太远的约定。而今每一个揭开包装的动作，都那么神圣。
usquebaugh,4,2011-03-07 14:12:25,0,180°
肥匪廢·老🐰,4,2011-03-04 21:13:36,1,等你回来等了好久，可是，有点小小失望。豆瓣上的姿迷打分真的好高。。。
thundercat,4,2011-06-08 01:07:53,0,新婚快乐，虽然有时我并不喜欢你的团队运作你的方式。
火龙果不耐受者,5,2011-04-24 11:59:04,0,最好的在最好！隐藏曲很棒！
cristine,3,2012-08-16 09:12:13,0,总有那么一些人，他们的歌可以还没听，他们拍的片可以还没看，却已经打好了怀念和回忆的腹稿。
死咗,4,2011-03-16 12:23:56,0,優美，優美
寂多蔓生,4,2011-03-08 21:43:13,0,瘦了
李念河重出江湖,5,2011-03-02 21:57:06,0,听完了立马决定明天去买一张放起来好么。
banana*🌈,3,2011-04-17 05:37:33,0,請給我至少一首的K房主打啊。。。
Summer孙夏天,5,2011-03-19 10:28:27,0,整张。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2011-03-01 20:00:08,0,世说新语，空口言，愚人，快疯了，明儿的记忆，其实全体都好哈哈(*￣▽￣)
阿萌今天也很饿,3,2011-04-14 22:49:35,0,==我真的觉得不怎么样。。。。
小M,5,2011-03-05 18:16:34,0,你没有变噢
狮子人,5,2011-03-05 13:30:58,0,久等了
纨卿,5,2011-03-10 23:19:10,0,好好听哦～～～
伊豆,5,2012-02-08 23:24:36,0,从来没有失望过，嗯。
哪吒男,5,2011-03-08 12:47:07,2,唱尽世人心语仍还有最初次感动人心的暖
叶叶叶小丝,3,2011-03-01 23:05:01,0,回归的意义大于音乐本身。
莊小壞,4,2011-04-02 21:19:10,0,4－－－第九張。謝謝PC送的親筆籤名專輯還有海報還有徽章！！
竹子哟竹子✨,3,2011-03-01 18:35:14,0,打三星是因为真的没有一听钟情。。。。
深津奈留,4,2011-03-03 21:04:22,0,四星给依旧的好声音。然而一遍听下来，并没有LOOP的打算。回忆不足，也缺少共鸣。180度算相对合耳缘些。能够有所坚持也是不错。
陈永仁,2,2011-03-08 11:32:08,0,美妙音乐太烂了
○Ⅴ○,3,2011-03-16 18:58:15,0,是时候；180°
Ray,3,2011-04-26 10:27:43,0,封面劲似张敬轩
沒在怕的,5,2011-03-01 22:10:14,0,f4e4592cf
葡萄呀,5,2011-03-03 19:32:06,0,慢慢听有惊喜
evilgracula,3,2011-05-26 20:46:43,0,追
石小po,4,2011-03-01 17:22:31,0,燕姿的实力确实难以小觑，不过也不到9.4这么夸张地分数吧……4.0愚人的國度/時光小偷/180度/是時候
不良少女劉蘭蒂,5,2011-04-12 19:02:51,0,第一次覺得豆瓣的五顆星都不夠。再怎麼期待也總不會失望。
小小玛丽奥,3,2011-03-06 08:19:43,0,就好像我在09年听完《回蔚》时候的感觉一样，有些声音大概只存在当时适当的心境里，而我确实是已经过了那个年纪
evan是幻想家,4,2011-11-30 19:50:46,0,不知道为什么叫是时候，反复不知道多少遍之后，我才知道什么是是时候
KID A🌈,3,2011-03-03 23:24:44,0,soso，毫无新意
采桑,4,2011-03-08 23:25:41,0,有保留，有惊喜。
三四,NaN,2014-10-17 12:11:40,0,爱是愚人国度
Hey Johnny,NaN,2011-03-02 20:34:45,0,《180度》耳朵惊艳一小下之后，无感。
Showing V1.4.1,5,2011-03-26 16:17:23,0,静下心来戴上耳机听了一遍，其实还不错……
谁亲爱的偏执狂,4,2011-03-05 07:17:31,0,其实只是要听她的声音。
乐化天,5,2011-03-04 20:00:59,0,矮油，意外啊！不错啊！
團團是個團|囧囧是個囧。,3,2011-03-14 20:36:49,0,看着孙燕姿出道的。。。可是始终都喜欢不上来。。。
清茶藏秋[已死],4,2011-05-25 10:42:54,0,在流行音樂日益低迷的今天，能有一張耐聽的唱片不容易
花伦,5,2011-03-04 22:28:58,0,一遍一遍听就听懂了
KennyHaynes,4,2011-04-05 15:48:54,0,http://u.115.com/file/t484797603
戒掉猫的鱼,3,2011-04-27 15:38:42,0,就喜欢一首歌
剑气凌厉的江南,3,2011-03-10 21:23:16,0,没看介绍没看歌词，纯粹听歌，给我感觉就这么一般
mosquito惟,5,2011-03-04 13:14:12,0,粉丝耳朵五星，歌迷耳朵三星。最终，孙燕姿，我还是你的粉丝，泪奔...
C酱,5,2011-03-03 19:22:25,0,四年不是白等的，喜欢你11年不是白喜欢的！
