user_name,star,comment_time,vote,short
塘坑一姐小渡边,5,2013-01-25 13:24:13,134,被低估了的神作，印度民族音乐的特色无论是神奇的舞蹈还是随性呵成的未完成，或者是接下来吹奏印度笛之类的乐器，还是钢琴里跳跃的休止符，真是大气浑然又绿色清新，还有一种诡异的迷幻气氛，非常想说这是中国top唱片，但她是新加坡人。可惜好多歌迷不认可
MeetMeinaMaze,5,2012-09-23 15:54:57,44,13姐历年专辑中感情最深的一张。我一厢情愿地相信如果不是那半年的间隔也许我们最后就真的在一起了。
DeerColin,5,2012-10-14 16:37:03,53,这张应该是孙燕姿专辑的集大成者，《神奇》充满异域风情的曲风独特另类，《我不难过》个人最爱，KTV超喜欢说那个独白，哈哈！《年轻无极限》的编曲特喜欢，《没有人的方向》的构架不错。这张专辑诞生两首大神曲，一首《了解》，一首《学会》，都是集词曲唱三者兼优于一身的好歌，力荐！
tavico,3,2009-06-09 11:38:40,12,历史最烂，这么多年后我还是这么讨厌这张
郁程,4,2008-02-17 14:13:04,12,觉得是YANZI最好的一张专辑.虽然没有一首大爱.但这张很有专辑的统一性
颜良辰,5,2009-12-06 20:41:18,2,我买的过气女歌手第一张。
丶,3,2011-12-09 12:37:54,4,神奇的MV那段舞跳得真是让人眼前一亮。
锐利修蕊,4,2015-02-05 16:16:50,7,不得不说这虽然不是我最爱她的一张，却是她玩概念最好的一张专辑。关于，一切未完成的，已完成的是非悖论和相关女性哲学命题。与仓木麻衣合唱，回馈给歌迷并不卖弄距离。最喜欢的不是《我不难过》，而是杨明学写的《休止符》。《接下来》里浅吟低唱搭配《神奇》开始走更广阔的异域凤系，然后持续好久。
不宁,5,2008-10-04 00:20:21,6,我不难过的MV真的很好，可是我竟然最爱没有人的方向。
with,5,2008-07-24 21:34:47,3,很傻地去音乐无限买全广州最贵的正版，但，值了
L I M O,5,2008-09-05 17:28:53,1,未完成的完成。
令糊葱,4,2008-10-20 01:23:22,2,卡带时代。
莊小壞,4,2009-03-21 21:58:02,2,3.7－－－第六張。封面感覺不像她。
zard砸得王大崩,3,2006-12-14 15:53:28,0,失望。但没有人的方向让人有所感念
夏日扬帆,5,2014-06-29 15:19:49,4,我不难过真是听到烂[我不难过，没有人的方向]
LORENZO 洛伦佐,5,2010-05-03 14:42:04,3,《我不难过》《未完成》《MyStory，YourSong》
汤阿春,4,2009-06-10 00:25:06,1,我不难过
eloise暖,3,2008-07-18 16:02:39,2,我真的懂我不难过
banana*🌈,4,2006-03-24 01:00:13,0,慵懒如初
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-04-27 19:34:52,0,休止符。了。
小M,4,2008-04-24 13:28:38,0,我不难过
伊豆,4,2008-04-29 16:00:41,0,曾经在K房唱《我不难过》唱到流泪。
斯 琰 🌈 🍭,5,2014-06-03 13:10:10,4,断断续续，今天终于听完了~取代《风筝》，成为姿麻的专辑中最爱的一张。《Stefanie》那张的文案说前面3年半发了5张专辑，导致专辑质量有所下滑，可明明这第五张质量最好。加入了不少异域元素，而且既有催泪情歌，也有跳脱情爱反观自身的作品。和《Leave》那张一样是自由随性的。
哪吒男,5,2010-08-05 22:00:45,0,最初的喜欢
高歌,5,2014-01-20 14:17:30,0,女神
○Ⅴ○,5,2011-04-16 15:22:59,0,这是我最喜欢的孙燕姿
不擅长,4,2007-10-09 17:31:39,0,5http://www.xiami.com/album/11669
猛汉世雄,2,2009-05-25 11:47:34,2,唱功极其一般，声音独特而已
钟,5,2009-09-04 16:35:49,0,音乐继续，弥漫想像。
韬,4,2014-03-07 14:45:19,0,这是我买的第一张孙燕姿的专辑，不过当时并没有因此喜欢上她，遇见一个人喜欢一个人时机真的也很重要。这个时期萧亚轩是爱吻和爱上爱两张专辑。
球儿先生,5,2010-08-30 08:23:12,1,你短发发型我最喜欢的一个时期。超过完美和LEAVE
薇羅尼卡,3,2006-01-27 21:01:35,0,印象平平，神奇很红。
微 曇,5,2010-05-08 22:02:16,2,永远不是我就能实现
妈妈我想吃肉,5,2007-10-24 19:01:53,0,神奇~~我不难过~
沉歌,5,2008-01-12 13:34:45,0,我不难过...
Memento Mori,3,2009-12-21 22:14:40,1,奇怪的是，我从来没喜欢过这张专辑。大概与当年的偏激有关【初二】
海孩等pk14,5,2013-02-12 11:57:07,1,一张黑金一张流行听得快精分了~~但这张也好好听未完成那首一直放在ipod里!!
≈,5,2013-08-23 01:23:10,3,(92)新世纪吟唱，非洲打击乐，Hip-hop节奏加上她如梦似幻真假声切换《神奇》，每一次唱都心如刀割的《我不难过》，对我而言意义非常重大的《永远》，《未完成》里的慵懒唱出对生活的沉默与期待，氛围R&B的《接下来》，New-age加上沉睡的钢琴《学会》，简单的吉他pop-rock主题歌《年轻无极限》，叙述诗一样的她《了解》，古典与流行的结合《休止符》，她写给自己的歌《没有人的方向》，结尾一首feat仓木麻衣的《MyStory，YourSong》。这张是我最喜欢的她。
Paul,5,2009-08-21 10:58:40,0,遇见
不如的我的,3,2007-05-20 21:30:43,0,没什么抓耳朵的
[已注销],5,2011-03-19 13:46:46,0,神奇+年轻无极限+休止符+没有人的方向+未完成+学会
三言,4,2009-12-29 16:35:41,0,我不难过，了解永远，学会未完成……
Angeline35,4,2011-05-20 17:10:31,0,我还能完整唱下来的竟然是很低调的一首永远。
嗑樂貓,3,2014-10-11 18:47:54,1,标签台湾的居然比新加坡还多
Carrie,NaN,2014-03-13 12:00:06,1,我不难过
熊生海海蔫蔫地,5,2012-12-19 09:14:27,1,还是李偲菘老师的歌最棒！PS：咋哪都能看到渡边这条狗？！
宇文宙,5,2014-03-10 20:21:40,0,我是从这张专辑才开始认识燕子的，是不是太晚了点呢？
你是桌子我是布,5,2011-01-16 20:58:45,0,封面漂亮歌好听
丹,5,2009-12-26 23:44:19,0,最爱之一.
A-sun*,5,2007-01-22 03:29:02,0,孙燕姿
星尘战场,4,2007-11-23 22:01:20,0,买过的唯一的燕姿的专辑，结果竟然是盗版，NND！还写了篇文章叫未完成。妈妈因为神奇的MV认识燕姿。
≌菩提风花,5,2007-04-02 14:45:42,0,YANZI经典
🌟亚树🌟,3,2006-02-07 18:58:13,0,Mystory　yoursong
kingfish,NaN,2008-06-24 09:41:27,0,不会错的!!
March❤秋天,4,2011-06-02 18:00:54,1,《我不难过》《了解》《学会》
血源2出了吗？,NaN,2009-12-27 00:58:40,0,初中啊初中
家常辣酱,4,2009-03-08 20:50:49,0,高中时期
时间的玫瑰,4,2009-02-22 21:48:32,1,其实她天资极高。
#天籁💤#⛓️,5,2013-12-17 15:40:58,0,神奇、年轻无极限、休止符、没有人的方向，以及featMaiK的Mystoryyousong
煮蓝,4,2007-06-28 16:46:11,0,未完成的，一出现就要有表现。
Echo,4,2010-04-15 16:20:35,0,那年我在高中。
菲以,4,2012-12-31 13:20:32,0,光是神奇跟我不难过就可以四星了。
hotdogyer,4,2007-03-03 12:19:00,0,我那时开始认识她．勇敢的女生．．．．．．
一戾,4,2009-09-28 12:28:18,1,当时听到专集名字的时候想，妈的怎么没有完成就发了，结果后来发现只是个名字而已.
NickyROி,3,2006-05-13 22:55:18,1,她累了
Amik的女朋友,4,2008-03-22 14:44:09,0,燕姿的风格开始转型，喜欢那首《我不难过》。
宋阿慕,5,2008-02-19 13:57:19,0,我买过的第一张孙燕姿的CD，并且当时还买了磁带.未完成、MyStoryYourSong、我不难过都很好听.
NATHAN,5,2011-04-13 00:03:01,0,青澀如斯的嗓音、未完成的成長經歷。生活永遠都是將來時，為何我卻總想活在過去時？
Spheniscidae,5,2006-07-14 01:26:25,0,堪称完美制作，只是曲风略显单一
织毛衣的奥李,5,2011-02-06 17:20:55,0,我可以抱你吗
Felix,4,2009-10-30 11:46:58,0,孙燕姿未完成
洗头油|盖盖儿,4,2008-12-06 21:14:57,0,还买的预售版
Chimney,NaN,2009-09-03 23:52:13,0,2003/孙燕姿
psy,5,2009-03-07 02:11:22,0,听觉上很多元的一张
E,4,2007-02-13 17:55:20,0,神奇
朱大侠。,5,2011-10-08 20:35:46,0,与生俱来的音乐使命感，有了起点而没有终点，现在到未来，是永无休止的音符。
Shining,4,2007-12-03 11:29:57,0,总有些什么，未完成...
❤  立 夏 。,5,2010-09-03 09:42:40,0,2003年。十五歲。外婆病逝，小戀人離開。這年夏天我有更多思量。聽著我不難過卻滿心悲愴，這音色是我所喜愛的，在躲起來的日子裏，她與我形影不離。
美狼,4,2009-12-15 09:04:38,1,好像是在前门附近的音像店买的还是挺一般的
庄5,5,2009-12-27 00:03:49,0,真的喜欢这张比起她现在泛滥的笑容和绚丽的红发那时她很强
ILYZ,5,2009-12-06 10:24:45,0,我爱燕姿
你别偷我鱼啊,4,2010-09-09 13:13:30,0,倒让我爱上了仓木
blueblue,5,2009-12-21 16:58:56,0,我不难过
Danso旦,5,2012-02-19 13:54:48,0,這樣子單方面的守候還要多久？
Vicky,4,2007-05-12 16:20:48,0,第一次听到《神奇》就爱上了，真的很有异域风格。还有和仓木麻衣合作的那首歌，很感人。
小屋檐,4,2010-07-26 20:35:25,0,曾经一下买了十张
奈斯,5,2014-06-11 02:55:52,0,CD
辞掉工作买大彩,4,2007-10-31 16:10:05,0,累了，该沉淀了
北极熊,5,2014-06-06 11:10:12,0,也到了不想提年纪的时候了。
Seashell这样啊,5,2008-12-02 22:51:06,0,最喜欢没有人的方向
Mercury Tears,5,2012-06-23 20:02:06,0,学会
tata,5,2009-12-31 16:59:35,0,这张当年太喜欢了，特别是前两首，神奇+我不难过
在夏天,NaN,2008-02-03 18:30:13,0,最后一次听得她
韦恩斯坦_李,3,2009-10-28 17:42:55,0,我不难过，因为年轻无极限。
大可不必先生,4,2007-12-11 12:34:40,0,高中时的记忆
橋,4,2009-03-09 17:53:55,0,我不难过，这不算什么～
小羊苏西,NaN,2007-01-18 20:16:58,0,我不难过
