user_name,star,comment_time,vote,short
Topfun,5,2011-08-23 11:19:08,425,让我再看你一眼，星空和黑夜，西去而转折的飞鸟，我们生来就是孤独
91.7,3,2010-05-04 18:05:17,161,不知道李逼好在哪
夏日扬帆,3,2010-12-10 20:17:52,55,最爱的是提琴曲，然后我受不了国内INDIE这种调调
blbsunny她没准,4,2007-03-20 08:40:55,56,比左小祖咒嫩点儿也可爱点儿
Song³,4,2008-12-18 12:28:36,66,广场
丝绒陨,5,2008-07-06 15:15:17,49,一粒李志等于一瓶阿司匹林。
DeerColin,2,2014-11-16 13:25:40,16,什么时候包裹在粗俗文字下的东西成了一门艺术？Only第七轨【梵高先生】
Hao,4,2010-01-23 21:51:50,16,你离开了南京，从此没有人和我说话。
selfcomm,5,2020-05-05 21:05:14,33,豆瓣居然没有下架，打五星支持一下逼哥。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2009-11-25 21:03:10,2,功课碟
virgin,5,2008-10-29 13:37:12,10,(我们生来就是孤独)希望死时不是:)。。
离净语,5,2007-04-22 20:10:14,3,删掉之后很久才在回荡
要早睡啊minami,4,2009-11-12 12:15:49,2,"原来文艺这么可爱~我也李志了一把(￣▽￣)""　"
眠去,5,2007-04-06 13:13:26,11,你，我，是，同，一类，人。
叶酱,5,2012-03-22 17:26:15,5,梵高先生！！！我们生来就孤独，我们生来就孤单！
范困,NaN,2008-11-29 00:07:18,1,真好听。
ztlpoppy,4,2009-03-30 17:52:37,1,好的很
收音鸡·耳東,4,2018-07-12 14:20:28,2,前三张的精彩!也收到了专辑CD再版发行的元年大海报!Y:)~~
不万能青年,5,2012-05-26 13:54:15,7,不管你拥有什么，我们生来就是孤独。
zard砸得王大崩,4,2010-02-06 08:08:34,2,城市游吟诗人李志让我们体会孤独的别样滋味。~想起了他~梵高先生
Inevitable,5,2009-04-09 01:34:45,1,李志有种说不出的劲儿
基一凹,4,2013-04-15 21:58:04,1,很早前听的了感觉不错~
Enjoy🌈Rachel,5,2012-04-25 18:13:22,0,又是大爱同名曲～特伤感的一张～我们生来就是孤独Q_Q
乡愁,3,2010-04-11 20:53:26,1,我再看你一眼，星空和黑夜，西去而旋转的飞鸟。我们生来就是孤独，我们生来就是孤单。/你这样的生活到底为了什么，我看见你靠在窗口沉默。路过了青春我们还拥有什么，这让人心慌。/爱情来了，它穿过夜色来看望一个人；命运来了，它带着天平给每个人算命。
飞老湿,4,2013-11-04 16:08:03,4,【听过补遗】当年要装逼，怎敢说没听过《梵高先生》？去年看了李志现场，发现他自大无趣低俗讨厌，甚至连这张都不想再听了。但是无论如何，还是以当年的心境给个四星吧～
尉迟,5,2008-05-23 23:13:06,0,这样干脆
Ridden,5,2007-12-26 12:52:40,1,你离开了南京，从此没有人和我说话(乐曲)。董卓瑶。
下午三點,5,2020-06-09 23:34:17,12,曾经的我还不太认识他，错失过live的机会，后悔
莊小壞,4,2009-03-21 00:55:30,0,4.5－－－第二張。
Luffyjun,4,2013-04-27 21:24:26,3,我也最喜欢《你离开了NJ，从此没有人和我说话》，里面的小提琴和钢琴配合的真好。其次是《梵高先生》。爱情好幽默，你我都沉默。此后，万物皆静默……
薇羅尼卡,4,2015-04-23 11:09:50,1,暧昧
