user_name,star,comment_time,vote,short
知识雪豹,4,2013-04-22 23:45:51,235,我觉得他跟周杰伦一样，不适合推精选，因为专辑都太有概念性，做成精选反倒破坏了概念性
tlmgt,5,2011-06-07 00:30:03,75,今天没回家，内地引进版和谐了这首新曲，诶
岛上的夏奈,5,2013-07-07 21:57:45,41,他现在flop得好彻底。
令糊葱,5,2008-10-16 02:44:17,11,卡带时代。
香水瓶,4,2006-04-15 15:56:55,13,重新编曲的《天天》，更好听了！
兔球波,NaN,2012-04-21 19:24:45,5,普通朋友，简单爱，寂寞的季节
停用豆瓣勿cue,4,2018-09-22 21:31:26,5,#透光警告#条码0724359333823，港台版同一条码。这张台版有大量的氧化迹象，建议买金牌大风港版。
泪小鱼|念。,NaN,2007-11-01 20:37:15,1,是否真的可以如此坚决？
Kreuzberg,5,2012-01-01 18:39:43,0,小学买的这张今天翻出来听听
vi vi ちゃん,5,2012-06-08 14:57:16,3,那一年的暑假每天都在听天天天天天天
zard砸得王大崩,4,2006-12-15 14:32:58,1,好听
口袋_肥力士,5,2013-04-03 12:51:37,2,现在听这张专辑还是各种经典，尤其是作曲和编曲，只是相比起来歌词也是好像美帝流行歌那种ohmybabyyouandmeXDDDD
猫打喷嚏,3,2010-04-27 19:43:27,0,不是很喜欢他这种r&b
哀酱,5,2009-12-09 00:03:20,0,爱，很简单
麋鹿橙,5,2011-11-11 16:28:07,0,有我很喜欢的《天天》。
基一凹,4,2011-11-13 17:28:43,0,~
小狐狸BOBO,4,2005-12-26 15:40:16,1,大师的路，步步追寻的足迹，热爱的绝对！
小魔@优雅穿梭,3,2009-10-23 17:17:51,0,评价陶喆太难了，弹出来一首歌吧，你说我也不讨厌你这样的pop，但是我也没那么喜欢你这样的假R&B，纠结的评价....
Summer孙夏天,3,2011-08-01 10:26:39,0,天天
柠檬 -w-,5,2010-09-15 17:54:32,0,这张经典~
letriple,5,2006-08-12 10:58:34,4,夏夜的冰品店里，一整晚都在放david的歌。
evan是幻想家,5,2009-09-10 20:02:15,1,乐之路，通往心情之路。。。
静@Einfühlung,NaN,2011-05-01 18:52:58,0,轻轻松松自由！
Miss Lucky,NaN,2007-02-25 11:46:06,0,爱，很简单
不擅长,4,2007-10-12 15:47:23,0,http://www.xiami.com/album/4321
雪  叁更,5,2011-06-20 11:38:44,0,经典
塘坑一姐小渡边,5,2013-12-22 19:15:22,1,我喜欢、寂寞的季节、爱，很简单、飞机场的10:30
M2,5,2009-11-26 15:19:54,0,首首经典
亞麻君,5,2010-01-07 00:09:21,0,買的第一張陶喆的專輯就是這張
薇羅尼卡,5,2006-05-28 14:36:46,0,精选集，首首好听
某S,5,2018-11-02 17:36:29,3,突然想听上海话，第一反应就是《今天没回家》。哎那时候多好听啊。
丹,4,2009-12-13 10:05:40,2,寂寞的季节。
Happy Wiggin,5,2010-02-03 19:18:10,3,反反复复听了一星期《寂寞的季节》
阿Gin波尔迪,5,2011-11-16 19:32:52,0,拖出来听听
老夏天___,2,2009-10-23 00:32:45,0,真心脚的只有《寂寞的季节》为什么黑人都是灵魂歌者，而这位大叔一唱起来就像圈钱的....?
王晓啥,5,2010-01-23 15:49:25,0,最喜欢的一张~
纯子,5,2010-01-28 17:09:51,0,我喜欢陶喆早过周杰伦。
一絲不掛,5,2008-10-12 06:44:32,0,难以评述，那些DEMO也动听
JasmineJasmine,3,2008-06-11 15:31:49,0,总觉得，他有才，大家也很用心，可是总差那么一点点。
Paprika,4,2011-10-25 12:03:08,0,男友又翻出来听了……
linn,5,2010-11-24 12:50:26,0,很爱
linds_plumage,4,2009-12-21 21:01:40,0,对本人最有意义的一张陶喆的专辑。
十个斗的眼窝浅,5,2010-07-27 21:35:42,1,太TMD好听了，首首都爱！！！至今！！！
笪笪,5,2011-05-21 14:48:48,0,那么多经典永流传
战国客,5,2009-02-24 18:43:14,0,爱，很简单&寂寞的季节
壹壹桑,5,2009-12-19 10:21:29,0,很爱的一张专辑~~~还记得那时候我们硬着喉咙唱寂寞的季节~~~thoseoldgoodmemory~~
~ visionary ~,5,2013-02-08 16:50:22,0,为数不多会不断拿出来听的碟。可惜当年买的是盗版碟……很遗憾……
黛二小姐。,5,2009-07-07 23:47:42,0,经典太多。
煮蓝,5,2007-12-06 17:11:51,0,陶吉吉是属于我们的某种暗语，和寂寞季节有关。
小小,5,2011-12-09 18:42:07,0,经典的一张。
Gavin|江湖骗子,5,2010-07-31 01:51:38,0,到现在最爱的陶喆的歌大多数还设这张里
蕾蕾,5,2009-07-12 17:36:38,0,普通朋友小鎮姑娘Melody找自己愛很簡單沙灘
Bio,5,2012-02-14 13:15:39,0,高中回忆依然
hotdogyer,5,2008-07-01 23:13:49,0,一级棒
