user_name,star,comment_time,vote,short
Song³,4,2009-12-29 17:06:05,79,将原汁原味的灵魂乐汉化后成功进驻主流
凹凸代餐,1,2009-08-11 22:49:51,39,实在是对方大同爱不起来。歌词真是烂的可以
Bill,5,2009-01-14 20:30:35,38,方大同是新时代的歌坛领袖每张专辑在保持风格的基础上有所突破是非常重要的在某些一线艺人总是试图要改变自己证明自己的时候也慢慢毁掉了自己的风格方大同就很有大智慧
🌈時雨,4,2009-11-20 21:32:41,12,难得偶听中文歌(^_^)呵呵
長閑,5,2008-12-25 17:21:44,17,「爱是两人一张棉被，也是一人一瓶清水。」
乡愁,4,2010-10-01 22:55:35,7,你那白的裙摆，那黑的刘海，教我说美丽的一句对白。/闭上眼睛，我好想带你到我的行星，看我看的风景。树上长爱情，河水洗回忆。什么都可以，只要你愿意。/这世界什么都会陈旧，除了你回头的微笑。
今天小熊不吃糖,4,2009-03-11 13:40:17,5,不由自主地想起了陶吉吉
颜良辰,3,2008-12-26 13:51:38,0,我不觉得好听。
锐利修蕊,5,2009-10-16 22:45:40,3,最喜欢的方大同。
L I M O,5,2008-12-18 16:09:18,2,黃昏依然。
Claire,5,2009-05-17 16:18:44,2,It'salovesongforspecialsomeone.
欢乐分裂,5,2009-09-12 16:04:51,8,世界陈旧，只有你回头微笑依旧；只等你来唱和，我会在你左右。
范困,NaN,2008-12-21 09:39:29,0,没什么进步。
雅克,4,2008-12-22 10:45:24,0,备胎
littletwo,3,2009-01-24 00:07:04,1,怎么那么像早期DT啊？
令糊葱,4,2009-03-08 14:47:18,0,改变了在我眼中就是垃圾的印象。
with,4,2008-12-30 21:23:28,1,方生给全世界的甜蜜蜜圣诞，但其实，大家都不觉得方生好闷么，继续寻找上次在广外见到的极似方生的人
马35(L)M.坚持,5,2009-02-06 21:07:20,1,每次封面都很囧
DeerColin,5,2014-12-27 13:56:40,4,比起上一张【未来】，这张在一定程度上是一种退步，旋律变得很有亲和力，流行味十足，节奏也变得简单。但这张在一定程度上又让他更为人熟知，推广了他的R&B和Soul，【三人游】，KTV第一次唱他的歌。
zard砸得王大崩,5,2009-01-22 15:59:38,1,简单自然流畅，午后小点
丶,4,2011-12-09 12:39:15,0,的确是最精华的。
香水瓶,5,2009-03-25 14:57:47,1,刚开始听先给了五星他是我最近几年最看好的新星对他的音乐真是一见钟情~~
捞,5,2009-02-24 01:45:49,1,依然是我爱的声音。
尉迟,4,2009-07-28 16:44:46,2,Singalongsongismysong。
YoyoRan,5,2008-12-24 22:13:44,3,第一次听他的歌就知道他必红三人行黑洞里树上长爱情，河水洗回忆。
草威,3,2009-01-11 09:58:49,1,至于的么
目黑,5,2009-02-21 12:55:38,0,第一版的封面香港胜出...情人节版台湾版胜...
李念河重出江湖,4,2009-03-27 15:04:35,1,超超赞！
banana*🌈,4,2008-12-18 13:42:58,0,新发型太挫了...--(DB真好！DB真好！)
小魔@优雅穿梭,NaN,2013-05-11 23:20:24,0,singalongsong
Summer孙夏天,3,2011-01-26 10:07:54,0,小小虫
○Ⅴ○,4,2011-04-19 12:40:36,0,我懂了三人游
BlackScholes,4,2012-12-18 05:16:15,0,Singalongsong，小小虫，黑洞里，爱我吧
evan是幻想家,5,2010-12-08 19:36:00,0,三人游。。。
大头绿豆,4,2009-08-16 10:40:24,0,唱腔至in，情调不俗。（第一次使用在Google在线试听听完一张新专辑。）
姚大傻咖咖,5,2008-12-21 13:20:52,0,太好听了，话语少有的R&B唱将！
阿镇,3,2010-10-29 16:37:41,0,Singalongsong(English)♡♡♡♡、為妳寫的歌(Singalongsong國語版)♡♡♡♡、三人遊♡♡♡♡♢♢、黑洞裡♡♡♡♢、黑白♡♡♡♢
乐化天,4,2009-01-09 13:25:52,0,歌詞主題重複太嚴重了
品客,4,2009-04-25 06:40:36,0,歌词有进步
mosquito惟,NaN,2010-07-12 02:28:39,0,三人游
Cedrick,4,2008-12-20 13:35:25,1,方大同走向广大豆瓣青年的第一张专辑
逆风飞扬,5,2008-12-21 12:11:17,0,比未来更喜欢
不擅长,4,2012-08-26 10:16:41,0,http://www.xiami.com/album/311902
Pandy,3,2009-04-08 13:20:05,0,对R&B缺乏热情...
曾二郎,5,2012-05-08 22:10:15,0,记得，我对英子说，这歌你爱听吗？她说，你怎么也听这么俗的歌？
17950,5,2009-01-13 15:19:23,0,08POPTOP10
音乐小分子,5,2014-12-16 13:12:54,2,小虫也有它用途
麦单,4,2009-01-12 13:52:57,0,四星半。
岳璇,5,2009-11-17 22:15:40,0,美！
钟,4,2009-09-03 15:25:28,0,这张还挺好听的。
薇羅尼卡,4,2009-01-13 02:09:39,0,国语说的蛮标准，挺动听~
evonne||芝士命,NaN,2009-01-23 22:23:22,1,简单得那么好
memory,4,2010-01-25 13:16:22,0,又见大同。
徐大阳,4,2010-03-29 15:00:31,0,高三最难捱的时光有这本专.
Illusion,4,2008-12-19 04:00:37,0,后半部分好听些//三人游
黏黏雲端,4,2021-10-26 08:10:23,0,传说中的如果爱三人游小小虫，都集合在这里，失敬失敬
Angelo_44,5,2008-12-25 23:31:12,0,水準依然
Memento Mori,NaN,2010-05-05 14:15:32,0,看到四小天鹅我就烦。
Белка,4,2008-12-27 21:52:54,0,望天，小有感觉+小别扭
中世纪福音工人,5,2012-04-20 20:04:10,0,么么么么么么么
逅宝,4,2009-02-01 00:12:46,0,这张封面不错水准之内每个人都会
kokki@靠模子,5,2009-01-01 13:06:07,0,三人游
时以星,NaN,2008-12-30 03:01:47,0,大同啊
莉莉🦁,NaN,2010-01-06 18:52:20,0,和之前有些不同
日烟火,4,2009-02-20 12:59:57,0,我突然发现他倒是很有意思的。singalongsong让我突然一下清醒了。
笑一步是好青年,5,2011-08-01 22:18:41,0,所有专辑中最无感的就是这张，可能是偏见，也或许是潜在对soul的爱
BigFatWendy,5,2008-12-31 12:11:46,0,一不小心以为在听陶喆
复活节彩蛋,5,2008-12-23 21:06:03,0,我听过他最好的一张
娘口三三,5,2009-02-22 16:31:54,0,感觉比未来还要好听
endy,5,2008-12-19 14:05:05,0,不够黑。但是也太棒了吧！！！
Soda兰,5,2009-05-28 00:36:00,0,因为F和他的小可爱才听的
破产君,4,2009-02-22 17:43:09,0,Singalongsong
