user_name,star,comment_time,vote,short
犬犬七🏳️🌈,5,2014-06-26 17:20:04,29,这张也是在卓越上买的，放了几个月才发现封面可以打开成为一张海报……当时音乐课的老师说可以让我们自己带碟片去放，边听边自习，于是我就放了这一张，然后她不太开心说不要放这么小众的，于是我就每天在广播站放【。
Doublebitch,5,2008-12-21 12:39:44,11,曹方最好的一张
Dyingpluto,4,2007-11-25 21:13:31,5,忽略这一首不错
thundercat,5,2007-12-15 22:48:11,7,旅途比天空还遥远
Samuca,5,2010-05-27 13:17:22,4,第一次发现你是因为最小的海，因为我正离开我最小的海。
狮子人,4,2007-12-01 00:56:12,2,还挺好的。主要是我很想念她的声音。：）
Summer孙夏天,4,2011-01-26 11:18:59,1,最小的海
泪小鱼|念。,NaN,2007-12-16 15:42:04,0,喜欢最小的海。
1806,5,2015-10-27 12:36:16,0,早期的专辑多有灵气啊~
踢踢踢,3,2007-12-29 10:31:48,0,賣的好貴啊--不知道重點是唱片還是攝影集..莫名==
Μουσαι,3,2011-06-11 00:53:01,0,夏末的萨克斯手|夜晚
ztlpoppy,3,2009-03-15 15:41:50,0,说实话，这张唱片没有想象中那么出色，旋律静静地滑过的时候有一种舒服的感觉，但却谈不上享受。17多分钟的清新感，象是吃一颗tigtag，有淡淡的，薄荷味的回味。随即不上上几张专辑《遇见我》，风琴和吉他这样干净简单还是可以让我稍稍在污浊的空气中喘息。夏末的萨克斯手是我印象最深的歌，简洁的和弦颇为动听，伴着怪异的语言以未完成的姿态出现，这是一个小婴儿一样的作品，清澈得像小猫的眼睛。也让我期待起icy的新作
Odding,5,2007-12-30 22:58:59,0,真好听～～
tlmgt,1,2012-12-17 02:48:59,0,从这张开始，她的歌宁愿只听伴奏。这张比《哼一首歌等日落》那张还烂
徐达多,5,2009-02-07 23:34:40,0,坚定温暖的声音
固力果guriko,5,2010-02-04 09:15:55,0,那天我没有去……
半袖,3,2007-12-19 19:00:04,0,如此奢华的售价，实在没法不让我讨厌她。
浅,5,2007-12-18 12:05:58,0,很好。
zard砸得王大崩,4,2007-12-07 14:01:35,0,最小的海
virgin,4,2010-09-12 22:54:17,0,还是延续了前两张的自由和好听的，比第三张还是要高一层的。。100912收到~~编号4576。。
夏日扬帆,4,2015-07-06 22:01:47,0,的确也是属于当年怎么听怎么不喜欢的内地文艺，但是现在听感触完全不同了，比天空还远的旋律好棒
ladybird,NaN,2008-01-22 13:10:32,0,icy
Soyobell,4,2008-01-03 22:27:38,0,喜欢她的嗓音，干净的，独立的，像独自欣赏着天空的感觉．
纨卿,5,2007-12-12 12:18:40,1,最小的海断绝天与地自成风景她像只黑夜里小蜡烛
