user_name,star,comment_time,vote,short
1806,5,2015-10-24 13:07:03,171,说实话，苏打绿这张是我个人觉得完成度最高的一张，是最出色，概念性最完整最流畅的一张。什么元素都有，龚钰祺这个古典音乐鬼才在这张专辑里把他的才华发挥得淋漓尽致：游乐、白日的俏皮，花茶，四季狂想的文艺，左边，标题曲和相信的通俗，简单生活、城市的简约，这天的奔放
颜良辰,5,2008-04-14 17:48:57,82,真是歌如其名。无与伦比的美丽。很久都没有沉浸在如此美丽的音乐里面。他们是一直保持着好听的水准啊。很喜欢【左边】里面的一句“我需要寂寞。来抚摸雨季中百花凋落过后的沉默。”还有【这天】一开始呐喊的两句。【简单生活】的慵懒。【城市】的静谧。【相信】的美好。
Bill,5,2008-05-04 18:56:49,72,还是那个熟悉又陌生的声音很难忘的成长风格开始有些转变古典与流行的嫁接无与伦比的美丽名字非常令人印象深刻白天出没的月球是整张专辑中最深刻的歌曲越来越赞叹吴青峰无与伦比的才华
Song³,4,2008-09-07 16:25:54,29,摆脱了一般流行摇滚乐团的模式，专辑加了不少的弦乐和古典乐的成分在里面，听下来给人一气呵成的完整感。
固力果guriko,5,2009-12-27 19:52:40,50,你是这世界上无与伦比的美丽
小馨。,4,2008-10-03 11:23:19,13,很好很强大
tlmgt,4,2011-05-16 23:03:08,10,白日出没的月球城市
叶子阿姨,5,2008-10-22 15:34:29,17,你知道当你需要个夏天，我会拼了命努力。
Aragaki,5,2008-06-01 14:56:28,11,“当你需要个夏天，我会拼了命努力。”这般情话已足够
女巫,4,2008-01-04 14:42:51,6,我的SODAGREEN
MochaTong,NaN,2007-12-30 23:47:23,9,你若担心你不能飞，你有我的蝴蝶。
影志,5,2011-08-02 14:56:41,8,过一种生活在你的王国
L I M O,5,2008-01-01 00:59:26,3,這天無與倫比的美麗。
夏日扬帆,4,2013-07-03 13:03:18,2,这天的词很赞，无与伦比红透了大街，相信的管弦乐很美，左边钢琴制造的交响乐效果很棒[相信、无与伦比的美丽]
猫打喷嚏,3,2010-04-26 14:05:06,1,除了小情歌一首，他们的其他作品我真的欣赏不来。。
瓜。相信这个世界很变态。,3,2007-11-17 16:29:02,0,不喜欢.但颇花心思.
Topfun,3,2015-04-30 16:06:45,3,天上风筝在天上飞
