user_name,star,comment_time,vote,short
詹尼金,5,2011-04-24 00:23:26,270,很难相信这是一张十年前的唱片，精彩地像神经病一样的唱片。所有参与制作的人都正处于各自的巅峰。
香水瓶,4,2006-04-15 15:46:13,256,每首都好听，但最打动我的是《迷魂记》。
丶,5,2011-12-06 18:45:41,133,那首流年我记了很多年。有生之年，狭路相逢，终不能幸免。
斯 琰 🌈 🍭,5,2014-08-26 22:07:37,147,神经质的自娱自乐。《流浪的红舞鞋》中那一句“歌唱到疯癫，我愿弃世登仙”就是此张专辑的注解。
塘坑一姐小渡边,5,2017-11-04 13:36:34,99,王菲这张《王菲2001》又名《女皇的新衣》，其实就是王菲天后的名义试探一众词曲人的水准，是一张华语歌坛的考卷来着。《王菲2001》不能代表王菲，代表的是华语歌坛的幕后工作者们。
数人的绵羊,4,2008-06-06 23:24:29,68,歌唱到疯癫，我愿弃世登仙。
tlmgt,4,2011-06-07 01:34:06,27,夜会。
锐利修蕊,5,2010-09-10 14:49:48,9,王菲大碟里我私人最爱K的一张
偷偷,5,2014-11-23 17:38:36,27,高二的时候，那是50元就可以当一个星期生活费的日子，我在音像店的最前排买了《王菲2011》CD，花了60元，然后吃了一周的方便面。就这么听呀听，听到大家都不再唱《白痴》的年代，听到王菲隐退再复出的日子，就这样耳朵和这张CD纠缠了十多年。10年，变数太多，不过是一场迷魂记。
ztlpoppy,5,2009-01-22 01:50:10,2,张开透明翅膀---至今记得那个六年级的雨天
筱晗,5,2007-05-10 17:26:49,2,这大概是我第一次喜欢她的唱片，因为《流年》
Bill,5,2008-06-07 18:33:46,2,光之翼的开场异常惊艳蔡健雅的创作很不错相比以前的专辑而言这张弱了一些
川总,5,2011-12-17 22:52:34,10,色盲在单行道上的迷魂记。
阿落,4,2007-03-07 23:45:56,1,有点出乎意料的好
果酱☮,5,2008-12-14 00:39:10,0,买过卡带
浮生若梦,5,2008-06-19 01:36:03,2,经典中的经典。
光年‖影视歌三栖民工,4,2009-12-03 17:29:32,0,好像没听全
DeerColin,4,2014-08-29 13:51:34,5,这就是歌坛甄嬛祸害其它艺人的又一铁证啊，哇咔咔！王菲出完这张又发行了《将爱》之后就隐退了。伍佰的那两首完全没有Hold住，这种爆裂肆意的曲风还是交给伍佰吧。陈晓娟的《流年》最好听，谢霆锋的《迷魂计》也不错。《色盲》好像《暗涌2.0》
virgin,5,2009-05-05 15:02:03,1,五星!已收CD!:)。。
○Ⅴ○,4,2011-07-04 21:24:07,5,迷魂记成了继末日之后我最喜欢的粤语歌
戒掉猫的鱼,4,2010-11-12 21:20:55,6,风格不统一，但每一首单独听都是佳作
捞,NaN,2008-10-28 20:51:16,0,喜欢的却是女王的新衣～
NeonBible,4,2013-09-03 22:03:24,5,不是王菲最优秀的专辑，但也是一张优秀的专辑。舍弃了老班底，改用了全新豪华阵容：蔡健雅、伍佰、深白色、陈晓娟、三宝。《光之翼》酷，《流年》柔，《单行道》迷。
洗头油|盖盖儿,5,2008-11-10 21:29:52,2,音乐上的新尝试离开张亚东她迎来新高潮。
何,5,2007-10-07 19:32:14,1,不像阿菲的一张唱片
T3的小喇叭,NaN,2010-08-16 07:47:00,1,菲姑神马的只是浮云，只为金武林。
谁亲爱的偏执狂,5,2010-06-09 14:48:12,4,在之后的王菲就不太能接受了。。
夏日扬帆,5,2014-04-02 15:36:42,0,整体性没有浮躁来得好，但是每一首歌拿出来真的都很超前又独特[打错了，光之翼]
大橘喵子^ ^,4,2011-02-17 10:12:38,2,当年一边看HP5一边听<有时爱情徒有虚名>。在看到小天狼星死的部分记住不断重复的乐句。导致今天一听到这首歌总觉得旋律很绝望很凄惨:P
小城鱼太郎,5,2013-11-09 10:28:13,2,神砖！！！
看上去很假,5,2013-10-08 15:21:11,2,光之翼好神啊每天循环130遍了噜
小魔@优雅穿梭,3,2011-03-23 22:36:06,0,当年我并不喜欢这一张
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-07-02 00:33:34,0,Faye..
狮子人,4,2007-10-28 10:55:49,0,coolfaye
葛兔痣,NaN,2008-07-28 15:44:09,0,lovelove
时以星,5,2007-05-24 11:32:38,2,你让我相信还真有感情这回事啊怀念都太奢侈只好羡慕谁年少无知
牛腩羊耳朵,5,2008-02-21 18:24:12,3,喜欢光之翼
ishine,4,2007-10-30 11:44:46,3,以前不喜欢这张，但现在觉得这张很好啊~
山川若水富江萌,5,2011-02-23 03:08:21,0,大愛色盲
essence.c,3,2009-12-04 13:09:28,0,【光之翼】【有时爱情徒有虚名】【流年】
CiCi,5,2007-01-11 15:33:04,1,手心的曲线是你宿命的纠缠，迷幻的涂鸦掩不住你空洞的眼神。
薇羅尼卡,5,2006-03-23 22:39:02,0,喜欢流年
艾桑,5,2006-05-08 18:53:47,2,经典
安东妮,3,2006-02-17 21:02:32,0,曾被迷魂
新竹,3,2014-05-03 14:11:29,0,夜會。
涵哥吉祥🌈,5,2015-02-28 09:22:26,0,怕甚么怕习惯豁出去爱上他人但却不懂去弄完假再成真
洛萧潋|我是喵咪老师(≧▽≦),4,2014-09-28 15:20:58,0,等等夜会这两首就是听十年也不觉得会腻
五月微蓝,NaN,2007-12-17 17:57:27,2,这里的Faye很个性，够酷，很好。
逅宝,5,2008-07-25 17:07:45,0,不好说第一盘faye的磁带不了解的根源
阿Gin波尔迪,5,2010-06-14 17:11:09,0,有你最完美
某S,5,2013-08-26 11:18:13,0,从曲目看，这张对我来说是王菲的启蒙，今天终于第一次听完整碟。
普通美,NaN,2016-07-21 00:36:27,9,这张唯一好的就是。。封面吧。蔡健雅的两首基本是英文版翻唱，王菲录音后才知道是人家的剩菜。伍佰的两首电子也是因为觉得莫文蔚《一朵金花》很好所以力邀，结果很台。迷魂记原来是给孙燕姿的歌，王菲自己拔高几个音也将就着唱了，每张必有的“流俗”款这里是《流年》，反而是老将陈晓娟超常发挥。总而言之大杂烩，她抠着手心，气鼓鼓唱完了。
[已注销],5,2011-02-28 21:48:19,1,色盲+夜会+流年+两个人的圣经+单行道+心路+迷魂记
流深,5,2009-03-28 18:27:40,2,最后，谁也算不出谁的流年。
薛定谔的毛,3,2011-12-18 19:21:22,1,不太喜歡封面。
AnnChan,4,2006-01-27 13:36:12,2,我喜欢谢霆锋为她写的那首《迷魂计》。
Angeline35,5,2010-11-07 10:25:41,0,买磁带的年代在我的sonywalkman里循环最多次的专辑。
ｅｍｏｌａ,5,2010-11-15 22:41:14,1,王菲最喜欢的一张
JasmineJasmine,5,2007-12-25 23:06:31,0,首首好歌
清爽🤕,5,2012-01-12 20:10:05,0,就很棒很棒的样子！！！！
Vince♫,NaN,2011-06-03 17:15:16,0,打错了
萌塔 C-137,5,2010-05-01 20:54:44,0,都怪我出生太晚
月山行,5,2012-06-26 23:33:34,0,你的2001/我的2012
TristanShen,4,2009-01-14 10:20:10,0,3.9
北纬30°,5,2008-05-13 11:53:43,0,日光倾城的流年
靠谱青年™🌈,4,2007-12-16 00:57:08,1,夜会，好听啊
Bigdumbface,5,2007-07-02 16:59:37,0,永远支持你
慕容狐仙,4,2005-11-07 15:07:16,0,2001
巽,4,2007-12-07 18:09:49,1,这张却是听的第一张，承载了太多东西.基本与王菲无关，无音乐无关.仅关乎记忆与时间
家常辣酱,NaN,2010-03-22 00:15:54,0,突然翻到了高中时买的卡带。。。
石白,5,2007-06-01 23:51:53,0,爱。
Eve|Classified,5,2014-04-23 09:41:14,0,再听。
北北,5,2008-05-18 20:14:51,1,个人最喜欢的。高二时候听的歌。绝对是所有专辑中最经典的一张。如果一定要排序的话。仅次于《只爱陌生人》。我会说，1990年末和2000年初的她，是颠覆。
宇宙漫游,5,2014-04-04 16:23:30,1,原谅你和你的无名指你让我相信还真有感情这回事啊怀念都太奢侈只好羡慕谁年少无知。
器官坏死,NaN,2008-03-31 13:51:14,0,流年－－流不住明天
W,5,2009-11-17 16:46:04,1,初中的时候反复反复反复地听。现在在听，爱得更深。
翡冷翠,5,2008-05-27 16:28:23,0,冲着有时爱情徒有虚名也要给五颗星
烟,5,2013-04-25 18:51:46,1,怕什麽，怕愛人，為你寫歌的男人，註定不能成為你的愛人。
mikaholic,4,2009-04-14 12:29:28,0,梁翹柏等等一堆港臺當時很紅的班底呢~
--三思--,4,2012-06-28 10:09:41,0,我紧张的想哭，多年后想想今天值不值得
六月天蝎,5,2008-12-23 21:01:27,0,耐听
时间的玫瑰,5,2006-09-27 16:19:08,0,打错了／不眠飞行，WYMAN很灵的。
penumbear,4,2012-04-09 13:18:52,0,单听每首都可以，但合在一起多听几遍就发现很多音乐人风格太强，从而削弱了王菲个人的演绎。所以整张专辑好的地方在于有强强联手，百花齐放的意味，坏的地方在于个性却不统一，好听却不耐听。
Dark Lounge,5,2011-11-04 09:33:25,0,我们的十年
crascopy,4,2020-11-27 00:20:48,5,83/100有特别好的歌（光之翼，夜会，不眠飞行），这几首都是全方面的成熟。而所有次一档的歌，都有种编曲大于词曲的既听感，这本身是没什么问题的，寓言五部曲也是编曲大于词曲。但如果词曲就是普通港风流行的话，那就没法不把它们而非编曲当作欣赏的重点。至于王菲的vocal...萧峰能把太祖长拳打的比少林神功还猛，王菲的声音是一个理，再平常的歌都能被她提升好几个档次
奈斯,4,2013-01-25 17:59:25,1,你让我相信，还真有感情这回事。
sickid,5,2012-09-06 18:38:30,0,你有你的天分。
五月之星,5,2008-03-09 21:15:24,0,流年就是时间，时间就是流年
紫漠,4,2008-04-18 00:56:35,0,其实没必要选，每张都听过。
每天一粒茶叶蛋,5,2011-05-29 13:33:57,0,光之翼！！！打错了！！！流年！！！迷魂记！！！
cerf‘s,5,2012-12-20 16:33:45,0,不眠飞行.色盲.迷魂记.
aprilapple,4,2009-04-05 22:34:32,1,夜会
茶二,5,2009-12-05 21:47:37,1,她老让我想起初中爱彪口水的班长……还不幸和他同桌过……许久不见这厮混到搜狐高层切了…还是对她如痴如醉……
❤ 。韩小绿,4,2009-12-17 10:09:50,0,等等打错了流年
Felix,5,2007-09-21 15:10:49,0,王菲faye
望仔放弃减肥了,5,2009-08-14 16:26:36,0,王菲已经说明了一切
风雨暗花,5,2008-04-28 19:05:14,0,抓不住算不出，流年流年。
十二楼,5,2007-12-01 18:42:09,0,我还比较喜欢这张声音虽没过去好了但感觉依旧不错的
