user_name,star,comment_time,vote,short
PabloHoney,5,2010-04-05 23:24:05,82,看的DVD，辛苦梁静茹了，这都是吃力不讨好的事啊！！！
肉卷卷又称肉卷,4,2010-09-26 10:23:59,46,上虾米的时候翻到这张砖，好像开始听懂李宗盛大叔了，我果然是老了
zard砸得王大崩,5,2007-10-24 12:39:56,30,每个人心中都有一首李宗盛
Song³,4,2010-07-01 21:54:11,15,每个人心中都有一首李宗盛。
冰山李,4,2013-11-24 10:42:44,20,沒有梁靜茹就五星了
锐利修蕊,5,2015-12-18 21:54:32,22,李宗盛99年给莫文蔚写过一首《阴天》其中一句“也许像谁说过的贪得无厌活该应了谁说过的不知检点总之那几年感性赢了理性的那一面”总结起来就是这场演唱会的题眼。只是对应李宗盛这些年的经历，代表理性的那面是发掘了太多优秀的歌手，为歌坛输入的力量淬炼极其。感性的那面则是要属他的创作了。这张Live专辑陪伴我度过无数个不眠的夜，认真听反而更加清醒。如李宗盛这样擅长写词，下笔纵有感悟心得的人，仍然在劝慰新欢的必要和旧爱的难忘。活在娑婆世间，情场得意处不是幸福，失意时也非不幸。但看得太清却终是命运中的孤独僧者。于是后面的那场演唱会取名为“既然青春留不住”，盘点那些唱熟烂的作品。后半句是“还是做个大叔好”是为放下，皆得到。如李宗盛这样的创作者，是掸掸这几年落下的灰尘；留在一处，听他人的故事，磨砺自己的心。
令糊葱,5,2008-10-15 01:34:20,11,演唱会也看了，我圆满了。
春风颜色,5,2011-05-28 09:00:50,11,李宗盛的词很直白，甚至不避俚俗，却极有道理。
阿朽,5,2009-10-08 22:21:52,11,歌就值了五颗星，人嘛，我是觉得他有点猥琐。。
固力果guriko,5,2011-08-10 14:28:50,7,每个人心中都有一首李宗盛
亵渎电影,4,2013-03-02 00:59:02,11,李宗盛的歌应该可以改编成一部不错的音乐歌舞片，讲叙那代人对理想和爱情的执着追求，再借鉴点他的两段感情经历，应该很知性很催泪。就像【穿越苍穹】用披头士、【妈妈咪呀】用阿巴合唱团的歌曲那样，有些人很善于听着歌曲和意境制造故事，这也许会是个好主意。
Bill,5,2009-11-12 16:34:26,2,沧桑的一去不复返《十二楼》很有风格
刘痒痒,5,2012-12-19 18:17:41,11,被洗脑了，煞笔摇滚乐一边凉快去吧
齊克斯尼力佐飛,4,2013-03-08 20:00:55,2,阴天唱得不好。
刘小昭,5,2010-01-18 22:23:23,4,原来他写了这么多好听的歌
·,5,2012-06-04 09:36:56,3,超爱宗盛叔！我以后也要成为这样的大叔！！！
包法利富人,NaN,2008-06-07 19:04:39,2,和在他家听不一样
ztlpoppy,5,2012-12-18 17:42:12,2,我要去买这个的dvd！
Claire,4,2011-07-10 18:21:47,0,每个人心中都有一首李宗盛http://www.xiami.com/album/32623
Samuca,5,2015-07-02 16:32:40,3,是豆瓣音乐的最高分？
StevenTong,5,2009-02-08 20:11:06,0,昨晚看完他的演唱會，才驚覺原來自己對他的歌也是耳熟能詳！
浅,NaN,2008-02-15 00:52:21,0,听到《仿佛是昨天》，还是能想到他。
凹凸代餐,5,2009-08-24 11:38:46,0,atoziqt7#
苏格,NaN,2009-08-18 15:49:44,0,那年夏天的台风
Nuage☁,4,2010-03-26 23:15:29,0,最是煽情留不住，李宗盛的回忆录。
usquebaugh,5,2009-08-26 12:28:27,1,《问》
Hao,5,2008-05-24 17:23:20,0,情感盛宴。每个人心中都有一首李宗盛……
Enhui,5,2010-12-22 08:15:30,0,光歌單就給五星...
夏日扬帆,5,2011-11-01 21:16:27,0,fabulous，华语作词永远永远的最爱
YoyoRan,5,2011-01-21 11:31:47,0,每个人心中都有一曲李宗盛
少年夏不安,5,2010-05-09 22:04:49,1,李宗盛，是过尽千帆后的豁然开朗，对情感的回望，有着淡定和开阔；也是洗尽铅华后的泰然自若，对生活的调侃，带着潇洒和自在。
長閑,5,2014-02-08 11:11:48,0,听一辈子。
易召,5,2007-10-19 14:42:02,0,落泪感怀的现场。每个心中都有一首李宗盛。
Summer孙夏天,3,2011-08-12 13:15:30,0,远行
Topfun,5,2014-01-15 10:30:50,0,每个人心中都有一首李宗盛
深津奈留,5,2011-05-07 17:26:44,1,毕业了很久之后某次和同事唱K有人点了鬼迷心窍，瞬时明白了某死党当初的坚持。即使明明太清楚那个姑娘是怎么样的人，明明知道会成为自己治学的阻碍，明明知道她对感兴趣和玩厌的对象是怎样恶劣的差别对待，不顾我们的规劝也完全违背了其自身的性格。我依旧不认为她可以改变浮気和虚伪，姑且还是祝你能改变她，能够幸福吧。
BlackScholes,5,2013-01-01 05:18:20,0,经典
小小玛丽奥,5,2011-05-26 19:01:23,1,爱的代价这种歌，简直是演唱会必杀技，每个歌手都会唱到泪眼婆娑！闷骚人的情怀闷骚人一定懂！
尹嘤嘤,5,2012-12-24 11:50:51,0,<领悟><爱的代价><我是真的爱你><漂洋过海来看你>
三四,5,2013-03-03 03:25:37,0,大晚上不睡觉又把这场演唱会翻出来听，心理那些抑郁多多少少在这些唱念中得到释放。还是那句话，如果有一天，这个温柔老男人出书，不论写什么，都值得收藏。晚安，我心中无数首的李宗盛
Hey Johnny,5,2010-11-05 13:28:34,0,每个人的心中都有一首李宗盛。
林||我们谈什么都像谈死！,5,2011-12-22 15:37:19,1,每个人心中都有一首李宗盛，乐于自嘲的老男人我真是喜爱。最喜欢的是“我是真的爱你”，他把写给别人的歌统统唱成了自己的歌，连梁静茹在他的演唱会里都唱出了自己的最高水平。
挂拉,5,2011-03-30 23:20:47,1,老人听老歌。
Bill,5,2009-11-24 23:15:52,1,这就是大哥的音乐
Maurice Moss,5,2015-07-08 20:30:04,0,每个人心中都有一首李宗盛。
肉汤拌饭吃八碗,5,2013-09-19 02:45:43,0,十颗星
Gavin|江湖骗子,5,2010-09-21 23:30:46,4,静茹的那几首真是锦上添花
Demarvis,5,2011-06-16 12:03:43,1,我终于失去了你。
Ms.蔡藍三,5,2010-02-18 18:00:34,0,沒有一聲聲的“李宗盛”只有掌聲
樹男,5,2010-12-30 17:29:42,0,大哥的经典演唱会
巳注销,5,2009-11-08 12:48:19,1,陌生的城市啊熟悉的角落里也曾彼此安慰也曾相拥叹息不管将会面对什么样的结局在漫天风沙里望着你远去我竟悲伤的不能自已多盼能送君千里直到山穷水尽一生和你相依
苏樱,4,2012-05-19 11:56:23,0,世界如此的小，我们注定无处可逃。
等待如果,5,2014-12-14 14:58:26,1,这几年听李宗盛，真是心酸得很。
赞成的巨兽,5,2012-12-17 11:39:00,1,每一首的旋律都那么好，都能让人传唱——问谁做得到！
orchid,5,2013-11-20 10:56:29,0,既然青春留不住，重温旧时音乐会。
瑾朵朵,4,2011-12-23 18:44:21,2,梁静茹的声音柔情似水，李宗伟的硬邦邦的硬的像木头直愣愣的
隐形的人,4,2008-01-31 22:19:16,0,12年后的演唱会，更像是一场温馨的音乐老友记，歌声、掌声、感动无声都在这张专辑定格。
雨夜飞行,5,2011-09-06 16:14:31,3,我要酝酿着为李宗盛写些文字。一定要。
Illusion,4,2008-04-05 00:26:23,0,一些歌梁靜茹不适合
新竹,5,2013-08-01 09:34:30,0,原來會唱他的好多歌。感動出雞皮疙瘩。
靠谱青年™🌈,5,2008-05-09 23:30:31,2,铿锵玫瑰，献给林忆莲
沉歌,5,2012-01-29 18:56:25,0,每个人心中都有一首李宗盛
RoJay,4,2013-11-15 16:25:33,0,比较喜欢Disc2里面的，梁静茹的部分……总觉得有点黏糊糊的，个人不是很喜欢。
嗷拜拜,5,2010-05-17 01:02:19,1,妈的。太好听了。
Memento Mori,4,2010-03-29 23:08:57,0,我想说，梁静茹你唱的陈淑桦，比原唱远了不是一星半点。《诱惑的街》害得我直接关了。
Белка,5,2009-01-12 21:10:51,0,虽然少一点点共鸣。但是感觉忒好了~
许次,5,2012-10-07 15:31:27,0,每个人心中都有一首李宗盛
某S,5,2014-05-13 23:07:24,0,听他唱歌好像听他讲故事一样。
朱朱朱古力♥,5,2011-04-26 23:34:52,0,太经典
颜夕,5,2013-10-08 09:15:41,0,周华健的《鬼迷心窍》唱的是极好的，不过《爱的代价》这类歌，还是要历经沧桑的人唱了才好听。周华健这种幸福男人是唱不出那种味道的。
丁,5,2010-03-30 10:55:43,0,绝对的经典
老夏天___,5,2010-04-10 13:22:31,0,大哥你好。
godeau,4,2010-03-27 11:00:59,0,他的歌一向不感冒，冲着Sense&Sensibility去的，当时正在探讨这个问题。听下来感觉还不错，特别是翻唱‘阴天’，不得不承认：小李的班底真棒！
日烟火,5,2010-03-13 10:50:18,0,前天晚上烧的浑身不舒服窝在床上抱着电脑看完这场，数次被感动到眼眶湿。老男人如他，与老男人如陈胖子，唱起歌来又有不同的况味，是那种“明日隔山岳，世事两茫茫”的气质。周华健说他写歌常偏软与人不同，我猜，虽则看起来爷们气纵横，但较之平常男人，他一定确实更柔软吧。
BiuBiu,5,2011-05-22 23:56:33,0,大哥。。
Cedrick,5,2011-05-18 03:15:54,0,没生在李大师的时代真悲哀。
千寻｜Scorpio,5,2012-06-28 15:15:40,0,每一个人喜欢的歌单中也许都少不了李宗盛的名
纯子,5,2015-11-12 15:35:11,0,属于老男人的字字句句，怎么都听不厌的我是不是也已经老了呢。
poiuny,5,2013-09-13 23:24:40,0,是因为和路老板在中关村那边听到路边有吉他小哥唱李宗盛，于是回来听的。沉淀梦和清醒。
普通美,NaN,2012-07-07 00:38:51,0,他作曲很棒，但是大部分不适合他唱
元宵葫芦仙,5,2013-07-16 06:10:13,0,赞爆！！！！！！
秋熙,NaN,2012-02-28 11:55:32,0,最适合老男人专场的k歌了~
脫繮的蛇肉堡,5,2011-10-21 22:45:25,0,听懂李宗盛的时候，我们都老了。
zk,5,2014-03-12 21:38:04,0,好听有味道
Luffyjun,5,2016-06-12 10:37:04,0,确实是每个人心中都有一首李宗盛啊~原来那么多歌都是他写的！~~
朱尔赫斯,5,2013-06-30 14:49:03,0,这个中年男人最能唱出我的心声
JasmineJasmine,5,2011-07-09 11:33:44,0,张艾嘉开场，OMG！全是这辈子活够了的人
五月微蓝,5,2008-08-15 13:04:16,0,真的是每个人心中都有一首李宗盛
linn,5,2012-06-13 23:13:14,0,经典
数人的绵羊,5,2010-08-14 12:18:49,0,太给力了
Minerva,5,2012-11-24 00:45:17,0,该怎么形容我对李宗盛的爱啊...
老C,5,2010-03-07 18:18:48,0,"汇集了老李自己创作的给自己或者给他人的歌曲，我喜欢他翻唱的给他人写的歌，尤以""领悟""最甚."
鸡头井。,5,2011-05-17 19:23:42,1,绝对嗲
 耳朵。,5,2008-09-05 18:51:56,0,和自己赛跑的人
宋不吃,5,2013-07-11 11:08:04,0,大世界音像+小太阳+我终于失去了你+远行
对抗拖延,4,2012-08-20 21:58:47,0,2014年8月24日23:40:45
≌菩提风花,4,2010-01-04 04:50:28,0,~~~~~~~
[已注销],NaN,2014-09-28 16:51:26,0,哎……
KAVA,4,2012-05-29 09:42:15,0,老男人什么的最有爱了。如果对他的事情了解多一点，看这张DVD会更有感触的吧
給料泥棒,3,2010-06-27 19:22:50,0,你说你爱了不该爱的人~
