user_name,star,comment_time,vote,short
半點,4,2011-07-02 23:10:51,464,到底什麼時候才出新磚？！！！朴樹你這個混蛋！！！！姐從大學等到三十歲了！！！
泪小鱼|念。,5,2008-02-13 19:07:43,163,这个懒人，但是我们相信他
三石一声,5,2012-10-10 10:01:54,144,人如鸿毛命若野草无可救药卑贱又骄傲
阿落,5,2009-02-15 02:32:30,80,回北京在车上一路放我爸我妈我都说好的专辑
韧勉,4,2008-09-20 17:06:13,31,那个夏天的纪念
virgin,5,2009-11-24 00:15:40,7,“当年第一时间跑去西单大世界音像去办理这张的首批唱片预购手续厚盒1CD+2VCDRMB38吧?那不是盲目的爱是已经认可了他的音乐水准!但可惜还是买少了!:)。。”好听依然!但是他长大了你呢?。。还有我不要作寂寞的上校!:’)。。
[已注销],5,2013-03-22 09:36:08,15,十年也没听厌
眠去,5,2007-09-27 22:29:36,15,我们就这样抱着笑着还流着泪，这是一个不能停留太久的世界。
收音鸡·耳東,5,2012-03-24 16:45:45,3,我有首版CD:)~~
苏格,NaN,2006-11-16 17:51:15,5,买的他唯一一张
何牧歌,4,2012-05-21 21:59:36,9,张亚东把管弦乐加入朴树的音乐，虽然拓展了他的音乐风格，但一昧追求华丽的编曲，并不是朴树的调调。不过，依然很好。
1806,5,2017-08-17 13:23:16,2,15年了
令糊葱,4,2008-10-12 11:53:29,2,好听。
zard砸得王大崩,5,2007-09-05 19:25:38,3,重温旧时光
周不時,5,2012-12-07 13:30:12,7,我毫无保留地爱过你，完了至知怎叫孤独。
张百万,2,2012-10-29 13:50:13,4,(￣_￣|||)难听死了原来……
○Ⅴ○,5,2010-11-05 19:14:47,5,至少青年吧，少年无法喜欢上这样的专辑。
熊生海海蔫蔫地,5,2012-10-14 23:11:22,5,整张专辑全能让我标红心的不多，这张是一个
离净语,4,2007-11-25 00:38:28,1,还不错
Odding,5,2006-03-26 00:15:23,2,2003年冬。我的生活。
Song³,5,2010-01-10 14:36:56,2,死如秋叶ColorfulDays
DeerColin,5,2013-09-13 21:34:02,3,"""LaPerte""这首歌也算一个不小的惊喜，这张专辑比上一张有所收敛，朴树的演唱更加自然流畅，尤其咬字的轻重比上一张处理得好。"
十六。,4,2012-04-27 21:17:40,2,colourfuldays。
肥匪廢·老🐰,4,2010-11-11 02:53:11,3,朴树的这张专辑颇有可圈可点的代表作。
