user_name,star,comment_time,vote,short
锐利修蕊,5,2011-11-11 00:45:46,65,如果你快乐，不是为我，会不会放手其实才是拥有
郁程,5,2011-02-04 15:48:52,62,知足能听一辈子的歌能感动全世界的歌
停用豆瓣勿cue,4,2013-04-28 11:42:49,20,不知道星外星在版权到期前是把这张给回收销毁了还是把库存卖完了，总之内地版绝版了。
不万能青年,5,2011-05-29 22:54:52,26,命运像失控的马戏，小丑开始哭泣，大象猴子跑进城里。
叶子阿姨,5,2008-12-10 11:09:59,10,陪你熬夜聊天到爆肝也没关系。
zard砸得王大崩,5,2010-12-30 11:13:55,1,formemory，swingalong
苏格,4,2009-05-01 22:05:19,3,我还是挺喜欢《知足》的，很青春啊
凹凸代餐,4,2009-05-30 12:36:31,0,http://u.115.com/file/a4ai4xkywww.oppsu.cn
英恩,4,2010-12-20 16:17:54,1,听还你自由版的温柔，突然吼出的那一声让我突然不知所措。
MochaTong,4,2006-11-12 21:19:40,0,MayDay啊啊啊啊。。
Enhui,5,2011-06-09 01:46:08,0,在听一张之前路过n次没买的专辑...06年第一次躲猫猫聚会KTV，我也是第一次知道五月天...再次清清澈澈见到你，前一晚，还心跳，发爱梦~~
長閑,5,2012-09-07 23:46:39,2,高二圣诞节，晚自习等着鲍星从南昌回来，拿到手里的时候，几乎在教室哭出来。
T3的小喇叭,NaN,2010-12-03 18:30:23,0,现在听这些pop还是很伤感，我想念大学里面几个女人一起KTV的日子。
Topfun,5,2012-09-02 01:49:11,0,后青春期的诗
阿镇,4,2012-07-22 20:42:01,0,70%以上的曲目都喜欢。
不擅长,5,2007-10-09 17:18:40,0,精选2http://www.xiami.com/album/15632
沉歌,5,2008-01-24 14:30:20,5,非常值得一听的精选~~尤其喜欢《知足》
亞麻君,4,2009-10-05 13:09:02,0,记忆记忆
怀山鹿,5,2009-08-10 14:45:19,0,爱，想买CD了
徐大阳,NaN,2010-03-17 08:56:55,0,Mayday和Fish的演唱会版本，我还是更喜欢五只的.
Pumpkinhead,5,2012-06-26 21:55:50,0,初一暑假
Memento Mori,3,2010-04-11 12:06:56,0,我不年轻。
神山樹,4,2011-03-29 23:39:56,0,陈信宏的信是深信不疑的信。
许仙,5,2007-03-23 17:20:25,0,知足
某S,5,2014-03-05 10:12:50,0,没标过？简直不科学【每隔一段时间就忍不住黑一黑中年团以解心中之七七八八
Missouri,NaN,2013-06-05 18:10:34,0,妈的，这张我还有碟，你们不许黑我
王想想，,NaN,2009-08-04 16:59:59,0,喜欢金多虾里面的口哨，
宇宙宝贝,5,2008-08-05 16:01:49,0,justmypride
一又,4,2007-10-10 22:48:54,1,信宏，你的声音。
破产君,5,2009-07-10 15:30:35,0,知足/倔强
A-sun*,5,2007-01-22 03:19:44,0,五月天
Jyn Erso,5,2010-01-10 17:23:09,3,如果我爱上你的笑容，要怎么收藏要怎么拥有？
△,5,2009-09-06 19:37:47,0,杰作。台版的选曲才是王道！
然,NaN,2009-01-06 16:43:07,0,真诚还是真诚。唔~我知足了。
🌟亚树🌟,5,2006-02-07 20:49:49,0,知足恋爱ing听不到拥抱　牙关孙悟空志明与春娇　温柔而我知道　倔强疯狂世界　人生海海终结孤单　垃圾车　叫我第一名　轧车　乱世浮生　Iloveyou无望恒星的恒心　　　
kingfish,4,2007-04-03 15:32:49,0,知足恋爱春娇倔强
痴人,4,2007-11-20 22:58:12,0,高三。是谁借我的cd。dd
一坪海岸线,5,2011-02-16 10:33:53,0,冬天，考试结束，左陶寝室天天开着门放知足。关于南三最美好的回忆。2013.12.4
战国客,4,2009-02-25 02:22:41,0,温柔&恋爱ing&爱情万岁
chaton,NaN,2007-10-09 13:47:51,0,温柔，19点的偶然。
Luffyjun,5,2020-08-23 19:27:59,0,五月天都老了，我们怎么会不老呢~
卡羚,5,2007-05-06 19:19:33,0,很不错呢~听起来很开心~
Meteora,NaN,2009-04-19 18:15:17,0,Best
Kite☆,5,2010-12-29 09:29:01,0,那一年很多人愛上了你們包括我某個姐姐可是我卻在不削就當時而言也不是不削啦就是放低放低放低。我狠喜歡牙關、亂世浮生發音咬字是要幾多可愛啊--
遲,3,2007-07-25 19:54:14,0,挺Happy的
微 曇,5,2010-05-08 21:29:02,1,如果你快乐不是为我会不会放手其实才是拥有
蕾蕾,5,2006-12-07 21:49:17,0,知足牙關亂世浮生戀愛ing聽不到
Bio,4,2014-02-22 23:52:01,0,就算你们是伪摇滚，就算你们饱受争议，可是，你们唱出我们的心声，你们给我力量，给我希望，还能要求什么呢？有MayDay陪伴的青春才是真正的青春……
饭团,5,2010-07-18 16:16:45,0,現在大愛五月天
Supernova™,5,2010-04-05 16:27:50,1,经典。
aqua||。。。,5,2008-05-16 16:59:36,1,超爱知足
hotdogyer,4,2007-02-23 02:56:07,0,有好好听．．．
春风颜色,5,2010-04-23 23:13:31,0,知足
--三思--,5,2011-07-23 00:09:36,0,我一去不复返的高中时代记得当时拿着歌词内页看着阿信的裤子好喜欢
微子,5,2009-04-15 19:33:56,0,有台版
思想实验,3,2014-09-20 16:06:00,0,咦，听到了日文OO一定是我的错觉
Tokugawa,3,2009-10-30 11:08:04,0,不够精的精选
五月之星,5,2007-10-28 12:25:03,0,不知足
每天一粒茶叶蛋,5,2011-05-29 13:34:35,0,知足恋爱ing温柔倔强
阮免了,3,2008-07-05 03:47:02,0,乱世浮生
F,3,2012-08-05 19:01:36,0,为了在KTV有歌唱，所以听了而且学了=）
suzuhana.,4,2015-05-25 15:55:17,0,新歌部分都很不錯.
Shining,4,2008-04-06 17:10:23,1,知足的快乐....
会打字的跳舞机,5,2011-04-22 12:32:14,0,从过去到现在，原来真的从未改变。
桃公子,5,2013-02-11 22:24:41,0,11年的春天有人唱给我听只唱给我听是真的
猪头小丸子,NaN,2010-07-09 11:48:13,0,知足
二手月季,3,2013-11-15 02:32:08,0,啊。我会说我这是第一次完整的听五月天么。。我真心受不了杏红咬字啊。。仿佛一条大草鱼啊。。啊。。
joy乐未央,5,2010-04-18 10:26:44,0,...17/04/2010无语
全能小海龟,5,2009-05-23 23:25:29,1,知足！！
