user_name,star,comment_time,vote,short
tlmgt,5,2011-07-22 00:46:39,72,只因为《超人》
叶子阿姨,5,2008-12-10 11:10:05,70,我就是我自己的神，在我活的地方。
○Ⅴ○,4,2010-03-12 20:38:55,23,如果要让我活，让我有希望的活。
郁程,5,2011-01-24 11:02:22,17,我最中意，听最多是这张
锐利修蕊,4,2017-10-20 18:34:16,11,身为一个五黑也要承认这张还是挺厉害的。虽然这张阿信的歌词也没多好，但从这张开始之后，五月天就正式走上了土摇滚+弱智歌词的道路。其实这张的概念还是非常有趣的，只是给其他创作歌手完成肯定可以更好。用俯视观察地球上的一切，那些艺术家，歌手，甚至是英雄、神话人物都有不同理解：是悲喜责任。
踢踢踢,5,2007-12-29 10:33:00,4,昨晚睡前竟然在哼<回來吧>於是早上出門時候帶了這一張...
長閑,5,2012-09-07 23:47:34,8,我和我最后的倔强，握紧双手绝对不放。在活着的每一天，跳舞吧。脚尖着地，手指几乎就要穿破涨满蓝色的天空。满身伤痕，我们都是勇敢的孩子。当猜忌与恐惧，对着我们张牙舞爪的时候，幽默跟爱。将是我们最后的温暖防线。
斯 琰 🌈 🍭,5,2011-10-22 09:24:10,2,神的少年不易老一直在为我们唱着那些青春梦想热血爱恋
33迟来_小小岛,4,2011-10-23 21:50:37,2,一半一半吧
夏日扬帆,4,2014-05-04 14:31:19,4,这张真是诞生了很多经典啊……其实从旋律和感觉上最喜欢孙悟空就是了。但是倔强的词真的算是五月天的一个代表了[倔强、孙悟空]
神山樹,5,2011-12-25 19:14:45,6,能不能暂时把你的勇气给我在梦想快消失的时候让我的歌用力的穿过天空为我爱的人做一秒英雄
zard砸得王大崩,4,2006-12-14 15:44:48,1,倔强。
猫打喷嚏,4,2010-04-26 13:58:16,0,除了台语的不喜欢之外，别的都好
不万能青年,5,2011-05-29 22:56:39,2,整个世界曾经都跟着你做梦，如今和平依然在歌曲里头。
徐大阳,5,2010-03-17 08:55:34,1,首首经典，私自认为是五只最经典的专.
Paul,5,2008-11-26 10:51:11,1,流氓升级为混蛋
mee,4,2006-01-04 00:12:26,0,五只复活了
不擅长,5,2007-10-09 17:19:39,0,5http://www.xiami.com/album/15637
薇羅尼卡,4,2007-08-03 15:01:10,0,这张的整体理念很不错～
汤之问棘🌈,3,2012-03-26 20:58:56,0,还在中学的时候，看到这个名字，便觉得弱爆了
小船长,4,2012-02-29 12:00:07,0,一直很欣赏的乐队。可惜没见过。呵呵，听他们的歌或许能~~~
Papaya,5,2011-05-02 11:39:47,1,这张以后就不喜欢了。
海孩等pk14,3,2012-02-11 01:28:04,0,倔强
Белка,4,2008-12-14 22:02:35,0,嗯我不喜欢五月天
娘口三三,5,2009-08-25 01:32:04,0,孙悟空，倔强，晚安地球人
JasmineJasmine,5,2008-07-17 00:16:32,0,在玉门关，神的孩子的热锅上跳舞
五月微蓝,5,2007-09-06 17:50:18,0,"""我就是我的神，站在我自己的世界中，找寻着梦想的道路""喜欢这样的倔强。"
掩杀,NaN,2007-03-14 14:26:37,0,就<神的孩子在跳舞>还成
满大人,5,2007-05-12 12:36:20,0,第一张属于我的五月天正版专集
一又,5,2007-10-10 22:34:32,0,无论如何，你都是我的齐天大圣。
A-sun*,5,2007-10-28 01:02:22,0,五月天：第五张创作专辑/神的孩子都在跳舞
⬇,4,2008-03-24 10:29:55,0,在我临近高考的那一段，它陪我度过了很多时光。我一直听，只听它，70多遍
然,5,2009-01-06 16:41:25,0,我们是理想的苗草~随风飘不愿倒
小易甫,5,2008-11-07 13:28:43,0,好象没有哪首我不喜欢的...
午后小憩,5,2010-11-22 18:53:09,0,陪伴整个高三那年
rhine,NaN,2013-11-17 11:02:26,0,好听啊
家常辣酱,4,2009-03-08 20:45:59,0,某人送给我的物件
杨小歪,5,2008-12-30 23:49:57,0,高三--哇，够有力
Jude秘密仙神,5,2010-03-31 14:14:52,1,神的孩子都在跳舞
Kite☆,5,2010-12-29 09:32:47,0,盜版猖獗那時候
🍵咖缇,5,2008-02-10 14:33:48,0,会想起的小M!
小小,4,2012-04-10 23:26:56,0,阿信你可不可以不要这么煽情，我又要失眠了。倔强、垃圾车、让我照顾你，错错错。可是我想我可以接受，全部可能的全剧终。
微 曇,4,2010-05-08 21:29:29,0,倔强百听不厌
蕾蕾,5,2006-12-07 21:48:14,1,倔強孫悟空聽不到溫柔讓我照顧你約翰藍儂回來吧超人垃圾車
Amik的女朋友,5,2008-03-23 08:52:21,0,超爱孙悟空
春风颜色,5,2009-02-21 13:35:33,0,倔强温柔知足纯真拥抱…发现五月天简单的形容词、名词命名的歌都特别好
微子,4,2010-04-30 20:10:18,0,比时光机更加商业化，诞生了最商业最励志的倔强。这张里面最喜欢的是孙悟空和让我照顾你，前者的电吉他运用深得我心，后者的手风琴底色让人温暖。此后五月天不再有穿透我内心的闽南语歌了。
敲鱼粉干敲虾面,5,2011-02-01 15:54:46,0,记得和室友疯狂唱了一个小时《错错错》的那个下午。记得每次唱K时总会点《孙悟空》的那个人，为什么现在成了路人。记得因为一个人喜欢的《让我照顾你》。记得妹妹教会我的第一首《倔强》。记得扣扣个人描述里一直没有变过的《约翰蓝侬》的那句歌词。记得曾经抄了《回来吧》的歌词在信里。小受说，喜欢五月天的人，一定不会随便让你伤心。我的青春，和五月天在一起。
五月之星,5,2007-10-28 12:25:23,0,超人
魔女幼汐,5,2009-12-12 18:36:40,0,爱mayday就要买正版
阿踢,5,2008-06-14 23:25:09,0,五月天里程碑的作品吧
每天一粒茶叶蛋,5,2011-05-29 13:37:09,0,我和我的倔强TVT
宋阿慕,5,2008-02-19 13:42:14,0,我最喜欢的五月天的一张唱片.
风雨暗花,5,2009-12-30 04:02:47,0,假如宜静最后没有嫁给大雄，一生相信的执着，一秒就崩落。
陈永仁,5,2017-11-13 03:53:27,0,《超人》
阮免了,4,2008-07-05 03:47:08,0,能不能暂时把你的勇气给我。
朱大侠。,4,2011-08-06 14:23:34,0,專輯最大的特色是五人的創作都有收錄在其中，本質上更是拋開束縛，回歸五月天，找回以前玩band的快樂及充滿爆發力的感覺。
河,3,2012-05-21 03:18:21,0,当年买过一盘磁带，就是想听听传说中的五月天，结果被开头的孙悟空给震傻了，听了一遍不知道给谁了
Molly,4,2013-08-26 08:08:22,0,不知道为什么，五月天的歌两遍我就腻。《错错错》这首里面讲大雄宜静的歌词很好；《温柔》live版很感人。
Shining,5,2008-09-04 09:28:51,0,骄傲的倔强
Esther*,5,2008-02-26 02:03:45,0,熟透了……
魏神陌那,5,2011-01-23 01:49:11,0,的确还蛮好听
K酱要活在当下,3,2011-05-07 02:48:43,0,谁没年轻过--
早安Lucifer,4,2011-10-10 00:08:35,0,还记得，林垃圾播这首歌的时候，小鬼对着我笑唱起来——倔强。。林垃圾貌似也笑了~~
