user_name,star,comment_time,vote,short
影志,5,2011-07-06 15:04:41,76,友情客串却留下刻骨铭心的回忆~
叶子阿姨,5,2008-12-10 11:10:14,55,感谢生命有你参与。
Bill,5,2008-06-11 23:46:03,42,声音真的很像陈奕迅专辑具有一个成功新人所可能具备的各种元素好歌声音唱功人气宣传公司支撑……
yupei,2,2008-11-01 00:27:40,13,真的不明白为什么这么多人这么喜欢这张专辑，我真的觉得很一般。而且模仿eason的痕迹太重，迷幻比明哥差远了，并且咬字雷死我。。。
tlmgt,4,2011-05-16 23:38:59,13,这个时候华研包装艺人还没有走火入魔
PabloHoney,4,2012-07-13 17:17:00,2,才发现我标过好几颗❤了。
Dyingpluto,4,2008-06-07 12:46:39,1,病态的转音不错，但声音太没特色了吧，吐字不喜欢。李泉的眼色很好
锐利修蕊,4,2010-04-25 10:45:46,1,这张果然也是不错的
YeleZhang,5,2011-06-26 14:30:05,5,无论听多少遍，依旧那么棒
Song³,4,2008-09-07 16:24:49,2,推荐：眼色。心有林夕
Claire,5,2008-09-11 22:46:01,2,无可挑剔的一张专辑。林宥嘉，你的歌声感动了我。
川总,4,2011-06-07 17:52:14,2,林宥嘉还真是不错。。
L I M O,5,2008-08-08 22:07:02,2,我愛你。神秘魔術師。
昏金暗玉,4,2009-07-29 08:27:30,1,可以呀，就靠着电台播放，领略到了他的音色。
瓜。相信这个世界很变态。,5,2008-09-26 01:21:01,3,我发现我真的很喜欢这个小孩.
倉鼠,3,2011-04-02 21:26:03,1,华研最喜欢出的拼盘式试水专辑
令糊葱,4,2008-12-03 22:16:08,0,还是比较舒服的。
固力果guriko,5,2009-12-24 12:13:48,0,最近很迷他
马35(L)M.坚持,3,2008-06-03 22:06:33,0,他完全陈奕迅上身
StevenTong,5,2008-07-21 14:39:17,0,怎麽那麽正點!!!
zard砸得王大崩,4,2008-06-03 13:04:24,0,我喜欢这样的情感表达，我爱病态，但我中意的还是老派的杨宗纬
長閑,5,2008-10-02 12:40:24,2,这孩子呆呆的，却很有味道。
Yome,4,2009-11-20 16:41:50,1,有水準！
捞,5,2008-10-22 22:47:47,0,鼻音的男生～～～
草威,4,2008-06-17 20:59:47,0,林夕捧着
夏日扬帆,3,2009-12-06 10:54:45,0,这张专辑只能说我印象不深
河伯,3,2008-06-14 07:34:20,0,太似Eason，却不到火候
DeerColin,5,2013-02-16 22:10:58,0,林宥嘉首张专辑咬字怎么比「大小说家」好？这算是退步么？这张专辑有好多歌一直很喜欢'「残酷月光」「心有林夕」「伯乐」都是听过很多遍的歌'「眼色」是他一次现场演唱Touch到我'所以就找来听。「再别康桥」超喜欢和S.H.E那首做对比😁。今天整砖完整听毕'蛮不错
早米庵,4,2009-09-13 16:11:29,0,哟，还不错哟
肥匪廢·老🐰,3,2009-12-26 11:06:37,0,感觉没有传说中好……
易召,5,2009-06-12 21:58:48,0,很Chan很医生...
