user_name,star,comment_time,vote,short
叶子阿姨,5,2008-10-27 21:17:00,71,我再也不要再也不要，委屈自己一秒。
tlmgt,4,2012-04-07 03:26:23,28,《私奔的月球》在这张啊。其实，破音能破得喜感这种天分···真的不是每个人都有的······要珍惜！咩！~\(≧▽≦)/~
Bill,4,2009-03-03 14:30:29,19,有陈绮贞纪晓君新歌很不错重新编曲演绎的歌还行算是比较有活力了吧Live部分就是High录音效果不太好一大缺陷
Panda的影音,5,2011-12-16 19:17:56,6,「我，否定地心引力！」少年因野心而美丽、爱恋因想像而无敌、世界因五月天而无重力！
zard砸得王大崩,3,2007-08-06 16:18:36,2,jumpwithmayday
Ray,3,2008-05-12 22:54:47,1,三星半
Luffyjun,4,2012-10-28 08:23:44,2,早上听这张专辑好欢快啊~我最喜欢《天使》，其次是《倔强》《孙悟空》，哈哈，现在觉得《离开地球的表面》也很好听。。
香水瓶,4,2007-09-08 01:04:47,0,MSN上线了！
英恩,4,2010-06-23 13:08:53,0,去活去勇敢
ladybird,4,2007-08-10 22:29:46,0,summer...
沉歌,4,2007-11-30 14:56:48,3,五月天V.S.陈绮贞《私奔到月球》。
小M,4,2007-10-20 20:34:47,0,清新支持
阿镇,4,2012-07-22 20:43:27,2,私奔到月球、离开地球表面、知足、天使、约翰蓝侬、最重要的小事、我又初恋了
鹿鹿子(>^ω^<),5,2007-07-23 09:37:52,1,超赞的！
小小玛丽奥,4,2010-08-21 15:54:35,0,杏红啊~
杨小歪,5,2009-03-04 09:17:35,3,最近很忙乱，给我看点儿五月天我就好了
不擅长,5,2007-10-09 17:18:04,0,Livehttp://www.xiami.com/album/15626
Kite☆,5,2010-12-29 09:23:04,2,私奔到月球慢慢慢慢也就成為了K房對唱必點、玛莎的小事.....震动地球！！！！！
Pumpkinhead,4,2012-05-29 20:32:21,1,私奔到月球抓狂
DrunkFox,4,2008-11-21 14:32:22,0,2008年五月有他们
Белка,4,2008-11-09 14:16:21,1,不错不错和陈老师的私奔到月球已经被唱滥了……
小隐隐于浆糊,NaN,2007-12-10 21:14:37,1,陈绮贞＋五月天，也足够了
薇羅尼卡,4,2007-07-26 23:36:03,0,整个理念很好玩～
一又,5,2008-09-01 13:57:26,2,爱你们八年，和你们成长。
anita,5,2010-05-15 17:55:39,0,给你自由。
徐大阳,3,2010-04-29 16:50:56,0,我爱Talking
狷介有乌青,5,2007-12-12 15:23:59,2,我们都爱五月天
神山樹,4,2011-09-21 17:18:44,0,我甩掉地球地球甩掉。不过经过这么多年我觉得陈信宏有点装逼
杜扬Seatory,NaN,2009-08-19 19:25:59,0,mark最重要的小事
不如的我的,5,2007-08-21 21:40:57,0,老歌更好听
不眠飞行,5,2009-03-02 16:46:38,0,Live的倔强效果真好~~
苏小安。,4,2007-12-21 14:19:00,0,Mayday离开地球表面
🌟亚树🌟,5,2007-08-06 11:48:16,1,五只的现场还用说吗~
JasmineJasmine,4,2008-08-03 00:01:33,0,有故事的歌都在里面了
五月微蓝,NaN,2007-12-11 00:42:32,1,Jump之后，会是什么？
Leoooo,4,2008-02-11 23:29:28,0,去哪？
BluerElephant,5,2009-06-05 19:01:40,0,太商业!!
小小,4,2008-12-08 22:55:01,2,私奔到月球，离开地球表面，年轻就要对味。
蕾蕾,4,2009-01-06 12:49:28,1,離開地球表面私奔到月球Paradise
饭团,5,2011-03-17 23:22:16,1,我想买
Supernova™,5,2010-04-04 13:38:47,3,演唱会那么帅啊啊啊啊啊
快意恩仇的大象,NaN,2009-02-17 14:08:34,2,私奔到月球
知秋,NaN,2010-02-06 18:20:01,1,赞!!!
过桥土豆,5,2011-02-17 13:25:56,1,近年来很少见的五星专辑
每天一粒茶叶蛋,5,2011-05-29 13:40:38,1,私奔到月球知足天使倔强
🍵咖缇,4,2009-02-19 09:28:10,0,耳熟能详~听MayDay的歌最初的记忆是高一时候的Dicky^^孙悟空.阿姆斯壮.约翰蓝侬
微安,5,2009-11-14 20:47:06,1,总是忆起5.5的红磡和7.7的天体
Felix,3,2007-09-19 09:36:21,1,离开地球表面五月天
>Out_Of_vOice<,4,2009-04-13 19:23:20,1,现场的感觉还是挺不错的
Jester,4,2011-08-18 10:24:50,1,封面好看这张里面的《知足》很特别
Tokugawa,2,2011-09-28 10:34:11,0,比较水。
魔女幼汐,5,2009-12-12 18:36:49,0,爱mayday就要买正版
宋阿慕,5,2008-02-19 13:45:07,0,喜欢私奔到月球，还有仅在这张CD里才有的知足最知足版.所有的现场Live都很赞.
𝛁,5,2015-07-21 08:46:06,1,我觉得现场最迷人的地方就是大合唱就算paradise+倔强这种mix到后半段都会全场唱起来
❤ 。韩小绿,5,2010-02-05 13:14:00,0,LIVE大不同。
仨．,NaN,2009-02-18 12:53:36,1,倔强。
Esther*,5,2009-11-17 18:47:22,1,看過離開地球表面的演唱會。沒買專輯。
会打字的跳舞机,5,2007-11-03 20:09:44,0,我的最爱
马来可,2,2007-10-30 18:26:15,1,据说神6上天鸟...
zooeyyyyyy,5,2009-02-07 00:40:22,0,韵味别~
风向未来吹去,5,2008-09-07 13:21:32,2,幸亏是越来越好
Tuberose野,4,2008-02-13 10:56:05,0,少年因野心而美丽、爱恋因想像而无敌
cloversunai,4,2015-06-20 17:25:57,0,那一年我也是一个沉迷于QQ炫舞的纯真男孩！
Melody.,4,2007-07-23 10:03:16,1,<私奔到月球>
Vicky,4,2007-09-05 21:47:16,0,还不错
大概是伍月,NaN,2009-01-22 11:16:04,1,私奔到月球
小欢欢,NaN,2009-07-31 19:44:56,1,孙悟空(live)
Filo,4,2007-11-17 22:19:55,1,两首新歌也太好听了吧。
Kid&Dream-Ye,5,2012-04-08 12:21:37,0,网址滴巅峰
the Wor(l)d,5,2010-02-11 13:24:15,1,私奔到月球。
蘑菇安,3,2009-07-30 00:45:56,1,私奔到月球~
岛,2,2008-11-09 22:35:09,0,听了以后完全没印象。==
igrɛkonze,5,2009-07-28 16:46:40,0,抓狂
想吃一个小孩,5,2010-03-15 01:06:14,1,呵呵都说最适合巨蟹的是知足......其实我们最没有上进心了......
YummyPeach,NaN,2007-12-09 15:30:10,0,虽说内地版的不够台版的华丽，但是张做得很精致，很用心的专辑，《知足》，还是喜欢以前的版本一些。去看了演唱会，happy!
蒙大拿的小偷|Lodestar,3,2007-08-17 11:36:49,0,没去成现场...郁闷口西..
托托,4,2008-09-25 23:06:07,1,陈绮贞难得欢快温暖的歌……
Valen,5,2008-07-22 13:10:41,1,精彩到爆掉！
SELVEN,3,2007-07-28 18:59:30,0,没感觉
Rock Otaku,3,2008-05-27 23:16:20,0,WXD9
打道,5,2010-05-08 12:43:29,0,丢掉手表……
Moon.☪,4,2007-11-03 09:03:20,1,牵着手我们私奔到月球。
阿莫,5,2009-06-30 23:20:42,0,喜欢的一塌糊涂特别是封面
tokiya,5,2009-05-28 19:49:15,0,新的編排
冰淇淋的暖壶,NaN,2007-08-24 21:15:06,1,私奔到月球-cheer天真声音
依树,2,2007-07-27 12:49:44,0,摩托车日记——是切。格瓦拉一部电影。http://www.douban.com/subject/1309015/
弥亚⑤やまｐ,5,2011-04-02 22:16:20,1,一个字：“赞”就好像又回到了演唱会现场一样~
凤喜,5,2007-08-23 21:24:42,0,没有办法冷静地听完整张
慕祺海Perkira,3,2013-06-11 20:20:38,0,五月天大玩地心概念，多了恶搞，少了创新；多了恶搞，少了励志；多了恶搞，少了伪摇。这就是一个玩音乐的疯子唱给我们的不知所云的玩意儿，最可怜的是陈绮贞竟然也去加盟，拜托，这不是玩哲学的场合，是疯子在台上对话。
夏末的萨克斯手,5,2011-12-03 21:39:36,0,mayday~
星,5,2008-08-03 23:46:06,0,我们逃离。
leafalone,5,2007-10-16 15:55:29,0,反复反复反复听
Kaka.Lam,5,2009-07-19 13:33:32,0,我忍...我没钱买....T-T
我不是盆栽啊,5,2011-05-17 11:53:07,0,看live还是很爽的。
陈小半~加油,NaN,2008-10-13 22:55:03,0,信是我喜欢的男子～呵呵！每次看他的MV都好想和他谈恋爱！～
drunkenstain,4,2009-02-06 17:30:02,0,全部好听
昏妮昏妮,5,2009-11-21 09:35:28,0,抓狂甚好，离开地球表面REMIX版甚好
青山戚戚蛙,4,2007-10-31 02:05:51,0,时间久了就发现五月天真的没有地方值得我流连喜欢的
道郎·马泰尔,2,2007-09-09 08:07:50,0,江郎才尽？
