user_name,star,comment_time,vote,short
草猫想作读书人.我爱胡媚娘,4,2012-02-20 02:25:12,0,如今肤浅的人生啊觉得琅琅上口就是好歌至少比上一旁听着舒服不过搞不懂何必出两个版本呢？
水水♫,4,2011-12-21 20:58:16,0,末日版和明日版有什么区别？？？
Sophie  Z,4,2011-12-26 15:33:40,0,有篇乐评说这是心灵鸡汤乐队的作品，好，那我愿意当那个鸡汤脑残粉。我宁愿他们万年不变，也不要所有我爱过的事物都变得面目全非，然后再也认不出来。
不擅长,4,2011-12-25 23:27:56,0,http://www.xiami.com/album/70071
雪  叁更,4,2011-12-19 16:54:32,0,差点嘛~
肉汤拌饭吃八碗,3,2012-01-20 20:21:17,0,虽然还是要去你们演唱会，但是这张新砖实在是太一般了。以及”三个傻瓜“和最最蛋疼的”有些事现在不做一辈子都不会做了“难道是先根据电影和网络蛋疼语取好歌名然后再想怎么作词作曲么？两星半。
Quinn,4,2011-12-24 16:19:09,0,與之前有太多相似。
M2,5,2011-12-18 18:26:07,0,曲目顺序不同果然感觉不同
eveilebi,3,2013-09-19 02:56:15,0,看完演唱会电影回头发现了一些不错的歌，但还是不出色。
Augenstern,3,2011-12-16 21:41:53,0,我真的覺得很多歌都有過去的影子沒什麽突破歌詞也空洞了很多雖然能感覺到真心與誠意不過真的太沒驚喜了無非是說了大家都想說的話那麼白話杏紅你的文藝腔呢！！！
Yome,3,2012-05-02 17:07:20,0,也許歌詞還有推敲之處但旋律的反復和形式的刻意實在沒多聽的必要
沉城,3,2012-04-23 21:16:44,1,这分数只能说粉丝很吊
ANNXXNA,5,2012-02-22 12:02:14,0,五颗星是不够的！
豆友2072968,4,2012-03-15 18:51:04,0,听歌越多耳朵就越刁还是赞旋律批歌词现在的旋律真是牛逼死了没有一首不待见的但是歌词总是要走SB和装逼两个极端是怎么回事。。。最喜欢干杯
药丸,NaN,2011-12-20 06:19:12,0,第一首曲子难道没有加州黑店的味道么。==
Pumpkinhead,4,2012-06-26 21:48:26,0,更喜欢这个版本的曲顺挺好的一张专辑（虽然还是很不能接受主唱的某些唱腔=。=
13平米宅,5,2011-12-20 22:09:16,0,对不起我泪崩了
RoJay,4,2011-12-22 13:56:37,0,初听感觉没什么突破和进步，再听意识到，五月天不用突破都能把歌写的好听。反正到如今听五月天只是习惯而已，也没什么期待也就没什么失望。
悬溯,3,2012-11-07 09:53:04,0,我只能说：听完专辑看完MV以后我可以明白为何有这么多人喜欢和拥护五月天。
神不能法式湿吻,3,2011-12-21 21:40:23,0,已经无法让我勃起了。不过算是值得致敬和肯定的乐团，十几年如一日，一如既往。
靶场战神阿子喵,3,2011-12-24 20:30:39,0,无感。
Magpie,NaN,2011-12-18 21:35:46,0,评分这么高…压力很大……
Seamoon,4,2011-12-19 22:12:15,0,有空看歌词，T1213121真抒情啊。
失控的蘑菇,1,2012-01-12 22:23:17,0,手贱
朱朱朱古力♥,4,2011-12-23 01:17:53,0,初听也就还好但是阿信的词实在太棒了加一星
雨夜飞行,3,2011-12-19 17:16:07,0,超越了吗？没有！虽然歌词没有过去那么少年，但是曲子呢？唱腔呢？编曲呢？听五月天的我们已经这么大了，五月天你们呢？
豆立方,5,2011-12-19 22:19:08,0,最后一首很可爱诶
仓央嘉措,5,2011-12-18 18:41:40,0,恭喜从80后一流乐团，变成90后的天团
ZachM,5,2011-12-17 14:39:42,0,网上先听了，等专辑到来
MOEの魔导☆,5,2011-12-26 17:12:42,0,http://www.xiami.com/album/70071
muzer,5,2012-05-13 17:07:07,0,成为脑残粉
cincin,4,2011-12-27 21:22:44,0,2012的歌词真好
一絲不掛,3,2011-12-20 11:44:02,0,迄今为止听过最无感的五月天专辑
元宵葫芦仙,5,2012-05-01 02:20:44,0,对于没有系统听过月份团专辑的我来说，这盘专辑其实还是蛮不错滴=。=
小岩菽,4,2011-12-27 14:58:17,0,概念好应景，歌词好强大，旋律好熟悉。HIDDENTRACK好听~
建筑民工,5,2013-03-04 16:00:03,0,Givemesecondlife!
zk,5,2011-12-18 10:48:26,0,挺好听的~豆瓣音乐排行榜上10个位置被刷掉了4个~
五月微蓝,4,2012-03-04 10:40:28,0,陈信宏的歌词越来越煽情，唱腔越来越装嫩。。。不过最惊艳的是T1213121
球儿先生,4,2011-12-19 19:53:19,0,中规中矩，没有眼前一亮的作品。
machlie,NaN,2011-12-21 17:44:16,0,难道真的只有我觉得新专辑有股李宗盛的fu吗……
哆啦A梦失灵,5,2012-01-15 14:37:55,0,想穿越、想飞天、想变成造字的仓颉！
左様姬.bot,2,2011-12-18 00:18:28,0,二逼杏红二逼乐队的二逼歌曲
基尔,3,2011-12-19 09:34:11,0,每张专辑主题都重复磨磨唧唧就那点小情绪几个三十几的大老爷们过不完的青春腻不腻歪
兜里个兜,5,2011-12-23 10:00:54,0,这是世界上最后一张五月天专辑，除非2012不是世界末日。。。
到此一游,4,2011-12-18 08:51:00,0,學長說過想把馬子要會彈吉他　　又帥又酷又有才華就是彈吉他XD
越王,4,2011-12-18 22:05:40,0,迷妹好可怕
Zeyao,3,2013-05-07 23:35:00,0,也许喜欢苏打绿不会喜欢五月天吧…
薛定谔的毛,2,2011-12-26 21:57:36,0,實在沒發現有什麽好聽的。。。。。總的感覺五月天就是有那麼幾首主打歌確實很嗨，但是一整張專輯也就那麼一兩首能入耳了。。。慢慢就膩了啊。
豆友35496190,4,2011-12-17 12:13:37,0,不是因为我年纪大了才觉得不尽人意，有些时候应该自己看看年少时候的自己，听听最初的专辑。
BluerElephant,5,2012-11-26 01:52:44,0,那么多版本闹哪样所谓盲目痴迷热爱崇拜就是就算没听我也要打五星
爱罗武勇,NaN,2012-09-06 20:58:15,0,贩子都要去看你们了，为什么我还没机会呢TAT以后我能带着儿子来看你们么
安小安,5,2011-12-26 15:26:50,0,黄金唱碟架势。一张接一张继续着牛逼。
