user_name,star,comment_time,vote,short
Bill,5,2008-01-17 12:27:37,33,AcidJazz前半张和后半张有比较大的反差有些生活化的歌曲很不错『姊妹们的聚会』及『失控的胖子』『回忆』口白与吟唱结合得很完美
固力果guriko,5,2009-12-24 12:26:54,76,这张真的是歌如其名
锐利修蕊,4,2019-04-13 20:26:29,18,进入千禧年的范晓萱，决心用这张专辑将之前的自己做融合，一面是抒情歌手，一面是甜美嗓音，用这样的声音唱爵士，大概会颠覆别人对爵士乐的刻板印象，找来怪怪的ASOS分摊专辑中的一半词曲，另一部分自己写，收录在刘以达《水底乐园》中的国粤语歌曲也拿来，专辑最早决定的两首歌反倒放在最后。如果没有当初的“派对风波”，这张专辑应该得到更多人的认可。前半张的AcidJazz以展现四姐妹友情的《姐妹们的聚会》为intro，也拉开了绝世名伶的音乐好戏。尤以一首Bossanova的《你》显得精彩，范晓萱需要一个情感的宣泄出口，因此在这首歌里，一句“神其实就活在自己心里”，又觉得“你”的含义，并不只是情爱世界的委曲求全。后半程更强调视觉化，暗黑童话加上口白，浮于表面的是那些深层伦理。但几首歌形式过于散乱，明显垮了。
悬溯,2,2010-08-14 17:10:58,39,大小S写的东西也只有范晓萱会用。
tlmgt,3,2011-06-07 01:27:18,7,非常不行，前半张还可以
张大水,4,2009-08-07 13:34:38,12,还是最爱这个时候的萱。
Luu,5,2012-03-20 12:00:34,3,衣服本身不好就会起毛球
JulyChan,NaN,2008-04-10 23:52:45,8,被一小撮人特别地喜欢着。
DeerColin,3,2018-05-28 22:55:28,8,台湾歌手比香港歌手“好听”多了。据说这是一张让大小S历史地位得以提升的专辑，哈哈哈。【你】【最好的爱煞人武器】(曲：刘以达)【人类】
苏格,4,2006-11-09 19:12:47,5,最喜欢《你》
Jr.Pimp,5,2010-07-07 17:10:28,7,这个曾经幼稚无比的女人也可以爵士因为她有太多的故事
三层保暖,5,2009-06-25 10:58:26,2,我喜欢封面中的你
Song³,5,2008-10-07 20:42:51,4,YouDon'tTrustMeAtAll/最好的爱煞人武器/失控的胖子/如果我先死怎么办
L I M O,5,2007-09-01 22:53:11,2,回憶最美。
zard砸得王大崩,5,2006-12-14 16:05:50,1,超喜欢这张的调调。正如专辑文案所说青春期对世界的困惑和爱。jazz适合她
斯 琰 🌈 🍭,4,2013-02-16 18:29:52,3,着实让我很惊艳的一张专辑，没想到在组团玩摇滚之前的范晓萱这么婀娜妖娆过。最令人称赞的还是大小S的那些词曲，诡异但富有灵气，是专业填词人绝对写不出来的，可惜她们没能一直写下去。不过还是有几首不是很喜欢，所以给个4星好了。
半袖,5,2006-01-09 11:28:37,1,惊艳
StevenTong,5,2009-07-15 00:33:53,1,全碟我都愛到爆。
littletwo,3,2008-10-18 21:43:37,0,晓萱的自说自话
薛定谔的毛,5,2015-01-26 21:10:20,1,歌词好棒！
JasmineJasmine,3,2008-05-29 19:07:07,1,如果我先死了怎么办，曲调怪怪的，词很凄凉，至少当时的我这么觉得
香水瓶,5,2006-04-30 14:43:47,0,喜欢这种自然随意的调调，嘿嘿~`
virgin,4,2010-02-16 02:38:06,0,我有！。。
易召,5,2007-06-29 11:10:28,1,那首粤语很惊艳。刘以达的作品。
