user_name,star,comment_time,vote,short
锐利修蕊,5,2011-06-08 18:21:55,137,快乐时你不用分心想起我难过时请一定记得联络我让我分享你的苦带走你的忧愁我只求这样把你拥有
素手纤纤,NaN,2011-05-25 12:47:05,7,真的对他没有感觉。
叶子阿姨,5,2013-03-22 20:57:50,98,已经很勇敢，还是难过，人和人的沟通，有时候没有用。
1806,5,2011-05-06 16:17:51,108,这孩子这么发展真的会有大出息
tlmgt,4,2011-05-06 09:39:33,32,artwork是他最清爽的一次，音乐也是（虽然聂永真的包装设计还是很烦
昏金暗玉,5,2011-05-20 14:12:14,37,Wyman大概没交过水准以下的作品，国语也没差。
░▒▓██,5,2011-05-06 12:05:01,29,没有口水歌，也没有失望
奎斯Chris,3,2011-05-07 15:47:48,4,优秀口水歌
停用豆瓣勿cue,4,2011-09-10 13:04:36,4,「早开的晚霞」。三星半
郑宁素,5,2015-08-03 22:36:31,5,迷幻的屬於自己的feel，第一波主打让人赞叹，你這第三張大碟直接決定你的历史定位是会升格还是降格。
叶酱,3,2011-05-08 14:55:35,2,对他也真的不是很有爱，还是觉得第一张最好，第二张是动听，这张只是悦耳了
D K U N,4,2011-05-08 03:32:38,1,没觉得有什么特殊的，但也不讨厌。第一张林宥嘉的专辑听的就是这张==而且今年听华语专辑不超过5张吧
影志,5,2011-06-29 16:38:03,9,自然醒+想自由+晚安
内陆飞鱼,4,2011-05-08 16:43:26,1,好听。
加州站街男孩,2,2011-06-16 20:39:37,4,渣
何牧歌,NaN,2011-05-11 12:41:25,3,听了一个礼拜，比较有味道，歌词质素较高，叙事格局不拘泥于痴男怨女的请请爱爱，比上一张专辑更对得起标题和概念。但旋律方面需改进，唱腔也应该更踏实一些。三张专辑了，还在炫技就有些无聊。
Song³,4,2011-05-07 17:46:28,3,我总是一个人在练习一个人。EASON幻觉
PabloHoney,4,2012-01-04 15:16:21,2,唔，我对林宥嘉顿生好感
莫呼洛迦-屁股上的青春在歌唱,5,2011-06-06 21:35:26,0,http://u.115.com/file/dnuorpdd#双CD版本
银谷,5,2011-05-12 15:39:37,4,推荐《纪念品》《拥有》
L I M O,5,2011-06-27 14:54:40,0,零油價的美妙生活。
肖浑,5,2011-09-08 20:21:29,0,三张专辑步步为营终于一跃而上
斯 琰 🌈 🍭,5,2011-05-13 20:59:36,1,最好的家鸽。生活概念，集大成之作。
poppyxong,3,2011-05-06 13:06:22,0,3.5
Tiff,5,2011-05-07 04:53:28,6,每次听《早开的晚霞》都要飙泪好久。。
要早睡啊minami,NaN,2011-05-08 18:13:01,1,自然醒
洗碗背包婦,5,2011-12-11 13:14:37,1,要如何形容我初次听完这张专辑的感受？五味杂陈？蛮接近的。为林宥嘉懂得控制发声时浓浓的鼻腔而欢呼。为专辑风格开始偏离主流框架而担忧。为每一句一针见血的歌词而惊叹。为不自觉地开始对这张专辑爱不释手而震惊！为这张几近完美的专辑如何反映出一种不完美的生活体验而拍掌。若我是你的话，我会花很多时间慢慢咀嚼每一首作品，因为每一次体验都有新的发现。（怎么不是满分？下次别画蛇添足，把电玩的主题曲硬加在专辑内。）
丶,3,2011-11-23 04:25:49,0,为什么单曲的曲目描述却是专辑？然后这首歌悠扬，但是不好听。所以一直以来的问题就在于创作型歌手的歌到底是选择最大程度的理解性让自己来唱，还是选择一个更加适合的嗓子却无法展现歌曲本身内在情感的歌者来。
vi vi ちゃん,4,2011-05-24 19:52:11,0,很好听的一张认真的专辑！
鸭酱,5,2011-04-25 00:51:39,0,嘉哥人二点儿，歌真特么不次！！！！
阿萌今天也很饿,5,2011-05-08 18:16:06,1,单曲循环。
zard砸得王大崩,4,2011-05-16 09:41:53,0,别的不管不顾，只继续仔细聆听音乐里的你。歌词和曲子都很棒啊。
五摆五折,4,2011-05-06 15:54:44,0,《自然醒》《不换》《拥有》；暂时给四星；http://www.xiami.com/album/438628；8.0分
木夕兔,4,2011-04-25 11:20:39,0,歌词好。
Samuca,5,2011-04-21 22:41:59,0,差点就被主打歌那首不知所谓的又故弄玄虚的《晚安》骗了。非常好听。
thundercat,3,2011-10-09 17:02:46,1,准确的定位、精致的制作与不着调的演唱。
凹凸代餐,5,2011-05-09 20:43:34,0,http://u.115.com/file/dnuorpdd　CD1：e61p6dxlCD2：aq85esjf全碟：bhnr5bwg　台版入手！
倉鼠,5,2011-07-11 18:53:53,0,今年到目前为止听过的最好的华语专辑。
♬ CaR,5,2011-05-06 17:52:03,1,我多么期待。而且他完全没辜负我的期待。
影子的影子,4,2011-08-17 17:55:00,0,快歌比慢歌好听，第一次听林宥嘉，没想到还挺英伦风的
口袋_肥力士,4,2011-08-08 19:43:10,0,好听
Yome,5,2011-05-16 17:05:23,1,"有幾首歌讓我覺得好像是<感官王國>2.0的模式不過整體還是很不錯的還是很Yoga快歌條紋分明慢歌的編曲也能給人一種微溫并漸暖的氣息像連續點燃一根根火柴總體來說這種生活還算""美妙"""
捞,4,2011-07-03 21:14:21,0,如果唱腔上的某些桀骜不驯能再修饰一些些，可能会更好。
Nuage☁,4,2011-05-03 21:34:15,0,听得很困！！！！！！！！！！！！！！！！！！！！！！！！！
MeetMeinaMaze,5,2020-06-16 10:05:38,7,依然是上个十年我最爱的华语流行唱片。它将林宥嘉这个名字从一个演绎能力出众的歌手变成一支阵容完整、配合默契的“乐队”，用这第三张专辑激发出他的新身份。词曲创作都是流畅优美的一时之选，对孤独的歌颂、恋爱感悟、白发人送黑发人之痛、媒体对个人经历的渗透...没有文艺的造作，嗅不到商业妥协的谄媚，就是跃动在流行摇滚轨迹上的20代青年生活图鉴。
捂住嘴,3,2011-06-14 12:47:23,0,没评价的那么好，但也还行
amiko,5,2014-04-17 13:22:16,0,他最棒的一张拥有早开的晚霞想念晚安一气呵成果然情歌比情人更懂我的眼泪只是因为这一次彻底理解了所有之前的不完满。谢谢你。
夏日扬帆,5,2011-05-06 21:29:35,0,明天发！！等不及了！！两首新单已经好听死了！慢慢消化中[想自由、拥有]
少年夏不安,4,2011-05-10 15:22:07,0,CD1还不错，温吞水的感觉，没有前面那张里《心酸》《说谎》那么打眼的歌曲，大概还没听出味道了。不过CD2真的……不是……那么好听丫~~~
