user_name,star,comment_time,vote,short
朴九月,5,2010-02-17 18:19:05,105,华语流行数年来最优秀的翻唱专辑。
Bill,5,2009-12-27 14:22:49,26,翻唱时很有难度的相对于孙燕姿的原唱曲目而言这次的演绎在部分程度上还是过于稚嫩了
扭腰客,5,2010-06-14 18:02:58,18,这一张的确很好听啊~
不宁,5,2008-10-04 00:22:16,17,自选集，silentalltheseyears演绎出另一种味道，年轻的味道。
易召,5,2010-06-06 22:12:23,19,个么我觉得这小妮子唱外国歌还真是有两嗓子
Song³,4,2008-10-19 22:55:45,10,HeyJude/SilentAllTheseYears/橄榄树/Venus/原来你什么都不要
zard砸得王大崩,5,2006-12-14 15:53:58,5,想念那时候，极喜欢的翻唱专辑
安东妮,3,2006-04-18 20:14:12,4,推荐所有原曲
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-04-30 13:30:41,2,当时在，你家听卡带。
MeetMeinaMaze,4,2012-05-06 15:30:12,1,至少算是最讨巧的翻唱专辑。
香水瓶,4,2006-04-15 16:09:32,0,<
凹凸代餐,4,2011-04-01 15:52:37,0,http://u.115.com/file/t06948ab5a或f2e7efad7f
苏格,4,2007-01-08 14:01:39,0,我也唱的爽
DeerColin,4,2012-10-14 16:29:17,4,内心上还是觉得她不适合翻唱，即使这真是很好的翻唱专辑，声音很有辨识度！
with,5,2008-07-24 21:26:59,2,silentalltheseyears
LORENZO 洛伦佐,5,2010-05-03 14:42:25,2,每首都很喜欢
o0工藤波波0o,5,2010-08-22 22:02:44,1,原来你什么都不想要@2010-08-2222:02:44
shu,5,2008-04-27 21:54:18,1,拥有过的
eloise暖,4,2008-07-18 16:02:00,1,betterbetterbetterbetter
Summer孙夏天,5,2011-01-26 10:06:27,1,HeyJude，Venus，天空
小狐狸BOBO,3,2005-12-26 15:39:16,1,喜欢HEYJUDE
莊小壞,3,2009-03-24 15:56:30,0,3.5－－－第四張。
三四,5,2008-09-21 16:57:40,2,我爱能翻唱好歌的歌手。
斯 琰 🌈 🍭,5,2013-04-10 23:04:58,9,迄今为止听过的最好的翻唱专辑之一。不需要对编曲做多少修改，光是她的声音就足以将歌曲唱出与原唱不一样的味道，何况她的灵气还那么足。在我不知道披头士的年纪，是她让我感动于《HeyJudy》。
不擅长,4,2007-10-09 17:26:33,0,精选1http://www.xiami.com/album/11676
钟,5,2009-09-23 10:23:26,1,someone
Yes张嘉乐，三月是春光明媚的,5,2009-10-31 02:05:09,2,原来我什么也不想要
坏人瓦卡卡卡卡,NaN,2013-03-12 22:29:08,2,原来你什么都不要
薇羅尼卡,4,2006-01-27 21:02:15,0,这张还不错，演绎别人的作品，有自己的精彩。
妈妈我想吃肉,5,2009-12-29 15:25:36,0,heyjude~
沉歌,5,2008-03-23 16:31:33,0,HeyJude~~
Memento Mori,3,2009-12-20 10:22:05,1,当年我爱听她唱silentalltheseyears
Yi,2,2009-04-13 11:32:30,0,真的太难听了。。。。
haidb,4,2009-06-11 13:11:55,0,孙燕姿真的不错啊
球儿先生,5,2010-08-30 08:25:22,2,绝对的翻唱诚意之作，不确定是不是最好，但一定比现在的翻唱专高出N个档次！
失控的蘑菇,2,2009-05-30 23:26:40,0,自不量力
邪念,5,2012-05-21 10:09:38,2,最好的翻唱集之一
Ziggy 🇵🇸,3,2010-12-30 16:57:22,0,推荐橄榄树和天空的编曲值得一听
BiuBiu,5,2010-06-20 21:22:20,0,忍不住啊。。
[已注销],3,2011-03-19 13:45:57,1,有品位是有品位，唱的好不好是另一回事
cincin,5,2009-06-30 14:16:11,2,经典+燕姿的声线
玫瑰禁菸,5,2008-12-20 14:22:57,2,惨绝人寰的力荐
≌菩提风花,5,2007-04-02 14:51:23,1,几首经典+有FEELING的翻唱
宇文宙,4,2014-03-10 20:21:03,2,很有诚意的翻唱砖
Angeline35,5,2011-05-20 17:08:24,1,SilentAllTheseYears唱哭我。
宋阿慕,5,2008-02-19 13:55:46,2,那个时候的孙燕姿，是个不愿被当作焦点的小女生.
kingfish,5,2006-03-23 10:53:05,3,五星级全力推荐!!
上野千驴子,5,2008-07-04 15:27:01,2,当年泪流满面的一张碟
𝙏𝙌,1,2014-10-30 16:44:27,1,唱功基本为零
丹,2,2006-05-31 07:35:12,2,不是她水平的唱片。有亮点，但是没有光芒。主要是要求高。
四二,5,2008-06-27 06:22:22,1,这张是很久以后才听出味道，的确。
金色花椰菜🥦,5,2010-03-24 21:28:35,0,heyjude、silentalltheseyears，Venus好喜欢
一切归零,5,2007-01-29 17:31:13,0,燕姿的声音极具穿透力，唱腔独特，《heyjude》《silentalltheseyears》唱的都很好！
sunevivi,NaN,2009-12-18 20:01:36,0,Venus.
战国客,4,2009-02-24 17:57:06,0,HeyJude&Venus
林||我们谈什么都像谈死！,3,2007-10-03 10:02:17,1,她选的自己喜欢的歌。
壹壹桑,5,2009-08-31 08:30:39,0,很喜欢这张··“黑猪”~~哈哈哈哈·····你还记得吗?
石白,4,2010-07-16 23:10:29,0,FAYE天空..
七|尹苏苏,4,2012-05-13 09:43:54,1,我记得这个是我初一的一盘磁带记忆犹新
tavico,3,2009-04-20 19:22:45,0,3.5星，说实话，真沒觉得多好
寒凌旭,5,2008-07-14 22:48:35,0,大爱燕姿版本的HEYJUDE，喜欢她自己的SOMEONE。
Rosyrain,5,2008-05-09 20:47:20,0,好！
器官坏死,NaN,2009-12-22 10:21:33,0,那写我不曾听过的老歌，你用你的声音全新的去诠释出你的味道
再见小狐狸,5,2011-09-22 21:24:28,0,这张真是精华
