user_name,star,comment_time,vote,short
tripler,NaN,2011-10-12 22:46:20,23,我想我这辈子都不会去看她的演唱会了。那个时机已经过了。
小M,4,2008-02-18 19:10:04,24,我可以一路跟着她唱下来
Bill,5,2007-09-28 20:28:45,8,很用心的演唱会很棒的演唱会陈绮贞下了大功夫的多多很棒的歌曲新老皆有观众也很投入
卢儿,4,2008-04-30 17:57:57,5,喜欢她的childishvoice
L I M O,5,2007-08-10 10:49:46,2,妳的花讓我開。
MeetMeinaMaze,4,2010-05-22 13:52:47,1,现场的演唱比录音室让人接受。
Claire,5,2007-05-20 22:17:08,0,听着CD，就想看DVD。
徐达多,5,2009-07-09 00:04:40,1,两次疯狂的encore，绝美的演唱会，期待杭州。
半袖,4,2009-11-30 21:27:35,0,歌曲还是动听的
machlie,5,2010-12-17 01:07:31,4,我一直觉得如果不是对一个歌手的曲目足够熟悉的话我是不会轻易去看她的live的，可是因为某个live喜欢上某个歌手的例子却又存在。这样的悖论后面是我对陈绮贞从高中到现在慢慢不温不火的喜欢。其他歌手或者乐队什么的，或许听了一首歌我就迫不及待的去下整张专辑，而对于cheer，我都是一首歌一首歌慢慢喜欢上的，一首歌一个故事，一个故事一个梦。我想这或许也可以解释为什么我到现在还没有去过老师的现场，甚至眼巴巴的错过了好几场。今天晚上我才明白，原来只是没有水到渠成的时候。我想，下次无论如何我都不会再错过了。换个角度，我反而觉得这些错过是必经的路程。
zard砸得王大崩,4,2007-05-29 18:38:02,0,花的姿态，千万种
捞,5,2008-10-26 14:28:20,0,淡淡地，已经好靓。
ladybird,5,2007-06-17 20:28:05,0,鸡皮疙瘩都起来了...挽救了pussy的失望...
j u n,5,2007-07-16 13:22:51,3,我是女明星，我只崇拜你。
汽水儿,4,2007-11-21 23:06:47,0,有人说陈珊妮是天空里的女巫，那么陈绮贞就是在人间的精灵~~~
91.7,5,2008-11-03 22:53:34,0,現場很讓人感動
夏日良人°,5,2008-11-26 17:02:59,1,这个版是限量版。好想要@-@
痕。,4,2007-08-07 18:03:51,2,我亲爱的姑娘，多么想，若三十岁的时候，能有与你一样的神情和姿态。仿佛一直，18岁的模样。
第三代楊森熙,5,2008-06-26 13:53:58,0,三次Encore，感動我的演唱會。
KennyHaynes,5,2010-09-16 09:41:40,0,果然陈小姐适合各种天气各种心情的时候听
时以星,4,2007-05-29 12:10:15,1,她的独立不是一种强硬的不妥协，而是一种静静的力量，静静生长的树，静静盛开的花。她的姿态，无需争辩，便已独立于世。她在歌中唱，“我的花让我开，你拥有你的，我拥有我的盛开，我拥有我的姿态”。在演唱会的陈绮贞，更是比录音室里的她更能看到这种独立姿态，从23岁到32岁，时间被她轻轻收伏成了一只温驯的小兽趴在身后不知醒。@2006
神秘金针菇,5,2010-11-12 13:07:12,0,她做到了，绽放。
小晨,4,2007-06-02 17:14:23,0,还没买暂时也没打算买..
沉歌,5,2007-10-21 16:32:08,0,花的姿态
Charles Rosen,3,2009-04-02 18:03:35,0,这个人，绝对是人来疯...-_-
baichi0038,5,2010-03-27 12:01:40,1,你来了~于是~我们听了~遇见陈老师永远是幸福的事~
Белка,5,2007-09-03 20:06:59,0,很不错
失控的蘑菇,3,2011-08-11 23:41:28,0,整场录音完全被台下观众毁了啊忒吵了，亲你们是打了鸡血么。。。
soloye,3,2009-02-19 15:47:50,0,虽然演唱会总有些吵，但是偶尔听听陈绮贞，还是挺安静的渐渐觉得，其实她的歌也很简单，甚至有些空洞
某S,5,2014-04-29 12:02:01,0,基本齐活
不如的我的,5,2007-08-14 23:26:24,0,由此开始喜欢上这个声音
日烟火,5,2008-11-22 20:02:31,0,很舒服。
纯子,5,2008-09-16 16:20:45,0,05年的现场版。天籁般
小猪de世界,4,2007-05-19 19:14:00,0,现场的随便听听
fake,5,2015-03-27 17:01:45,0,过了这么多年，烂熟了，还是他妈的好听
olive,5,2008-04-29 04:32:59,0,250大洋啊~~贵死啊~~谁买来送我啊~~
五月微蓝,5,2010-01-05 00:22:49,0,很棒的现场。。。老师什么时候能来上海开演唱会啊！！！
ishine,5,2007-10-30 11:39:29,0,我爱陈绮贞
Lethe。,5,2007-08-06 22:46:17,0,仿佛，看见倔强而坚强的女孩子。轻轻地笑着。时光，再见。
程萬萬金,5,2008-01-26 11:36:41,0,中山纪念堂。现场。精美女子。驕傲綻放。
你是桌子我是布,5,2010-02-10 01:04:44,0,从来没有听过这样令人感动的现场
一又,5,2009-10-04 09:37:39,0,那個腐朽。最大惊喜是，女明星。
安小安,5,2011-01-26 23:18:31,0,美得让人动容。
△,4,2008-07-06 13:33:45,0,魂牵梦绕的声音
魚樂無窮xD.,5,2007-09-17 17:21:38,0,LIVE超棒!!
給料泥棒,5,2010-02-18 14:47:45,0,你一个人在玩
笪笪,5,2012-12-17 23:41:15,0,一张近乎完美的live、
XA™,5,2009-02-03 23:37:52,0,真唱功，真现场~
Mr. White,5,2010-04-26 12:32:07,0,好听，也不难看
Strelizeia,5,2009-08-20 10:54:43,0,Beautifulsoul
科钦夫,NaN,2007-08-31 04:12:23,0,陈老师是个好青年
Faith。,5,2008-11-04 20:49:50,0,花的姿态她的姿态
抽屉的烦恼,5,2010-02-05 20:00:59,0,这张碟片是绿送给我的
