user_name,star,comment_time,vote,short
poppyxong,5,2009-04-26 16:42:42,220,是我的海
停用豆瓣勿cue,4,2011-09-28 16:32:17,93,「频率」「是我的海」
捞,NaN,2011-10-16 23:05:31,96,不知为何就是有种被恋爱的感觉。
Bill,5,2008-05-04 19:01:10,112,很是惊艳的出道让人难忘的编曲和声音只好用震撼形容
郁程,5,2007-12-03 19:31:27,34,好听到离谱
斯 琰 🌈 🍭,5,2013-03-15 13:56:54,18,第一张就惊艳到不行、无法定义的一支乐团。无怪我爱他们这么久这么深。一生脑残粉的命运是摆脱不了了~永远也不知道他们会交出怎样的作品，唱怎样的风格，他们就是sodagreen~或许现在他们再也回不到这样青涩的感动，但是我依然深爱~
眼角的花朵,5,2007-08-31 18:12:51,20,眼角的花朵的名字来源于苏打绿的＜飞鸟＞　不用说了　我有多喜欢他们
tlmgt,5,2011-11-06 05:12:08,18,飞鱼。相对论IV。OHOHOHOH
virgin,3,2008-12-02 13:02:30,3,不喜欢娘娘腔!哈哈:)。。
离净语,4,2007-03-29 20:42:45,8,好听难唱啊欸
慢先森,2,2006-02-03 06:04:30,4,虽然是独立音乐，虽然被漂亮的绿色封面吸引，但我必须忠实我的耳朵，大多数歌不好听。《飞鱼》和《你喔！》还能听，其他歌可以说不堪入耳。
L I M O,5,2007-01-12 13:21:13,9,我的海里有飛魚。
赤潮▪夯,2,2007-01-06 20:42:47,5,做作捏嗓的太监腔！受不了主唱的声音！
锐利修蕊,5,2009-10-18 15:02:15,5,从《是我的海》，到《你喔》！
倉鼠,4,2010-12-31 20:51:28,6,《是我的海》曾经是我的泪点《相对论IV》是你提出要和我一起唱的歌
城南草木生,3,2007-12-16 18:26:23,1,绿的发紫
zard砸得王大崩,5,2006-12-14 15:38:10,6,越听越喜欢的专辑.整齐而美好的青春
瓜。相信这个世界很变态。,4,2008-08-09 22:48:44,3,如果苏打绿每张专辑都像这张一样，我就不会anti了。
shu,5,2007-12-02 14:00:16,3,心情都绿绿的了，绿色的时光。
WellIgotone,4,2011-01-30 00:07:11,0,还真清新哎
泉の向日葵,3,2006-05-16 15:59:51,8,苏打绿/sodagreen，[n.]一种慢性腐蚀心灵的旋律性饮料。[v.]专指某种变调摇滚精神试着改变受众音乐习性。[adj.]乍听之下令人难以忍受却又无力抗拒的。[adv.]绵密而愉悦、轻松又带点温柔地。
Mignon松弛地,4,2006-11-19 14:16:37,1,喜欢封面上的苏打绿，音乐温暖。时隔两年，我却完全受不了主唱雌雄莫辨的声音了……
Song³,5,2008-10-07 20:55:06,1,妖娆男声！
thundercat,5,2007-11-25 00:34:46,2,我只想说谢谢你们
徐达多,4,2008-03-27 14:58:50,1,兴趣所在。
毛利,4,2006-11-25 03:37:39,1,听的时候，我觉得蛮快乐
夏日扬帆,4,2010-07-28 17:42:02,1,那个时候纯纯的那抹绿
CiCi,3,2011-01-26 02:29:02,1,为毛大家都说好听，而我死活受不了主唱那种不男不女的声音？
MochaTong,5,2006-11-12 21:35:25,0,是我的海~。就是因为这张爱上了他。
kik,4,2005-12-27 19:21:18,1,你喔！
jellyfish,5,2007-03-08 23:52:06,0,夏天的味道
小狐狸BOBO,5,2005-10-04 13:18:00,1,一种简单的错觉，轻易别离，终结孤单！
小魔@优雅穿梭,4,2010-01-04 19:02:57,0,青峰你一定要和安浦好啊！
三四,4,2008-06-20 21:25:51,2,青的声音听了会上瘾
Tiff,5,2011-03-01 06:37:01,3,我不知道为什么喜欢他们，只是每次听都一样安心，然后就微笑了。。
莊小壞,3,2011-12-11 21:29:16,0,3---嗯哼。
不万能青年,5,2011-08-13 21:00:23,0,太多困难，会让人害怕看未来。
Vince♫,4,2008-04-08 12:07:14,1,不是很喜欢主唱的口音
