user_name,star,comment_time,vote,short
停用豆瓣勿cue,4,2012-06-16 21:12:33,229,若你碰到他替我问候他全家
李风,4,2009-12-24 20:57:38,226,但抄袭这件事情是跑不了的
tlmgt,2,2012-11-29 18:50:01,59,我给过《抛物线》的单曲条目五星了，所以~PS：对《红色高跟鞋》毫无感觉，懒得管抄没抄袭觉得很一般
L I M O,5,2009-09-06 17:23:21,53,理性的感性主義者。
夏日扬帆,4,2009-11-21 12:50:10,10,这张专辑还蛮耐听的[谁、若你碰到他、游泳圈]
慢先森,3,2012-04-05 17:03:56,5,只喜欢红色高跟鞋一首歌
城南草木生,4,2009-08-21 16:24:05,7,从呼吸之后蔡健雅就不是蔡健雅了要不也没有今天了
亵渎电影,4,2011-04-05 01:35:47,8,名字好暧昧，瞬间腐了。
沉默电话,5,2011-08-09 10:05:27,6,抛物线
倉鼠,4,2013-10-15 21:46:37,4,发现蔡健雅专辑的第一首歌基本上都为了留待展开全碟细部而具有统摄性的特征，而最后一首歌也自然而然就具有总结性质，所以整体显得很圆融完整
Bill,5,2012-12-26 01:10:18,8,又听了一遍都市新女性的情感心声但并没有发挥蔡健雅的全部功力
BlackScholes,4,2013-12-14 03:38:57,3,救生圈
顶楼^秋天的海,5,2012-01-20 12:41:19,6,蔡健雅才是真正的音乐才女
肖浑,3,2009-11-01 19:19:36,2,感觉好平淡救生圈、红色高跟鞋、生锈游乐场
莫呼洛迦-屁股上的青春在歌唱,3,2009-09-17 19:31:29,1,我本人不是很喜欢这张
Dyingpluto,4,2009-08-25 13:54:30,0,喜欢同名歌曲
颜良辰,4,2009-08-19 13:47:18,0,才气有点开始消失了。
吴嘎嘎,5,2009-09-02 19:00:17,0,男人
Memento Mori,5,2009-09-14 08:17:56,2,一直憋到今天才听。果然逼迫地我几近窒息。窗外是阴雨的北京早晨。结束之后，用这张专辑做我坚强和脆弱的交替。
psycho DC,5,2011-10-04 11:57:58,0,多珍惜我和你有的这种默契，传递心中的温暖和全世界分享，因为真爱存在...【onlylove】
愛永,4,2009-10-01 12:39:09,1,我在Tanya的音樂成長，把愛情收好，也把自己整理好。
冰山李,3,2009-09-07 15:41:13,1,不痛不痒
今天小熊不吃糖,NaN,2009-08-21 10:46:27,0,有点失望，没有惊艳的感觉
zard砸得王大崩,3,2009-09-06 22:18:58,1,关于爱情。他。她。
白色的蓝,4,2009-08-19 14:05:20,0,没有想到现在还有能让人感动的歌---抛物线
光年‖影视歌三栖民工,4,2009-09-02 22:00:00,0,因为阿M也提起过你
朴九月,4,2009-08-19 19:09:30,0,http://www.1ting.com/album/33/album_28597.html
雅克,4,2009-08-20 20:07:40,0,觉得一般，不如预期，不如前几张
33迟来_小小岛,4,2012-03-24 09:05:03,1,大爱红色高跟鞋~~~~~大爱蔡健雅的声音只是这张专辑喜欢的确实不多~~~~~~~~
LORENZO 洛伦佐,4,2011-01-12 07:58:36,1,还不错啦若你碰到他
Song³,4,2010-05-03 22:21:28,0,喜欢《轮流转》里行云流水的钢琴/红色高跟鞋/OnlyLove/男人/若你碰到他
Claire,4,2009-09-08 23:20:18,0,【抛物线】【若你碰到他】【OnlyLove】
1806,5,2011-11-18 09:37:40,0,退步了
令糊葱,4,2010-09-11 21:15:50,0,不可错过的Tanya，又小女人了。。
锐利修蕊,3,2012-12-02 19:45:07,0,除了《红色高跟鞋》，这首歌我真的很讨厌。
