user_name,star,comment_time,vote,short
锐利修蕊,5,2017-10-07 10:14:51,2540,周杰伦的第二张真是牛逼到没朋友
素手纤纤,5,2007-10-08 04:08:36,1824,十年来我只给两张专辑打满分，这是其一。
郁程,5,2007-12-04 10:44:27,1236,划时空的专辑音乐史上的里程碑专辑奇迹
DeerColin,5,2012-11-16 19:11:09,433,第二张专辑依旧很高的品质，甚至可以说是他最经典的专辑（没有之一）。周杰伦和方文山这对完美组合的小宇宙大爆发诞生出这样的好作品，让《安静》、《双截棍》和《简单爱》一跃成为KTV常年热门的点唱歌曲，而《爱在西元前》、《爸我回来了》也是让我记忆深刻的歌！
九亿少男的梦,5,2015-06-19 22:25:38,381,我对历史一窍不通，但是我知道古巴比伦王颁布了汉摩拉比宝典。
Bill,5,2007-03-11 11:56:42,253,首首经典难以超越的高度且不仅仅只对周杰伦而言
tlmgt,4,2011-06-07 00:27:59,100,现在觉得这张的整体性上做得并不是那么好。前三张最爱的还是《八度空间》无疑。
一只麦麦,5,2010-01-28 21:52:23,203,准确说是从这张开始爱上周杰伦的，每每听到爱在西元前前奏响起眼泪都要夺眶而出，仿佛回到初中午休时霸道地给全班放卡带听的日子。这辈子只有这一个真正狂热追过的明星，无论艺品还是人品，都是可以昂首挺胸爱一辈子的人。
文泽尔,4,2007-12-19 00:27:44,146,这其实应该是周杰伦最好的一张专辑了吧
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-08-29 00:12:31,46,并不是最喜欢这张。。
赵无眠,5,2009-01-16 10:56:03,92,最爱杰伦的一张
V.Dunham,5,2015-07-31 23:35:24,118,他永远不会泯然众人矣的原因就在于他本来就不是众人。
范困,5,2009-01-05 12:30:36,72,现在翻出来听还是那么经典
丶,5,2011-11-16 12:01:29,84,周傑倫最好最fantasy的一張作品，沒有之一。
捞,NaN,2008-10-26 14:30:37,66,这个时代才是fantasy
DreamReaver,5,2017-05-11 08:38:35,50,我也在他出这张专辑的年龄，22岁，太可怕了
何牧歌,4,2012-06-19 16:12:10,37,最后听国语的时光，但其实这专辑的歌我都不怎么感冒，只对《开不了口》印象深刻，而且还是因为MV。可能上辈子欠港乐的，所以这辈子注定除了港乐都难接受
Kuhn,5,2012-07-08 16:15:27,45,十来岁的记忆全部浓缩在这张专辑里；从它开始学会了怎样欣赏音乐，体验到了陶醉和沉浸的感觉
由迦可汗,5,2019-09-30 17:22:45,24,第二张专辑就跨入神作的行列，华语殿堂级作品！
石湃溪,5,2018-03-09 20:22:54,14,这张做得不太融，但很创新。而且，所有歌好像真的都成经典了。
齐鲁矿业李德友,5,2012-02-07 09:57:39,30,原先是流行，现在成怀旧了。2021update:现在再来看，这张专辑的价值在当时被严重低估了！绝对是华语流行乐浓墨重彩的一笔！前无古人后无来者！！
撒旦的表妹,5,2016-10-30 22:44:44,26,循环了一天啦，怀旧日
13平米宅,5,2011-02-19 17:42:57,30,五星和专辑本身并没有多少关系，音乐把时间和那时候的人一起刻录了。听简单爱的时候，自己还小。想简单爱的时候，已经知道那是不可能的事情了。
哪吒男,5,2020-03-04 21:35:52,50,对不起，我们是听这种少年气长大的，所以我们和你们不一样。
熊猫没彩照,5,2015-09-08 15:23:01,31,中学时候，能流利唱爱在西元前和威廉古堡的人都很受欢迎。
不万能青年,5,2011-08-24 14:34:41,33,虽然这是我编造出来的事实，有点讽刺有点酸性。
赞成的巨兽,5,2012-06-20 13:11:53,24,其实我不是很喜欢这张，但周杰伦纯属横空出世啊，这么多年过去了也没有超越者
包法利富人,5,2018-02-04 19:59:16,43,真的是华语神砖就像所有代表作一样周杰伦自己再也无法超越的锐气特别是《双截棍》后面的那一段钢琴曲神来之笔还有就是《忍者》这首歌感觉是抽了大麻才写得出来的所有成功的作品都是被上帝亲吻了的可能这种机会一个人一辈子只有一次而且还必须是艺术的幸运儿。
杨山魈,5,2010-06-25 21:09:44,32,这在幼小的我心中是一次震撼
evan是幻想家,5,2011-07-04 21:59:40,21,轰动的专辑
我对你的无语简直能沉默整个宇宙,5,2020-03-04 21:46:30,13,想吃AB血型的公老鼠
Song³,5,2008-12-17 16:59:27,14,13届金曲奖“最佳国语专辑奖”。安静/开不了口/爱在西元前/爸我回来了
你看我嘎嘎吗,5,2014-04-02 23:22:08,16,这张专辑十首歌都有MV==
时以星,5,2007-04-13 10:34:05,10,大学时和隔壁宿舍的女生交换你的CD。
吉塔,5,2010-04-28 00:52:32,15,indie天王
Белка,5,2008-03-18 21:59:31,16,小时候怎么就因为自己的中二错过了他呢><才华横溢，真的很棒
兔球波,4,2008-10-08 22:52:34,6,高中时候红得发紫...纯属跟风而听
果酱☮,4,2008-12-27 18:11:38,7,中学时代买过卡带
令糊葱,5,2008-10-12 11:57:02,12,当时的周杰伦，红的一张。
UrthónaD'Mors,NaN,2009-11-13 16:34:21,2,稀饭不稀胡那还有什么稀
zard砸得王大崩,5,2006-12-15 01:08:26,9,经典流行乐
Luffyjun,5,2011-02-16 13:51:07,12,好吧，我承认，那个年代，我也被他迷住了。。到现在我觉得这张专辑是他最好的！！
Inevitable,5,2007-06-13 10:26:02,7,我心中最爱的专辑无可超越
饭夫斯基,5,2009-10-03 15:04:35,12,最好的一张，永远的一张。再听依旧满脸泪
旧风,5,2011-12-16 00:09:48,7,记忆最深的专辑之一。
amiko,4,2013-07-10 06:19:44,4,安静
KeneL裤头,5,2006-08-13 17:22:34,4,整个小学五年级的回忆，首首经典.是他最好的一张，每一首当让人如此惊喜，但之后的他不能再带给我更多感动了.
Gee,4,2012-12-09 23:26:18,9,记得当时杂志的乐评是“让你听着以为是西欧音乐的中文专辑”我就买来听了，再之后就是补回第一张专辑~~觉得JAYCHOU就是奇才啊
Hao,5,2008-08-02 22:04:32,3,#屌
BlackScholes,5,2009-12-26 14:10:40,4,爱在西元前简单爱开不了口双截棍安静
愤怒的小鸡8,1,2009-09-29 23:54:47,12,从这张开始对他没兴趣了
不如的我的,5,2007-04-16 23:16:48,9,流行就该这样
○Ⅴ○,5,2010-05-11 18:31:16,5,开不了口，太贴心。
莊小壞,4,2009-06-19 14:35:09,1,4－－－我个人觉得，这张最有质量。
护,5,2007-02-05 19:54:08,4,最偶像
薇羅尼卡,5,2007-01-16 10:01:16,6,这一张算是最好之一~
春风颜色,5,2009-11-30 21:00:05,5,惊艳！每一首歌我都记得。
蹦床,4,2010-04-26 15:53:56,4,老娘也是听过周杰伦的人
晚不安,5,2019-02-22 23:39:05,9,熟悉每一首慢歌，对快歌则没什么印象，所以对我来说这张专辑半新半旧，重听起来是相当新奇的体验。没法跟热评里的各位一样，下定义说这是周董最佳——因为他实在是个高质高产的创作型歌手啊。红透半边天的《双截棍》，和超越了时代的周杰伦——现在还有哪个歌手会在一张流行专辑里写家暴题材？
大橘喵子^ ^,NaN,2009-03-23 20:38:16,0,其实我是从这张第一次听Jay的，可惜当时觉得简直难听到听不下去……他那时是小众歌手，恩小众的~
essence.c,5,2014-07-08 16:35:47,1,最好的周杰伦.【爱在西元前】【开不了口】
KAVA,4,2011-11-15 10:14:23,5,那个时候，点歌台天天都有人点这张专辑的几乎所有的歌
秋叶掉落在树上,5,2007-01-06 21:09:30,2,永远的范特西...
品客,3,2008-08-14 01:49:17,1,原谅我年轻时的无知。
沉歌,5,2007-12-15 14:29:49,6,对不起。安静。
不擅长,5,2007-10-11 13:45:00,0,2http://www.xiami.com/album/6655
你是桌子我是布,5,2010-04-08 12:54:11,4,已成经典无可辩驳
白乌鸦,4,2011-10-18 22:16:14,0,初中买的
XB,5,2010-02-09 21:31:10,1,延续第一张的感觉
Cedrick,5,2011-11-04 06:56:14,3,在演绎形式上延续了第一张的流动感，另外值得一提的是，仅仅十首歌涵盖题材之多样化，堪称经典。每一首在内容上都花了很多心思，故事性非常强，整张专辑就是一本短篇小说集。这可能是周杰伦唯一一张丝毫没有短板音轨的专辑。
fake,5,2009-04-26 16:09:13,4,独此一家，别无分号。
柴斯卡,NaN,2016-11-01 14:46:32,6,🎵我想就这样牵着你的手不放开爱能不能够永远单纯没有悲哀我想带你骑单车我想带你看棒球想这样没有担忧唱着歌一直走🎵#老年生活#
江湖遠人,5,2013-07-05 23:45:54,0,借的磁带。
阿右,4,2014-10-22 22:32:46,1,最近开始回忆童年小时候觉得周杰伦特别杀马特现在看看还好啊我小时候可真是封建ps虽然从来没有买过一张专辑却听过他那么多歌曲那时候身边的女生真的都喜欢他……
妈妈我想吃肉,5,2007-10-24 18:56:22,1,经典专辑~~无与伦比~~
汤之问棘🌈,5,2013-01-30 22:40:34,0,周杰伦最好专辑，没有之一
Pumpkinhead,5,2008-10-03 16:44:27,0,小学
中世纪福音工人,5,2018-02-06 00:06:24,0,初中~MP3
坏人瓦卡卡卡卡,5,2013-03-12 22:31:44,0,总是开不了口让他知道
jiaqi,4,2010-01-01 08:54:00,0,小学买的的磁带
星尘战场,5,2007-04-03 22:18:01,2,此生最爱。
2734,5,2012-12-01 16:00:03,0,一秒回到十年前的今天，看了《一九四二》。
海孩等pk14,5,2011-12-08 07:32:01,0,童年
神山樹,5,2010-09-11 02:29:37,0,哇。。。
[已注销],5,2011-03-27 12:52:46,1,忍者+威廉古堡+对不起+安静+上海一九四三
大D,4,2007-05-30 17:16:49,1,周杰伦就这一炮
Paul,5,2008-11-26 10:50:00,0,神作必然是神作
Angeline35,5,2012-02-26 16:19:44,1,顶峰啊顶峰！直到现在我还是要中肯认真的承认这张专辑听过的次数无法计算了。
是但求其冇所谓,5,2009-09-20 12:11:22,1,印象中我的第一盘卡带就是它了，当然咯我说的是正版。
