user_name,star,comment_time,vote,short
孤独心俱乐部,5,2010-04-02 13:53:04,158,“叔叔，你的名字叫？”“菊次郎！你丫的”
潜意识,5,2008-10-19 14:53:15,75,这个太美了，summer，therain！
易召,5,2011-07-08 19:56:00,38,那一曲静美动人的summer
Bartholomew,3,2011-09-19 17:49:50,4,拜托，哪里有这么好听。
三层保暖,5,2011-04-22 23:20:56,4,爱
Hao,5,2007-10-26 20:29:32,2,夏天の味道。
shu,5,2009-05-14 21:28:52,3,超喜欢的原声远胜过电影本身
Odding,5,2006-08-16 17:55:54,1,这个当然要力荐。
郁程,5,2013-05-17 20:20:20,1,TheRain
Song³,5,2009-04-28 11:25:11,1,钢琴曲summer
浅,NaN,2008-01-05 12:18:42,1,有些专辑，经常需要拿来听，听很久。
Aragaki,5,2008-07-15 14:57:21,0,值得膜拜
夏日扬帆,5,2010-02-16 09:02:09,1,原来经典来自这里
Summer孙夏天,4,2011-08-21 19:07:45,0,果然..
Topfun,5,2011-06-07 09:45:19,0,夏天到了，清凉一夏，原来一直没收藏
微笑女王.mp3,5,2010-06-03 17:32:55,0,最爱久爷爷
莊小壞,5,2010-09-23 20:57:31,0,4.7－－－好喜欢！电影也很好看！
Ridden,5,2008-04-18 11:32:51,0,AngelBell。
Luffyjun,5,2011-06-17 23:06:08,0,电影好看，音乐好听，一首summer让人如沐春风啊
大头绿豆,4,2006-10-13 00:52:49,2,能够听到他的奔跑，看到书包上的天使翅膀。
BlackScholes,5,2014-10-24 04:41:49,0,我和你
Karonen,5,2009-07-28 10:50:19,0,童年，美好的夏天、
不擅长,4,2010-04-28 11:40:56,0,http://www.xiami.com/album/33110
曾二郎,4,2012-05-17 08:51:22,0,封面上的阿北真是……
亞麻君,5,2010-03-24 17:09:04,0,最喜歡的一首曲子
Augenstern,4,2009-01-26 00:21:01,0,很纯净的声音哈~
胤祥,5,2009-01-21 02:45:15,0,久石让
幼银,5,2010-01-18 01:29:06,0,讓SAMA
沉歌,5,2008-01-24 14:33:58,1,《少年的黄昏》
薇羅尼卡,5,2008-03-04 15:15:27,0,原来是这段熟悉的旋律
Inevitable,5,2009-10-07 21:20:36,0,经典，无话可说。
机动美少年高興,5,2014-03-31 18:01:45,0,太治愈了！马鹿野郎！
良窗淡月,5,2007-12-05 15:22:52,0,爱
远xx,5,2007-06-22 21:35:53,0,summer
violet hill,5,2012-05-28 12:30:17,0,为啥关于夏天的电影都是治愈系的？
雪风_Shine,5,2010-07-02 01:26:38,0,菊次郎之夏，两年前毕晚视频的配乐，四年最美的青春时光浓缩于此，绝版青春的纪念，每每回味都心有戚戚。
天亮天黑,5,2010-08-04 13:46:26,0,天籁……
Elfin,5,2011-09-04 22:43:44,0,听多少遍都不会腻啊
风撼斜阳,5,2010-09-01 21:45:29,0,大赞
失控的蘑菇,5,2014-02-11 17:16:07,0,虽然想吐
杨山魈,5,2011-05-25 21:39:30,0,绝了，MB，绝了。
迪,4,2014-04-09 11:19:34,0,没的说。
バカ蓝蓝,5,2011-06-10 17:38:13,0,永恆的在聽曲
日烟火,5,2008-11-22 20:04:17,0,你有过被电影一开始的原声感动得流泪的经历吗、
chaaaaad。,5,2009-05-19 15:00:55,0,久石让爷爷。没有办法不欣赏你
Cedrick,5,2010-07-30 07:21:58,1,夏季必听专辑，晴雨两相宜
一絲不掛,4,2013-05-02 20:29:39,0,OST成就电影
kylegun,5,2010-01-22 11:59:09,0,主旋律印象很深
魚鰭,3,2008-01-11 20:19:14,0,弹叻
JasmineJasmine,5,2009-12-18 16:41:15,0,Angelbell
破产君,5,2008-12-23 16:15:26,0,Summer/TheRain
五月微蓝,5,2008-08-01 12:20:50,0,炎热的夏天听这样的音乐很舒服，绝对降温。
水果君,5,2009-08-10 16:44:38,0,summer！summer！！
郭小懒,5,2010-06-18 01:05:19,0,治愈系
左様姬.bot,5,2011-03-07 14:05:05,0,觉得最好的一张
薛定谔的毛,5,2014-01-15 22:38:23,0,T_T閉關做實驗！
独角仙,4,2006-05-18 09:50:09,0,还不错啦
混不吝福音战士,5,2009-07-27 15:27:45,0,"原来每天出早操时放的进行曲就是久石让的""Summer""啊..看来得看看这片了-_-|||"
珍妮的肖像🦄,NaN,2009-01-19 10:48:21,0,TheRain
甜m i l k 。,4,2010-06-01 12:05:32,0,小提琴的聲音真好啊：）
kokoro,5,2010-12-01 02:45:01,0,那是初中一年级的一个星期五的晚上电影频道放了这部电影而久石让的音乐配上情节让我再次对这个温暖的民族感到治愈于是星期六在去补习班的路上听着下载的OST骑着自行车眼前浮现了很多自己和菊次郎的共同点
