user_name,star,comment_time,vote,short
冰山李,1,2012-09-24 14:58:47,45,can'tbelievehecouldstillhitanewlow
遲,5,2007-07-25 20:47:34,53,永恒的奔跑依旧要面对空泛的明天。
不要焦虑浣熊妹,4,2012-08-07 11:03:49,106,就像专辑名一样，我是不会给亲近的人推荐李志的，尽管他那么棒。
virgin,4,2009-04-07 15:57:03,13,"会有的!。。20121203收不知道什么版--封底发行人写的是""崔忠鹏""--丫就是一骗子!--20200202已存硬盘!:)。。"
法海,4,2012-06-25 18:29:33,12,最多听4首再多就闹心
叶酱,5,2012-03-22 17:27:13,6,呼啸而过的青春，沉默不语的，这被禁忌的游戏。
风撼斜阳,4,2013-11-24 01:11:27,5,落魄青春里的真实声音
喷农药,3,2011-03-08 09:55:12,3,李志最有压抑感的一张.<黑色信封>，<离婚>.
一又,5,2009-11-13 12:19:12,6,雖然最喜歡李志的并不是《被禁忌的游戲》這首歌。但只有這首歌讓我有一種很可怕的感覺就是：誰都不能再去做音樂了，因為音樂已然被他玩成這樣了。.
赤潮▪夯,3,2006-12-21 23:50:12,5,他的声音还是适合苦味的歌。所以这张没有B&B好听。
杜边生,5,2008-07-26 04:34:14,2,夜里常听第7轨，日间常把歌者说成张志
光年‖影视歌三栖民工,3,2015-01-05 20:35:00,2,呵呵，欣赏不来
泥巴,NaN,2008-11-21 12:10:44,3,禁忌的声音的力度
微号Cxj1633,4,2010-01-23 13:22:30,2,我们一起回到深夜
ztlpoppy,4,2010-03-15 23:31:01,2,想看你露卵。
丝绒陨,5,2009-07-11 16:53:07,2,不过觉得没有BB好听，可能不算新鲜了。。
Song³,4,2012-02-10 14:34:31,0,第一张
轻便,1,2012-06-29 10:41:26,3,虚假，矫揉造作，假装真诚、良心最可耻
DeerColin,4,2014-11-15 21:29:23,2,不喜欢【青春】和【离婚】
zard砸得王大崩,3,2010-02-06 08:23:58,0,李志的开始。~阿兰~卡夫卡~
独音唱片,5,2011-07-27 15:42:59,3,【独音唱片】购买链接：http://item.taobao.com/item.htm?spm=0.0.0.0.qs4AC7&id=18802446420
收音鸡·耳東,5,2021-02-21 15:48:55,3,骗子崔(崔忠鹏/崔人予/崔耀天..)开的口袋唱片厂牌发的牛逼的专辑!已收一:)~~
欢乐分裂,3,2015-03-22 12:19:16,2,三星半；可见日后轨迹，发力吧。
泉の向日葵,5,2009-03-31 20:11:02,1,青春
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-11-25 21:03:40,0,功课碟2
Topfun,5,2012-04-03 00:18:52,1,禁断之恋
莊小壞,4,2010-10-07 15:44:09,0,4.3﹣﹣﹣第一張。
没逻辑先生,4,2013-09-29 14:17:56,1,不同的年龄听相同的歌，果然是有不同的感觉。午睡的时候被《欢愉》惊醒了，然后就如同这午后燥热闷热一般，不能平静。听李志始于《你好，郑州》，一段时间的疯狂热爱，一段时间的空白期。可能总会在时间的一段旅程中被感动被击中。
JoEriCa.,5,2010-09-26 21:48:07,2,大叔专用，必须五星。
不万能青年,5,2012-05-26 13:56:25,0,我是否该写一首悲伤的歌，在你睡不着的时候唱给你听。
zitsunari,3,2008-10-30 23:29:08,0,罗庄的冬天
珊珊,5,2012-04-14 22:57:36,0,一个无奈的声音
石小po,4,2012-04-11 10:11:29,0,阿兰离婚被禁忌的游戏3.7
WaTu,4,2009-09-11 09:16:43,0,忧伤的南方小民谣
心猿,4,2010-07-27 11:25:53,0,《你离开了南京，从此没有人和我说话》恁地忧伤
Ms.蔡藍三,3,2010-12-16 14:25:46,1,爲了你才去聽.
Inevitable,5,2009-11-09 19:50:15,1,南京出产的尤物
ice cream,5,2011-11-08 23:58:40,0,http://u.115.com/file/f5e3b57583
顏生,4,2014-04-03 10:32:01,3,我听李志第一首就是被禁忌的游戏，我以为他是个多情的诗人，直到我三十块看了一次他的现场
.,5,2009-02-09 11:43:56,0,梵高先生
薇羅尼卡,4,2015-04-21 10:29:24,0,阿兰
Luffyjun,4,2014-12-08 22:45:58,1,每首的伴奏都好听的不得了～再配上B哥赖死不活的声音（我就要用这个词来形容，不高兴来咬我啊），和酷酷的歌词…只想说，早些年必须是地下乐手才能存活吧～=_=
謝爾·愛睡覺,5,2007-10-14 11:06:58,1,他说这世界是不是我们的
范德一彪 Alex,4,2012-01-12 13:55:50,2,我就喜欢这些不好听的歌。《离婚》这样的歌歌不好听但歌词总让我想起余华小说，一股心酸的感觉。整张处女作专辑都是如此
Charles Rosen,5,2010-04-27 01:01:45,1,喜欢上李志
RoJay,5,2009-11-15 17:06:25,1,李志大骚逼。。。
HSJ,5,2014-07-13 16:24:49,1,无知的我，是落叶落寞又落魄呼啸而过的青春，沉默不语的你
一絲不掛,3,2009-11-29 17:40:30,0,黑色信封
听临,4,2011-10-11 18:41:58,0,BB
捌朵,4,2012-08-28 16:46:20,0,忘记按听过的一张
JasmineJasmine,4,2008-10-03 19:56:36,0,郁郁
西部獭仔,2,2011-01-28 11:11:43,1,就青春有点意思
薛定谔的毛,5,2011-07-24 21:07:39,1,黑色信封！青春！阿兰！卡夫卡！被禁忌的游戏！
光,5,2011-08-19 09:54:19,0,最近这是肿么了？迷恋李志。
绿毛水怪,5,2009-07-09 21:39:41,0,拿到咯
滚石,3,2011-01-07 11:13:51,0,被禁忌的游戏
 耳朵。,5,2007-05-04 22:39:58,1,第一张
momo,3,2008-11-03 01:31:48,0,阿兰这首不错。别的都比不了后面两张专辑我以为
光影如画,4,2010-11-23 22:47:07,1,音乐风格成熟，歌词有内涵，音乐整体卓尔不群。
午后的缪斯,4,2010-01-29 01:17:55,1,我喜欢地下的，独立的，反叛的，自由的
Reborn,5,2013-06-20 00:38:50,2,随风飘荡的我们，黑夜里寻找一点点欢愉，这被禁忌的游戏，早已忘记的岁月。
亮,NaN,2008-07-26 18:22:36,1,我喜欢卡夫卡这首歌
江海一蓑翁,4,2007-12-10 11:42:09,0,可惜网上试听的版本里少了《青春》
Irgendwann,NaN,2012-04-10 17:08:03,0,我觉得特别没劲，属于无法打分的类型。
笪笪,5,2011-01-08 20:43:41,0,经典之作。
緑沼,5,2013-11-22 00:31:40,0,绝望
Eiðsgrandi,5,2011-08-31 11:03:10,0,卡夫卡
电池,5,2007-06-18 01:07:44,1,音乐不能被禁忌
Kyri,5,2009-07-07 17:58:43,0,牛
Ziggy 🇵🇸,3,2008-07-12 14:47:51,0,@2008-07-1214:47:51
卡羚,4,2007-08-24 21:58:28,0,吉他音色的清晰回旋很有感觉~~
阿鳥阿鳥,5,2010-12-07 13:33:45,0,李志江苏常州人半吊子大学生长头发的酒吧歌手出过两张自制专辑的创作者一年一度的浪游者“红梅”烟爱好者兼职民谣吉他教员大家的熟人某个姑娘的男朋友……
七|尹苏苏,4,2009-10-14 14:22:16,0,我突然想起来了。第一次听李逼的歌是你离开了南京，从此没有人跟我说话
qweerew,5,2013-12-31 12:56:46,0,你看荒谬的我们/离开禁忌的游戏
ino,3,2009-04-19 12:03:49,0,独爱那首《你离开了南京，从此没有人和我说话》
烟,4,2009-01-13 18:15:58,0,1，3，4，8南京啊要了亲命了……
mikaholic,2,2008-12-13 01:28:16,0,好吧..三年前我很不喜歡他的(但系人家眾望所歸窩..)
润物,5,2008-09-07 21:05:28,1,听着李志低吟浅唱，仿佛随着他走过人生的点点滴滴旅程，随之产生的画面感很忧伤，令人陷入深思。
#以猩,NaN,2009-10-10 19:33:27,0,这被禁忌的游戏早已忘记了岁月
不求上进鱼摆摆,4,2016-04-17 14:48:53,0,还不错
dooling,2,2007-06-03 12:24:28,0,没听完就删掉的东西很罕见，给二星没别的意思你们知道，一星还是挺珍贵得东西我不随便给！
e_rain,5,2008-07-20 09:32:48,0,李志的第一张，粗糙而真实
Tokugawa,4,2009-09-22 10:37:37,1,那该多快乐
紫漠,NaN,2012-03-26 15:51:56,0,词第一，唱第二，曲第三。
酋长夫人刘球球,5,2009-11-15 14:58:38,0,很早之前买来的。我们每个人都有权利要和不要什么。也有权利伤害他人。
91.7,3,2012-09-12 23:16:57,0,B言B语
迦南,5,2010-10-31 12:53:52,1,听到卡夫卡的时候突然还是被震动了其实我还是很喜欢以前的他的
井行,4,2010-06-08 20:46:42,0,大叔大叔大叔大叔~~~~颓废的大叔~~~
疼酱,4,2010-05-25 14:17:59,0,越来越喜欢李志
Nodame,4,2010-06-25 09:33:11,1,他真不是装逼。
猪头小丸子,5,2015-10-31 20:10:17,0,一副大烟嗓一口大黄牙器官夹杂在歌词里脏话不断一脸吊样但我觉得逼哥你真是帅的不得了啊！
