user_name,star,comment_time,vote,short
tlmgt,4,2011-06-07 00:33:23,265,《跨时代》····哎他的声音真的不适合电音。最好的歌是《超人不会飞》感人的。也是他这个时期该写出来的歌，之前的华语乐坛就像把他当成超人拯救乐坛了一样，然后要告别自己辉煌的时代
YeleZhang,4,2011-05-18 23:24:34,255,你没变，而是我们变了
Bill,4,2010-05-02 01:30:04,92,方文山您就继续堆砌辞藻吧
邹小樱,3,2010-04-28 15:32:19,83,听这种东西就是浪费时间
亵渎电影,3,2010-05-21 20:18:26,40,还是那么周杰伦，《烟花易冷》给人烟雨纷纷的感觉，伤感的中国风。
莫呼洛迦-屁股上的青春在歌唱,3,2010-06-09 03:11:25,34,我觉得还不错，没有写的那么烂。
1806,2,2010-05-16 21:45:50,19,除了“自导自演”，其他曲目已经完全失去周杰伦的本质了。
锐利修蕊,3,2015-01-15 20:07:01,29,最喜欢《雨下一整晚》
肉卷卷又称肉卷,5,2010-05-05 14:22:25,36,《烟花易冷》着实惊艳到我了...雷人的封面就...当瞎眼了吧
KinG羽,4,2010-05-17 13:02:38,17,我从来对杰伦没偏见，这张专辑说实话一般，几遍听下来没几首能留下深刻印象，不过还是推荐了。不喜杰伦者不听就是了，骂来骂去的也没什么意思，冷静
豆友36396401,3,2012-02-24 22:09:06,12,同名曲这么神居然如此没存在感，这首歌哪里比不上他早期的神曲了？
宇文宙,3,2015-03-01 10:51:13,10,这张开始是真的flop了
zard砸得王大崩,3,2010-04-26 13:07:34,7,老周的自负无人能敌
MeetMeinaMaze,3,2010-05-22 17:31:40,11,为什么《烟花易冷》要塞段rap呢？
光年‖影视歌三栖民工,1,2010-04-26 15:44:26,10,那么多年了唱歌还是捏着鼻子哼哼的感觉。哎哟，我日啊，蛋疼。
草威,1,2010-05-05 11:18:04,11,如果吐字含糊叫个性，如果在歌词里抱怨叫超屌，如果一次比一次难听叫试图改变，如果有了点歌迷就能自比超人。那这完全是张五星专辑啊！
三层保暖,4,2010-04-26 17:27:15,5,我喜欢~
叶酱,3,2010-06-22 09:39:41,3,其实我有点难过的
半袖,3,2010-09-04 16:58:17,5,《免费教学录影带》有点意思。20100904
阿朽,3,2010-05-15 22:46:42,0,哎。。。。除了主打还是一般啊。。。
Song³,3,2010-05-31 14:06:52,3,三星半，10年后是8.0到7.0的转变。/煙花易冷/免費教學錄影帶
yunzi桑,2,2010-05-16 20:48:04,6,不好意思。。。不是我有意打击jay迷。。。这也太听不下去了。。。
Inevitable,5,2010-05-22 00:32:00,13,伦伦，我等你好久啦，我才不管别人怎么看，你是我的NO.1。
33迟来_小小岛,4,2014-01-02 17:55:24,4,烟花易冷
鸭酱,1,2010-04-26 22:36:33,4,难听界之翘楚
一枚苏热姑娘。,NaN,2010-05-29 23:52:53,7,我要是他就不唱歌儿了，娶老婆生孩子满世界跑。
半澤直叔,3,2010-09-17 18:58:41,1,越來越非主流了
L+,3,2010-05-17 10:53:42,0,内牛满面
ztlpoppy,3,2010-05-17 04:55:40,0,我听完还是觉得过去的他是过去的他现在的他是现在的他不能说难听也不好听
米粒,4,2010-06-01 10:35:08,5,我还算是买了预售版的人啊。烟花易冷不错。。歌词
远近,3,2010-05-21 22:50:53,0,你依然不是那个简单爱时的你
DeerColin,3,2013-04-13 10:49:14,4,只喜欢《烟花易冷》《自导自演》和《我落泪情绪零碎》
YoyoRan,4,2010-05-22 10:21:35,1,我喜欢《超人不会飞》，加一星～～
口袋_肥力士,4,2010-05-22 09:20:58,2,还好吧，其实他倒也不容易。
人淡如菊。无奈,3,2010-05-21 20:17:57,1,单说说烟花易冷这可怕的咬字哟还有加一串RAP真是奇怪
哀酱,NaN,2010-04-26 12:54:30,1,周杰伦的巴拉巴拉
李桃杏子,3,2010-05-28 11:54:59,0,我狂晕，，他在唱什么。。。。。。
尧耳,3,2010-11-08 09:03:12,0,好吧。好吧。忆起《叶惠美》的好来。
Marvin,3,2010-05-26 09:50:14,0,没感觉，持平吧。
捞,NaN,2010-05-15 19:09:40,0,只是周董，不是周杰伦。
一只麦麦,4,2010-05-18 19:44:33,3,杰伦回来了，终于回来了。记得当年还疯狂地带着一群哥们在教室后面的黑板上写下“无与伦比为杰沉沦”八个大字，班主任笑我们没有长大也没有计较，那些字就与一代人的青春一起在那里陈放了很久。听到那句“大家好我是周杰伦”，泪水几欲夺眶而出。世上能有几人，相隔十年之久，你恍然发现自己竟还站在原地，一直一直，等他回来。
Nuage☁,3,2010-06-25 20:38:28,0,我就喜欢一首……
Hao,2,2010-04-28 16:53:47,0,歌越来越不能听，封面越来越不能看。
