user_name,star,comment_time,vote,short
tlmgt,5,2012-04-07 03:10:18,128,这张专辑就开始表明：她的路线不会局限在民谣里了
Bill,5,2009-03-03 14:14:16,82,我的骄傲无可救药告诉我还是会寂寞
soulnleevh,5,2012-12-28 13:01:13,25,我的高尚情……操，这个条目被五月天儿歌迷血洗了
锐利修蕊,5,2014-10-19 11:51:42,25,告诉我、还是会寂寞。
L I M O,5,2007-12-12 13:44:08,9,誰不會寂寞。
夏日扬帆,5,2014-04-02 15:42:26,10,重新听告诉我的时候，就觉得真是好怀念高中时候的自己啊。虽然有什么学业压力，可是对于世界有好多空白和填补一小点空白的惊喜。晚上在床上听告诉我的记忆也很深刻，矫情地说，日子真的很干净[告诉我，还是会寂寞]
海棠一生,5,2010-08-20 16:38:08,5,真他妈地好听！！！我怎么刚听啊！！！！！果然去KTV太少是不行的！！！
⸜( ˙-˙ )⸝,5,2015-07-21 14:36:56,5,一去不复返的16岁啊
奎斯Chris,4,2007-05-24 02:51:11,0,最爱《温柔》
Hao,5,2009-02-08 10:49:13,1,告诉我。
叶子阿姨,5,2009-01-17 16:31:23,9,别对我小心翼翼，别让我看轻你。
光与盐,5,2010-07-09 21:20:57,4,怀念2000年初遇陈绮贞和五月天的那个夏天~
zard砸得王大崩,4,2007-08-13 14:31:29,1,一些你永远忘不掉的人，一些你永远能哼出的歌
神探夏洛特二世,3,2008-12-13 11:23:11,0,其实还是早些时候的歌好听
光年‖影视歌三栖民工,4,2010-03-30 17:15:23,0,这张好听
旗旗,4,2006-02-28 13:42:03,2,"""2001年聆听度最高的女声"""
33迟来_小小岛,5,2011-10-22 21:40:47,0,离开你的我不论过多久还是会寂寞
Song³,5,2009-06-27 21:56:25,1,告诉我。越洋电话。我的骄傲无可救药。还是会寂寞
DeerColin,5,2013-12-09 22:43:02,2,如此动听的陈绮贞，浪漫的小世界！
肉汤拌饭吃八碗,5,2010-11-10 22:19:46,1,蘑菇头时代是最好的时代。
捞,NaN,2010-05-31 15:30:06,0,林暐哲王治平李欣芸
MochaTong,4,2006-11-26 22:05:56,1,我喜欢这个单薄的女声
Yazawa,4,2009-01-15 14:13:06,1,唯一一张完整听的她的专辑.那个高一暑假，李轶看了音乐不断之后剪了个跟陈绮贞一样的发型.那个高二，我在学校礼堂舞台上唱告诉我，却觉得台下的观众只有最后方的那一个男生.
哈默林騎士,3,2006-04-18 12:45:38,0,还是会寂寞一种难以释怀的情结
Topfun,4,2014-01-17 22:59:47,0,陈老师好
走走走走一,5,2009-04-23 15:13:59,1,听到真是让我想要去死啊~~~~~好听好听好听好听好听好听！
小M,5,2008-04-04 19:03:07,0,这一张很偏执
小狐狸BOBO,5,2005-11-26 19:00:54,1,坚定的心绪，肯定的爱恋，想要的不过是你的微笑，别对我小心翼翼，别让我看轻了你，这不是廉价的爱情……
不万能青年,5,2011-08-24 14:44:36,1,别对我小心翼翼，别让我看轻你。
○Ⅴ○,4,2010-06-04 19:14:29,0,偏爱她的后期作品
mee,4,2006-01-04 14:30:38,0,温室的花朵，听了就是这个感觉。
豆维,NaN,2005-12-16 21:15:42,0,怀念魔岩
席德,4,2006-04-19 00:24:10,0,MD的歌里比较有个性的一首，别看歌名有点怂。。
essence.c,3,2014-10-07 23:27:58,1,【还是会寂寞】【告诉我】
Tiff,5,2010-05-12 08:57:17,0,我只是不愿意这样开口...最初的灵感，到最终的越洋电话。有时候，听着的歌，会预先看穿命运。
すなのしろ,4,2006-05-07 00:03:30,1,还是会寂寞/告诉我
Jonathan,5,2020-04-12 08:57:42,3,2000.4.12-2020.4.12二十年前的陈老师发行了这张看似简单却充满气质让人回味无穷的神专。千禧年之际的那些小情绪舒服又自然，不像20年后的今天，浮躁浮浅浮华的只剩矫揉造作。还是感叹20年前的那些日子真好。
薇羅尼卡,4,2006-01-30 23:01:27,0,好听的歌，无须赘言。青涩的她，一如青涩的我。
怀山鹿,3,2011-11-14 20:07:25,0,还是小清新。。
江湖遠人,5,2009-06-23 00:40:43,0,！！！！！！
Tatiana,NaN,2008-12-11 22:49:09,0,还是会寂寞
新竹,4,2014-08-04 03:29:21,0,2000年。那時倒真不覺得這是獨立音樂，還是蠻流於俗套的中文Pop，但可聽性不錯。
letriple,5,2006-05-09 10:14:08,0,离开你的我。无论过多久。还是会寂寞。
坏人瓦卡卡卡卡,4,2013-03-11 17:51:29,0,陈老师补齐计划
Memento Mori,4,2010-04-11 16:20:57,0,还是会，即依依依依~~~~墨
Белка,5,2008-03-27 22:50:05,0,相当不错的~~~
就叫我陳先生,5,2010-09-20 18:16:49,0,不解释，你懂得
soloye,4,2008-10-10 17:06:55,0,我很后悔这么晚才知道她，似乎到了大学以后
kokki@靠模子,5,2008-08-06 22:28:09,0,跟着我勇敢的走下去。
撒野,5,2009-04-25 13:46:51,0,想要远离反而靠近
能断金刚,4,2006-10-10 16:05:21,0,很喜欢
