user_name,star,comment_time,vote,short
不万能青年,5,2012-06-18 18:41:58,51,其实不需要蜻蜓点水，打昏自己食髓知味。
Bill,4,2007-05-20 12:59:02,12,很惊喜迟到千年迟到千年
十六。,5,2012-11-24 20:16:18,18,不说了。这是苏打绿我最喜欢的一首歌。
L I M O,5,2007-01-12 13:25:44,7,何止千年。
赖小敏-🐳🦌,NaN,2007-01-30 15:42:36,5,被他那似女孩的声音迷了
T3的小喇叭,4,2007-02-04 12:31:16,2,清汤寡水的苏打绿，我们还能不能回到过去？
小魔@优雅穿梭,4,2009-09-26 14:55:59,2,真假难辨雌雄不分的好旋律
Song³,5,2007-10-11 19:07:06,0,我听的第一张
凉,5,2009-10-26 08:52:00,1,大皮快把单曲割爱送给我~迟到万年也没关系><
锐利修蕊,5,2009-10-18 14:57:41,0,你说你放弃了八月
zard砸得王大崩,4,2006-12-14 15:38:31,0,青峰用文字和音乐记录的人生
殘 藍。,4,2006-10-01 01:04:33,1,我想把封面的大兔子抱回家。哈哈哈。
MochaTong,NaN,2006-11-08 16:22:25,0,苏打绿就是品牌。。
哈默林騎士,NaN,2006-10-01 22:54:00,0,迟到千年
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-06-03 17:36:42,0,ithinkiluvstony。
小狐狸BOBO,NaN,2006-10-24 22:04:56,0,溺死诡谲
Showing V1.4.1,5,2011-03-25 16:57:18,1,一直听不惯苏打绿，但这首歌意外地入耳啊。
薇羅尼卡,4,2006-09-24 12:01:19,1,还不错，歌词好诡异~~
○Ⅴ○,3,2010-02-18 01:26:37,0,不好听
乡愁,2,2010-04-28 18:04:22,1,只是你迟到一千年。
钟,4,2006-11-16 11:43:06,0,好听。
亞麻君,5,2009-11-13 21:54:28,0,遲到的一千年，小清晰~~
Inevitable,5,2007-03-06 10:55:13,0,好听得都不知道说什么好了
怀山鹿,3,2010-03-25 01:13:35,0,这唱腔。。在这首歌又不喜欢了~~demo封面好玩。词不错，求女声翻唱。。
安东妮,3,2006-11-19 18:05:54,0,实在就是不感冒
木木龙,5,2007-12-01 12:23:04,1,就因为迟到千年那一首歌就够了~
徐大阳,4,2010-02-04 01:01:13,0,你说你放弃了八月，
沉歌,3,2008-05-16 13:44:22,0,明显有些失望。
Белка,4,2008-09-01 21:32:27,0,还行的一首哎...
老夏天___,5,2011-12-19 12:43:21,0,这首歌迟到了
日烟火,4,2008-09-22 19:28:30,0,诶哟这张没话说了完全的。虽然歌词看不懂。囧。
三言,4,2010-02-11 13:23:39,0,那歌词真的让我纠结了……
元宵葫芦仙,5,2012-05-24 19:14:50,0,当初多惊艳！当然现在也一样啦！
小岩菽,5,2007-07-10 14:57:15,0,黄昏坠晚宴。
五月微蓝,5,2007-05-23 12:50:29,0,很喜欢这张EP，做的很漂亮，当然《迟到千年》也非常棒。
Lethe。,5,2007-10-01 20:58:46,0,迟到未必是坏事，歌词很赞。
Leoooo,4,2008-02-11 23:35:42,0,印象在发间蔓延你说你放弃了八月
夏树,5,2011-05-28 23:59:58,0,慢半拍呐。。苦逼呐。。
Theo Lee,5,2007-08-08 19:12:05,0,臺灣Indie清新民謠
給料泥棒,3,2010-07-06 23:14:03,0,哎呀都是demo啊
斯 琰 🌈 🍭,5,2011-01-23 14:02:16,1,好听歌词写得尤为好
兰 希,4,2011-08-20 09:23:14,0,最熟最爛你的臉。
XA™,3,2010-04-08 21:54:35,0,demo
姚墨芳,3,2012-02-11 14:22:56,0,我竟然下过这张专辑，我想起来了！我当时听了以后的反应就是，不明白为什么苏打绿这么火。
Bigdumbface,4,2007-07-08 17:18:45,0,歌词太好
Augenstern,5,2010-02-03 18:53:04,0,百分百青峰。
卡羚,3,2007-12-11 12:36:24,0,老大！就找个女生来唱吧！
Kite☆,5,2011-06-23 08:55:46,0,呐
小小,5,2011-10-29 11:49:37,0,只是你迟到一千年，黄昏后就不会有夜。
蕾蕾,4,2006-12-02 20:36:15,0,遲到千年
Épiméthée,5,2009-11-27 20:56:00,0,如人饮水，冷暖自知。
夏至线,5,2012-08-04 03:29:08,0,录demo都会一紧张就加速么[大家都和我一样好开心→__→]
mikaholic,4,2009-05-09 19:45:11,0,蘇打綠少數好聽之作~
Lolali,4,2007-06-07 18:40:53,0,让我学了个文言词，zhi言
知秋,4,2007-08-10 00:38:07,0,花5块钱买到的EP
春风颜色,5,2009-01-16 11:29:00,0,歌词很意识流哦
dooling,4,2007-01-03 05:37:33,0,不好不坏，耐听
商狗,5,2013-06-02 17:03:21,0,迟到千年也好过不到。
mono,5,2009-02-27 21:09:38,0,大爱。
llao,4,2006-12-19 20:46:58,0,2006
Milk,5,2009-12-03 11:54:40,0,认识了你，感觉迟到千年。
Mthen.,5,2007-05-23 21:46:10,0,爱歌词...
時分針左旋,5,2008-08-29 00:17:01,0,迟到千年地听到了这张迟到千年
马努,4,2009-05-19 20:30:22,0,一下子回到春盈花，朵朵开的场子里
