user_name,star,comment_time,vote,short
eloise暖,4,2007-04-05 20:24:08,271,当黑夜清晰过白昼当快乐悲伤了所有
塘坑一姐小渡边,4,2013-01-25 13:34:51,101,不想说话不想听谁说，就听《漩涡》。还有《我怀念的》，很感性的理性。最喜欢《咕叽咕叽》的填词。
DeerColin,5,2012-10-14 16:52:00,90,这张专辑是孙燕姿非常出色的作品，抛开恶劣的埃及事件，听《逆光》让人对未来充满希望，听《漩涡》让人联想到自己，感同身受，听《我怀念的》让人叹息曾经也疯狂爱过，听《需要你》让人卸下防备，迫切需要有个人陪，听《飘着》，好吧，这是神作，孙燕姿的演唱功力大爆发！
知识雪豹,3,2012-01-29 23:33:02,43,口水歌也有动人的，但其实最好听的是几首不红的【安宁、需要你】
锐利修蕊,5,2010-08-24 18:36:59,38,这可能是她最接近的“完美专辑”。
Karonen,4,2010-04-25 22:59:48,8,下午一个人去K歌，唱了逆光。
tlmgt,5,2011-06-07 01:00:40,21,需要你。（伍家辉&萧贺硕作品）
Bill,4,2007-03-11 12:53:29,5,逆光很孙燕姿的歌咕叽咕叽我怀念的别的歌确实比较一般而且缺少打动人心之作
香水瓶,4,2009-03-25 15:04:16,4,逆光让我无法直视但感觉到爱一直就在身旁
zard砸得王大崩,5,2007-03-17 00:10:43,13,认真制作的专辑，能听到她的坚持。市场估计也会因为那些优美的苦情歌而大卖。九年之后还是能在这张专辑里崩溃大哭。
停用豆瓣勿cue,4,2011-12-05 11:37:03,6,我承认每次听到「我怀念的」都会按Next，以前实在是被迫听太多遍了...
斯 琰 🌈 🍭,5,2012-05-20 18:04:24,15,飘着真的很惊艳！！！
Claire,5,2007-03-23 12:20:37,2,还是一样让我感动的燕姿。
丶,3,2011-12-09 12:37:03,1,我觉得你需要改变一向风格了。
人淡如菊。无奈,NaN,2009-06-18 11:59:38,1,我怀念的飘着
艾小柯,3,2008-02-06 15:43:56,1,好几首听起来都是一个调的，几乎无法分别。
伊豆,4,2008-10-23 16:59:44,5,燕姿还是燕姿，不管怎么样，她的每张专辑总会有那么一两首会让我想哭。这次是《我怀念的》。而《漩涡》《飘着》《安宁》等非主打，也非常非常的耐听，越听越好听。从天黑黑开始就一直爱的女歌手，一直都没有让我失望。每张专辑里都有能让我听哭的歌。
夏日扬帆,4,2009-07-28 16:28:59,3,高二时候买的磁带，我怀念的听了好多遍[逆光、我怀念的]
少年夏不安,3,2012-08-18 15:25:24,0,这张亮点不多啊。
長閑,5,2008-05-02 23:54:58,1,也许我一直害怕有答案。
莊小壞,5,2009-03-21 21:56:50,1,4.7－－－第十張。逆光讓我為西半球的某個小朋友哭了不知道多少次了。
火龙果不耐受者,5,2009-04-25 21:31:39,0,还行吧!
乡愁,4,2010-07-28 22:34:30,3,孙燕姿这一整张专辑，基本都是在讲分手。/我怀念的是无话不说，我怀念的是一起作梦，我怀念的是争吵以后还是想要爱你的冲动。我怀念的是无言感动，我怀念的是绝对炽热....../你的离去就像刺青，永远烙印在我的心，是如此痛而如此地美丽。/每个路口，怎么转都错。我进退不得，谁救我？
cristine,5,2007-03-23 18:47:42,0,已经找不到往昔的执著了。
○Ⅴ○,5,2011-02-01 10:50:30,1,最喜欢的一张
汤阿春,3,2012-02-28 16:46:48,0,我怀念的
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2009-04-27 19:35:25,1,觉得，飘着不错。。
Jonathan,5,2017-03-22 11:03:49,10,这张专辑在19届金曲奖上提了5项（虽然0中），那届女演唱人也是超强阵容张惠妹STAR；孙燕姿逆光；梁静茹崇拜；蔡健雅GoodbyeHello；莫文蔚拉活；蔡淳佳庆幸拥有。其实我一直觉得燕姿应该能PK下甄嬛的再见你好。
KeneL裤头,4,2007-04-08 16:56:56,0,比上一张好多了
三四,5,2008-09-21 17:02:30,0,四星半。
Memento Mori,3,2009-12-12 01:40:00,2,我现在为什么看到【逆光】两个字就职业性反感。
不擅长,4,2007-10-09 17:25:34,0,9http://www.xiami.com/album/11655
yupei,4,2008-03-15 23:23:27,1,還好，越聼越有感覺
essence.c,3,2014-07-08 17:48:26,1,【安宁】
妈妈我想吃肉,5,2007-10-24 18:55:59,1,逆着光~~希望就在前方~~
钟,5,2009-10-22 10:07:13,0,谁记得，谁忘了。
薇羅尼卡,4,2007-03-29 23:47:41,0,飘着，爱情的花样~~
朱朱朱古力♥,5,2011-04-28 23:15:26,2,我怀念的；飘着；安宁
白川,5,2007-08-09 12:00:54,0,开始并不入耳...后劲十足
汤之问棘🌈,3,2012-02-26 09:40:08,1,逆光不是小清新惯用的拍摄伎俩么？冲这名字就是死罪。差评。
Lindsey落枕,NaN,2007-06-24 00:56:29,0,如一
lotusblue,4,2008-02-11 20:32:17,1,孙燕姿用这张唱片告诉大家她绝非江郎才尽
HellwoodWen,NaN,2007-05-13 12:15:13,0,咕唧咕唧
安蓝·怪伯爵𓆝𓆟𓆜,3,2007-03-23 22:13:00,0,安宁
你是桌子我是布,3,2011-01-16 20:59:24,1,孙燕姿哪里去了？
杨山魈,3,2010-08-10 11:55:32,0,初听小清新，再听大合唱，最后西市场。
不如的我的,3,2007-05-23 14:21:32,0,还可以
LORENZO 洛伦佐,4,2010-05-03 14:41:28,0,《我怀念的》
不眠飞行,5,2009-02-26 13:53:51,0,空前的华丽多变
[已注销],5,2011-03-19 13:51:49,0,咕叽咕叽+我怀念的+漩涡
球儿先生,5,2010-04-20 08:46:29,1,最爱飘着，不解释。
复活节彩蛋,3,2007-04-26 10:16:32,0,梦游
小猪de世界,5,2009-12-08 13:29:49,1,安宁很感动我
功夫兔子,5,2009-08-20 22:16:59,0,绝对五星！不管到哪，燕姿的歌声都是最棒的！
捌朵,5,2008-05-17 10:53:40,0,我逆着光却看不见
zhangxunnj,4,2009-08-18 05:20:18,1,我怀念的
某水,5,2013-05-28 12:31:34,1,跑步听逆光简直就是正能量booster
小澈,5,2008-11-26 21:49:24,0,大爱
Vince♫,4,2009-09-18 16:20:51,0,咕叽咕叽
玉木大河,4,2009-11-04 11:50:19,0,感觉是N久前出的了...
丹,3,2007-04-03 14:26:11,0,没有感觉怎么好。这么现实的商业产品。突破。鲜有为之。
米粒,5,2009-12-09 19:31:23,1,我怀念的是无话不说
私享史,4,2007-03-29 20:14:31,1,这个封套感觉好多了，台湾版的封套怎么让我想起了东方不败……不变的坚持，坚持着不变。不过我不喜欢这样……
A-sun*,NaN,2007-10-25 06:10:37,0,燕姿
≌菩提风花,4,2007-03-31 18:04:27,0,水平终于回来了啊~
Maylene,4,2010-11-18 21:20:25,1,她只要是她就好了
寒凌旭,5,2011-12-31 13:48:23,1,逆光的勇气和感动
kingfish,4,2007-05-09 17:18:56,0,关于梦游咕叽咕叽
Layla,4,2007-03-19 09:32:53,0,喜欢《飘着》
麦心,4,2012-01-25 23:00:27,0,我怀念的······
血源2出了吗？,NaN,2009-08-30 07:32:26,0,高中啊高中
Nosferatu,NaN,2009-11-28 16:56:37,0,完了，听燕姿没有感觉了！恐怖啊！
导演罗娜娜,3,2010-05-09 13:03:51,0,高中时代的事了
杨小歪,3,2008-07-03 19:34:20,0,逆光感
林,4,2011-12-16 22:58:44,0,我怀念我拥有过的
菲以,4,2009-11-30 02:15:48,0,我觉得我是在KTV里听完整张专辑的……好啦，后来还是有下。推荐：梦游，咕叽咕叽，我怀念的，爱情的花样，漩涡。
Rosanne,5,2013-02-14 22:25:44,0,我觉得是她最好的一张专辑
hotdogyer,4,2007-03-25 00:19:26,0,简略成～我要听～我要听～
吃饱了撑着做俯卧撑,5,2009-01-08 21:36:25,0,逆肛！
camelye,4,2007-03-18 22:43:15,0,仅仅因为，她是燕姿
麦小麦,4,2008-04-27 17:41:50,0,真好听啊
Amik的女朋友,5,2008-03-22 15:12:01,0,没有《完美》的失望，听了很久的一张专辑
llxx8023,4,2007-09-05 20:40:56,0,zan
六月天蝎,3,2007-05-11 09:48:02,0,有点失望
icebee,5,2013-03-25 19:03:04,0,我懷念的
尘埃野马,NaN,2008-12-10 12:29:10,1,逆光？是青春的反叛，还是时光的幻想？孙燕姿的歌，在快乐与悲凉中让我们感受到一种深邃、理性的沉思……
小饼爱打咻咻拳,4,2010-04-17 23:59:02,0,我怀念的这首我从初中听到高中再听到一个人在广州
GrayF,NaN,2008-05-17 02:23:39,0,回归的专集。
penumbear,4,2011-01-10 12:53:33,0,到现在都还记得当时不断循环《咕叽咕叽》的情形，对她那段自创的英文rap爱不释手
少女废柴,5,2008-10-27 23:08:34,0,老婆。
无法太多,4,2009-01-15 09:59:04,1,我太喜欢逆光了。以至于一直希望孙燕姿再做这样一张充满炫目光晕的专辑。
Milk,4,2009-11-27 03:22:35,0,没有买的一张燕姿的专辑。
Mthen.,5,2007-06-08 06:07:00,0,比较舒服.现在还是喜欢燕子.
鱼婆婆,4,2009-06-23 23:27:01,0,喜欢我怀念的
五月之星,4,2008-05-10 09:57:24,0,按理，孙燕姿每张专辑我应该都力荐的，但是不知道为什么，以前喜欢的歌手，专辑我越来越不喜欢。
Empty,4,2007-03-25 12:01:12,0,加盟新东家后的首张专辑没有叫人失望
每天一粒茶叶蛋,5,2011-04-04 23:59:16,0,逆光TT
马努,3,2009-05-19 20:29:08,0,很有力量的女家伙
良宋,NaN,2012-09-24 00:08:45,0,高中你的最爱。
Felix,4,2009-10-30 11:49:23,0,孙燕姿逆光
