user_name,star,comment_time,vote,short
停用豆瓣勿cue,4,2012-03-12 12:14:04,96,当年音像店卖26你还嫌贵，现在好了吧
叶子阿姨,5,2008-10-22 15:33:22,30,只是一面之缘，让人心怀念，是怎样的人我都不了解。
锐利修蕊,4,2009-10-22 22:36:42,14,城市稻草人
夏日扬帆,4,2015-05-10 20:49:08,10,其实对于内地文艺的每一个音乐人都有点遗憾，我要是早点认真听他们应该会不一样吧
李风,4,2012-02-18 21:12:30,3,小惊艳
西柚小姐,NaN,2008-08-31 22:03:24,2,我实在不喜欢曹方
Dyingpluto,5,2006-06-20 10:44:35,2,简单清新，适合青春期
KinG羽,4,2009-06-02 20:20:45,3,遇见我实在太好听了~
shu,5,2007-12-21 23:38:22,1,我太晚遇见你
Song³,4,2007-09-26 18:54:29,1,城市稻草人、遇见我
Claire,4,2006-06-19 17:12:24,3,周末买了她这张唱片。爱不释手。
泪小鱼|念。,4,2007-08-11 22:05:25,0,还不错。但帽子未免太大。喜欢的人多了，就有点倦。我这人是不是越来越乖戾。
L I M O,5,2007-01-12 15:34:49,0,遇見妳。
朱尔摩斯,4,2006-11-18 23:26:05,2,外界说是中国的陈绮贞，还行吧
瓜。相信这个世界很变态。,4,2008-08-09 22:49:37,0,风吹过下雨天；落单·续；在夏天，每首加1颗星。
兎 熊 菫✨,5,2009-10-30 00:23:10,2,在病房度过的高考前夕　是你和彩虹一起治愈我
小狐狸BOBO,NaN,2005-12-22 16:00:39,2,ICY的新作，淑女的直接宣泄，游走的风格。
zard砸得王大崩,4,2006-12-15 01:02:39,1,icy就是个快乐的女生，连悲伤都那么轻快。很喜欢。还送了一张给陈绮贞XDD~风吹过了下雨天~Icy是淑女
virgin,4,2010-02-10 06:08:26,0,我有！。。
tripler,3,2006-12-03 20:46:37,0,听到的第一首歌是小病人。
MochaTong,4,2006-11-12 21:14:31,0,遇见我+黑色香水=LOMO
十六。,2,2012-04-28 23:16:05,0,曹老师。为什么你会去唱歌啊？
kik,4,2006-09-21 17:42:35,0,封面很似妹妹背着洋娃娃啊。
死咗,3,2009-11-09 20:14:38,0,不知道爲什麽，聽的時候就沒感覺了。再聽聽看。
