user_name,star,comment_time,vote,short
礼士路西岛秀俊,3,2009-09-18 03:36:48,66,平生最讨厌的就是一出再出的精选
PabloHoney,4,2009-07-15 17:15:56,17,好吧，我没买碟，这个选曲大部分都是。。。骗钱啊
门柱,NaN,2009-08-10 09:56:42,12,盖棺论定——10分！
塘坑一姐小渡边,2,2014-01-18 23:41:13,11,内地的别买了，毛病太多。1，内地版写明了有DVD字样，但里面只有3CD。2，选的歌曲少了好多经典也少了个性，有电子dj混音版，不是原版。3，卖价高，近70元，最近还在上涨。在香港看到了CD+DVD的版本，应该不会有假。反正也不是很喜欢这张选的曲子，好多mix收进来的。。。
影志,5,2009-07-10 15:54:45,9,任何时间感触如初
tlmgt,5,2012-07-13 21:39:31,6,百年孤寂。前几天跑书店顺便去逛了一下CD架，上面摆的最多的就这个····然后我翻遍了都没有发现有卖《寓言》和《天空》。精选也很多张，但是收录了寓言五部曲的精选没有。《浮躁》倒是有。
阿落,4,2011-11-12 15:54:00,1,faye
光年‖影视歌三栖民工,4,2011-07-06 17:01:14,2,好听，但远不到5星的程度。喜欢冷战。
Kreuzberg,4,2010-05-14 22:24:59,1,选歌都不怎么样。都怪我一时冲动在书店听到了就买了下来...
Μουσαι,4,2011-09-09 00:54:31,1,容易受伤的女人|我愿意(弦乐版)|红豆|棋子|流年|容易受伤的女人(国语版)|迷魂记
zard砸得王大崩,4,2009-06-23 22:19:08,1,走过一段长长的路，听一些淡淡的歌。dvd也不错啊
陆秋槎,5,2009-07-20 22:37:30,0,其实以前就都听过……
L+,1,2009-06-23 23:25:54,0,A钱
Ding,5,2010-12-22 11:33:39,0,以前从没听过《有缘的话》，可是只听旋律不懂歌词就已经感动到哭了
33迟来_小小岛,5,2011-09-27 19:55:03,0,无数张精选
香水瓶,5,2009-10-06 15:34:11,0,附赠DVD里的演出我大都没看过看时像穿越了时空
苏格,5,2009-06-24 12:41:38,0,老歌大放送
YoyoRan,5,2010-09-06 12:04:30,0,怎么想的出这个……
usquebaugh,4,2009-06-29 15:08:07,0,这辈子还能不能再听到新歌。
[已注销],4,2009-06-24 16:44:49,0,4.5
易召,4,2010-10-28 21:25:03,0,阿灰正传。即便一看封面和歌单就知道是冷饭热炒的敛财砖，可还是听得很投入并且边听边在内心止不住发问灰灰你到底啥时复出啊？我说的复出是再发新碟重返歌坛而不是办几站玩票似的巡演啊啊。
banana*🌈,5,2011-08-22 00:55:20,0,《冷战》《《我爱雀斑》
洛野,5,2009-07-04 17:55:36,0,即使只是一张唱片公司的炒冷饭之作，但就凭封面上的faye字样
Topfun,5,2013-01-19 22:42:58,0,天后Faye
神威太太,5,2009-06-29 11:24:16,0,說實話這套製作的有點糙，爲了DVD還是要買一下滴~PS：我愛雀斑是翻唱校長的吧……
雷貝卡,3,2009-06-24 19:28:49,0,说实话，我讨厌炒冷饭的精选。加上论坛那些脑残动不动就粗口奉上的所谓“菲迷”们，我对它一点儿兴趣都没了。
眠去,5,2009-06-26 15:08:53,0,好多精选了，真不必再出了
Luffyjun,5,2014-09-24 16:39:36,0,女神就是有范儿啊~~不管别人说什么，我只是来听歌的~无疑这张专辑的经典，但是还有一些喜欢的没有收录进来，所以说，你是让人多么喜爱啊
孤独心俱乐部,5,2010-02-12 10:10:10,0,她进入听觉的过程，是一个后知后觉，纠结无比，反复拉锯的过程
Kiki,3,2009-06-25 01:53:58,0,炒冷饭。
夏日良人°,5,2009-07-10 11:19:18,0,新发的唱片，给了我一个重新温习王菲的理由。
小偷|隐忍沉定,3,2009-08-25 22:42:26,0,太老
Yome,5,2009-06-26 12:44:44,0,awonderfulretrospection！
走走走走一,5,2009-07-15 11:38:01,0,其实也不知道为什么王菲不是我的女王也不是我的女神我对她始终无感。我姐姐喜欢她的时候我不喜欢，我喜欢的偶像们喜欢她的时候我还是不喜欢，但是又不得不承认，她的有些歌，是极迷人的。或者说，她的有些态度，是极迷人的。就是那种，说，我会唱歌，我知道的态度。是天生要作天后的。
··不联络··,5,2011-08-30 17:46:42,0,这封面谁画的啊？
牙3牙,NaN,2009-08-05 11:10:07,0,在电驴拖下来了OAO
安蓝·怪伯爵𓆝𓆟𓆜,4,2009-07-01 11:23:42,0,跟大丫头在海淀公园大草坪上基本扫了一遍，回忆起好多很久以前的歌。
Fantasy,5,2010-08-06 11:15:00,0,阿菲我爱你
haidb,4,2009-06-24 18:00:38,0,虽然是炒冷饭，不过确实经典
逅宝,5,2009-06-26 21:33:51,0,faye
