user_name,star,comment_time,vote,short
小狐狸BOBO,5,2005-11-26 19:05:03,36,陈老师说精选集总是正确地误导着我们，她不喜欢，却也不反叛，她清醒却不决绝，有些妥协，却终于得以亲见！五月天的玛莎说，绮贞的歌是甜美温柔而残暴的，喜欢绮贞，是一种清冷而自醒的触觉，喜欢，也可以是件很私人的事。原来还有另外的版本，但都是绮贞。
神探夏洛特二世,5,2009-02-03 17:43:03,9,让人有赚到了的感觉的专辑
叶子阿姨,5,2008-10-22 15:34:38,18,我想今夜就这样吧，就算孤独也无所谓。
tlmgt,5,2011-06-06 16:40:36,6,05年精选选曲比滚石黄金十年那张好
sys1010,5,2009-02-09 20:19:26,6,都说了是精选了啊~！
zard砸得王大崩,4,2006-12-14 15:40:42,7,时光荏苒，你只微笑
Bill,5,2009-01-26 00:58:21,3,挑出来一些挺不错的歌其实一直觉得她之前的专辑没太多起承转合的可以安排所以打散了听也无所谓啦每首歌都还是挺有质量保证的
香水瓶,4,2006-04-30 12:52:28,2,喜欢她纯净的声音。
Mignon松弛地,4,2006-12-24 17:50:32,4,她已经普及得不像独立民谣了，但这不等于流行
MochaTong,4,2006-11-12 21:15:21,1,好听。就是好听。突然想到你说。年度最佳唱作女歌手。
齊克斯尼力佐飛,5,2011-10-22 21:13:12,1,虾送的，满分啦
徐达多,5,2009-07-09 00:00:51,0,在这场华丽的冒险历程间，还是会寂寞吧，yuri
落羽杉,4,2006-09-03 16:45:43,1,能买到的第一张她的碟
寂多蔓生,4,2011-10-13 23:03:48,1,还是会寂寞太聪明小步舞曲
鸭酱,5,2010-08-14 18:19:02,0,是蒸的好听==
virgin,4,2009-12-01 16:23:27,0,我有！。。
十六。,4,2012-04-27 22:30:54,1,真没那么好。
大奇特(Grinch),3,2010-09-28 12:13:31,3,据说陈老师的好歌都在这张精选里了，事实证明，陈老师果然不是我的菜
薇羅尼卡,5,2009-01-27 17:45:16,1,好听的歌，美好的女生很早就听说了她的名字，但是一直没有听到她的歌声。直到有天看到这张专辑，一下子打动了我，直击心灵。这是那种会上瘾的音乐哦！在看似不经意的浅吟低唱间，就已将你的心灵俘获。精选集，首首好听。
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,NaN,2012-02-16 21:42:59,0,我真是太不清新了
91.7,NaN,2009-12-07 08:37:27,0,不可否認早期作品讓我感動很久
Luffyjun,4,2012-06-23 22:25:06,0,就是全世界与我为敌，只要你对我好，我都不会变的。。。。可是亲爱的你，你在哪里呢。。。。
乐化天,NaN,2008-02-10 23:01:17,0,声音，杀了我吧，真的不觉得好。我发自内心地说，买后悔了。尽管陈老师在我年幼时就出名了。
CD,5,2005-07-28 23:42:01,0,含蓄的华丽。
豆维,4,2009-08-24 03:09:30,0,从滚石那儿拿到的台版，不过精选集还是成功的误导了我们要去的方向，怎么听都是一条迷路的捷径
Karonen,5,2011-06-12 00:45:04,0,刚刚播到这张...真是集合了所有我喜欢的她的歌了。
不擅长,4,2007-10-08 22:50:21,0,http://www.xiami.com/album/32425
Tiff,5,2010-05-12 08:50:25,0,珍贵
小晨,4,2007-07-17 15:47:55,0,其实并不喜欢精选的形式破坏了专辑的整体性而且我更想买台湾版的啊!
Ir,5,2008-12-25 12:14:34,0,错误的地图
子曰,4,2012-05-12 22:02:27,0,真惊讶自己没给五星。
Pumpkinhead,5,2010-08-02 23:59:52,0,清凉
牙3牙,5,2007-10-04 00:12:10,0,或许，我们都太聪明了。。。
明法™抗议豆瓣删组,NaN,2006-05-25 12:25:24,0,有多少人在暗暗地喜欢陈绮贞？
顶楼^秋天的海,5,2012-04-19 12:06:29,0,只属于青春期的歌。
神山樹,5,2011-10-13 01:05:46,0,17岁的我回不去了
Белка,5,2009-01-08 23:25:48,0,没什么话好说的><温习一遍也许是错觉...可是居然么感觉
逅宝,5,2007-08-30 13:17:06,0,了解cheer的窗口
Paul,5,2008-12-05 23:57:56,0,就这样
soloye,4,2009-02-09 13:32:04,0,这样就够了
不如的我的,5,2008-03-19 14:24:21,0,怎么我到现在才发现这么棒的歌手
千寻｜Scorpio,4,2013-03-24 09:53:01,0,收录了部分喜欢的。内地版是星外星代理的。二手收。
A R I A。,5,2011-09-07 09:45:06,0,Cｈｅｅｒ，让我和你搞GAY吧！！！！！
Jezz,4,2007-01-14 01:37:24,0,我和陈老师一样不喜欢精选集，但这张还是赞的
momo,5,2009-04-26 20:40:38,0,我的第一张陈绮贞
宇宙宝贝,5,2008-12-22 11:49:03,0,精选集是一个总结一份答卷一个姿态。
JasmineJasmine,4,2008-08-04 22:30:19,0,音乐的笔记
防霾专用三层悠,NaN,2006-02-17 21:56:49,0,喜欢就是喜欢！
五月微蓝,5,2009-03-25 23:58:31,0,Cheer的歌怎么听都喜欢...
ishine,5,2007-10-30 11:38:07,0,绮贞的心情记录...
Lethe。,4,2008-01-05 01:22:22,0,我唱过这里面的很多首给你听。
程萬萬金,5,2007-11-11 01:41:07,0,她的声音像一把柔软的刀子，无声无息划过你。等你回神的时候，已经伤到最深处。
痕。,NaN,2007-06-23 17:23:35,0,05年夏天，在你的博听见她的声音.后来才知，她的声音早就放在硬盘里，只是自己，故意忘记了.
你是桌子我是布,5,2010-02-10 01:03:57,0,isawsparks
一又,5,2009-07-28 17:07:15,0,我想坐在，忠孝东路.
A-sun*,NaN,2007-10-28 00:28:55,0,Cheer精选
蜜尔,NaN,2008-01-02 04:26:56,0,..
BtKnowhere,5,2009-09-04 09:21:11,0,经典
momo,4,2006-07-15 14:47:23,0,耐心听，会有澄澈心灵的感觉．推荐＜九份的咖啡店＞和＜吉他手＞，当然其它也很好．不同的经历与不同的心情，在她甜甜淡淡的吟唱中，轻轻的找回自己，不经意的被她揭开假装，柔而深的捅你一刀．
然,5,2006-02-09 18:51:47,0,好听
🌟亚树🌟,5,2006-03-15 17:44:16,0,买的CD
給料泥棒,4,2010-02-11 14:52:38,0,回忆谁不会有，她每夜温柔的压痛我。
kingfish,5,2006-03-23 10:38:41,0,至爱的经典.永远至爱.
baichi0038,5,2008-05-29 13:10:45,0,诶~~很精彩~
Illusion·L,3,2014-02-14 17:22:00,1,一直喜欢不起来陈老师。
冥王星,5,2006-12-28 01:38:57,0,永远也听不厌
苦逼少年马当娜,5,2009-08-06 21:27:35,0,嫉妒会不会
chaton,NaN,2009-12-20 12:26:44,0,一直放在车里的CD。
家常辣酱,5,2009-03-08 20:39:14,0,不错
少年桑将,4,2008-02-15 18:34:44,0,又是我收藏的一张
大佑,4,2009-01-02 01:12:38,0,4.0還未注目的小清新
豆腐脑敢死队,4,2009-03-24 19:07:42,0,会不会
Nosferatu,NaN,2009-11-26 11:27:38,0,哈哈，最近在听了
#天籁💤#⛓️,5,2013-05-11 12:09:02,0,bdaypresentgivenby豌豆
抽屉的烦恼,5,2008-07-19 19:54:15,0,陈绮贞是我心中的女皇
Kyri,4,2009-02-13 20:39:18,0,精选
小能,5,2006-06-08 05:07:09,0,1
【 F 】,5,2009-11-01 02:11:52,0,干净。
煮蓝,5,2007-06-28 10:56:30,0,就算全世界与我为敌，我还是要爱妳。
March,4,2007-09-06 15:59:29,0,喜欢《慢歌》的调调和歌词
遲,3,2007-07-25 19:46:52,0,也太小女生了
Gavin|江湖骗子,5,2009-10-05 00:05:01,0,如果不是说[在听]的状态不能写附注我想让它一直停留在[在听]的状态
camelye,5,2006-10-18 23:36:42,0,看看，2006.12.01，13：25>...和其他240人在听>2101人听过>197人想听
摩诘,5,2009-05-01 04:22:41,0,陈老师的这张精选很赞啊
尘埃野马,3,2012-08-09 20:50:56,1,慢慢吞吞的一个调调儿，始终不变啊
mono,5,2009-03-25 21:10:21,0,精选。第一张有的老师的唱片。
Mthen.,5,2007-11-06 16:52:29,0,正版.18.
五月之星,5,2008-09-05 20:23:52,0,陈老师最好听的歌：小步舞曲
破晓星⭐,5,2009-05-30 13:50:21,0,小步舞曲
每天一粒茶叶蛋,5,2011-05-29 13:28:22,0,还是会寂寞告诉我
aprilapple,4,2011-06-01 22:53:49,0,其实我觉得精选没原创专辑好，听不见心事脉络。
夏一慕,5,2011-07-26 13:58:17,0,小步舞曲。雨天的尾巴。孩子。最近借给朋友在听。
Chimney,NaN,2009-09-04 11:58:16,0,2005/陈绮贞
俞晓之,4,2007-09-14 18:45:01,0,常在雨夜中听品茶读书
psy,5,2008-08-22 15:19:04,0,被这张打动了然后～
阮免了,5,2006-11-23 15:16:49,0,那么多年了我还是喜欢躺在你的衣柜里GUITA，当时很喜欢小步舞曲。
我係我一蚊網,5,2011-10-15 11:15:03,0,还是会寂寞、告诉我、会不会、小步舞曲高中时代最后一年教室里、操场上许多许多的记忆都与这些歌有关.......
鲨鱼曾给海唱歌,4,2007-02-11 13:33:26,0,因为喜欢keren，听说她的名字。。
Shining,4,2007-12-08 23:39:45,0,重新翻出来听的声音...
四明,5,2006-05-09 20:13:31,0,很不错，小资哦
