user_name,star,comment_time,vote,short
丶,4,2011-12-20 22:46:54,29,属于很动听，没有如果很上口，别再为他流泪很感人。
锐利修蕊,5,2011-04-30 13:16:45,36,梁静茹近几年最好的一张专辑。
Bill,4,2009-01-29 23:52:41,12,开始要考虑换风格了CD搭卖EP倒是很诡异的一件事情封面不着调选歌很不好唱功也未见长感情似乎也有点分心
叶子阿姨,4,2009-03-04 20:28:44,16,还好有这一首情歌，我终于敢对全世界说我爱你了。
阿朽,3,2009-01-16 20:33:35,4,纯粹因为专辑名才听，梁小姐的声线依然让我毛骨悚然，相信音乐可以去死了。
StevenTong,4,2009-01-22 13:34:40,5,平均起來比《崇拜》要好。我很喜歡第一首和第十一首。
停用豆瓣勿cue,4,2011-11-13 18:49:02,2,「别再为他流泪」「天灯」「风笛手」
瓜。相信这个世界很变态。,3,2009-01-19 16:55:47,2,《没有如果》很像SHE的歌……
Song³,3,2009-02-16 22:29:32,2,《没有如果》编曲不错
苏格,4,2009-01-16 12:37:46,4,小女人就小女人的小甜蜜吧，咱就矫情，你嫉妒了？
今天小熊不吃糖,5,2009-02-26 16:39:42,1,单身后就听不下这种歌了……
ztlpoppy,3,2009-05-19 17:25:30,1,我听得晚了
夏日扬帆,4,2009-07-04 09:23:14,1,不是很有存在感的一张。属于很不错
白色的蓝,4,2009-01-19 07:55:09,0,有点感动
DeerColin,5,2012-10-26 12:37:46,4,只有梁静茹这样的女人能把每一首情歌唱出天长地久，唱出地老天荒！！！
郁程,5,2009-01-17 15:30:48,2,没听.直接给5星~~~啊啊啊啊
愛永,5,2009-04-16 20:24:49,0,不再為不值得的人揮霍情感，浪費眼淚，把珍惜留給自己。
北纬30°,4,2009-03-17 22:45:45,6,只爱一首：天灯
tlmgt,5,2011-05-19 13:53:37,1,刘沁阿姨词曲编的《找个人》
门柱,NaN,2009-03-12 14:43:51,0,无聊透顶
半袖,4,2009-03-16 21:50:31,0,舒服。
長閑,4,2009-02-19 15:23:39,2,时光是琥珀，泪一滴滴被反锁。KTV又有歌可以唱了。
zard砸得王大崩,4,2009-01-22 13:06:40,0,对梁静茹历来没有什么要求，只希望她多唱些好听的情歌3+
