user_name,star,comment_time,vote,short
郁程,5,2010-09-11 12:59:42,198,豆瓣电台给我放了逃亡，神曲中的天王牌战斗机。
Bill,4,2008-05-24 20:58:58,56,『风筝』一曲中表现出了孙燕姿前所未见的叹人爆发力专辑完整程度虽有所提高但由多位一线制作人共同打造毕竟有利有弊部分歌曲与专辑主调有所脱节算是白璧微瑕
范困,4,2009-05-02 12:12:13,50,一到春天便开始想念这首《风筝》。
zard砸得王大崩,5,2006-12-14 15:53:44,28,非常好听的一张专辑。任何一面的她都让我热爱
斯 琰 🌈 🍭,5,2013-04-24 12:28:07,27,当年作为一个资历浅的女歌手，交出这样一张符合自身气质、声音特点、与年龄相符的大碟，并且水准如此高，让人不得不承认她的确代表了一个时代。记得之前有人说她是个被高估的歌手，本应是陈绮贞之类的小清新，意外商业化后取得空前的成功。且不论这番话的正误，但身上兼具流行与独立气质的歌者我最爱~
夏日扬帆,4,2014-04-02 15:48:43,15,返过来再听听风筝，我觉得相比于克卜勒，并不是说孙以前的专辑里没有慢歌，而是整体不给人一种“闷”的感觉，那时候处理歌曲更加自如一些
不宁,5,2008-10-04 00:19:50,8,我想你不是真的爱我。
小魔@优雅穿梭,NaN,2011-03-22 21:40:36,2,我能打负分么，初一往后我就特别讨厌孙
kingfish,5,2006-03-23 10:53:58,5,风筝唱得感人呢.
塘坑一姐小渡边,5,2013-01-25 13:19:56,8,我最爱的就是《真的》。孙燕姿的风格进一步确定，《逃亡》、《随堂测验》的态度就是很理智，很乐观，很真实很亲切。一直不喜欢别人说她是神。《不是真的爱我》照例有一些都市男女的题材，歌词绵里藏针，《任性》也好喜欢
LORENZO 洛伦佐,5,2010-05-03 14:42:09,9,听的第一张孙燕姿的专辑每首都很爱很爱很爱
L I M O,5,2007-06-25 10:46:04,3,是我太任性。
丶,4,2011-12-09 12:35:57,4,这是我听得第一张燕姿专辑，也是对我而言的成名专辑。
MeetMeinaMaze,5,2012-04-13 12:00:32,2,从未仔细听过孙燕姿。
令糊葱,4,2008-10-18 22:37:45,2,依旧卡带时代。
乡愁,5,2010-08-12 23:05:43,7,从前的我们哪儿去了？路太远，我忘了。/用月光取暖，给自己力量，才发现关于梦的答案，一直在自己手上。只有自己能让自己发光。
eloise暖,4,2008-07-18 15:57:23,9,我看着山下千万的窗感动失望就算会彷徨也还要去闯
with,5,2008-07-24 21:29:24,3,惊艳
DeerColin,5,2012-10-14 16:23:43,5,《风筝》这首歌好戳泪点'这个词写得真是割心！「绿光」应该算得上她的代表作'当年那个火。「随堂测验」「我是我」都蛮High的。「真的」是真的简约动听。这张专辑的抒情歌词都挺好'值得留意~
锐利修蕊,4,2018-11-06 18:28:00,7,删掉最后两首歌就是满分：只要此时此刻紧紧握着因为会心疼所以爱是真的
thundercat,5,2008-08-04 20:38:25,2,路太远我忘了
Summer孙夏天,NaN,2011-01-26 10:47:33,2,风筝
Topfun,4,2013-12-20 13:56:44,2,那些年我們喜歡的女孩
伊豆,5,2009-01-04 21:52:38,2,燕姿的每一张专辑都会有我的一段回忆。风筝算是最。。。无厘头的一个吧，呵呵
球儿先生,5,2010-08-30 08:22:13,6,除了最后一曲我是我，几乎没有瑕疵。
莊小壞,3,2009-03-21 21:53:19,0,3.5－－－第三張，最沒有感覺的一張。
≌菩提风花,5,2007-04-02 14:46:43,2,YANZI经典
○Ⅴ○,4,2011-02-15 12:51:29,3,我也知道天空多美妙请你替我瞧一瞧>风筝五星
呓语流年～小文,5,2011-11-06 00:20:10,4,买这张专辑的时候，她还是我No.1喜欢的歌手。那首《风筝》当年那么冷僻，却当初很是喜欢。若干年以后，回看这张专辑，挑出了《任性》，《逃亡》和《爱情字典》这三首成为了我的挚爱。
KeneL裤头,4,2006-09-21 05:02:26,3,其实我没有听过这张唱片，只是里面每首歌都听过罢了
三四,5,2008-02-14 15:05:44,1,干净
葡萄啊,3,2009-11-11 15:47:24,2,风筝||绿光
不擅长,5,2007-10-09 17:31:04,0,3http://www.xiami.com/album/11677
essence.c,4,2012-08-13 20:14:00,2,【风筝】【不是真的爱我】
钟,3,2006-11-25 13:40:40,1,也还是不错的。
流空破刃,4,2011-02-01 14:12:41,3,依然还是李偲菘和李伟菘的手笔，在那个阶段，这两位老师，还是对她而言最好的专辑操盘手。
薇羅尼卡,4,2006-01-27 21:00:21,2,第三张，还是很好听。
魔角之声,5,2010-01-18 14:33:45,2,你我手中的那根风筝线，会断么？
安东妮,4,2006-04-18 20:13:43,0,好听
ANNXXNA,4,2010-10-28 14:40:04,1,天上的风筝哪去了
tata,5,2009-12-31 16:58:04,3,孙燕姿前三张专辑真是可以张张五星，经得住时间的考验。
妈妈我想吃肉,4,2007-10-24 19:00:17,0,风筝~~
Vicky,4,2007-05-12 16:07:11,4,《风筝》是真的很好听。
沉歌,5,2008-03-23 16:30:38,1,燕姿
坏人瓦卡卡卡卡,4,2013-03-12 22:28:27,1,卡带年代
日烟火,5,2009-11-04 16:54:51,4,怀旧癖。这张碟在我的独特意义是，我爱它的A面多过B面，但我一直记得B面有一首爱情字典是我需要不断倒带来听的。是，那是我的卡带时代。我一直记得第一次听她的时候，那种潮湿的孤独的但是温暖的心境。
失控的蘑菇,5,2011-03-10 22:46:50,2,小学从同学家翻录的磁带
杨山魈,2,2010-08-10 17:01:49,0,已经相当一般了...
不如的我的,3,2006-08-10 15:10:15,0,比较平淡
[已注销],5,2011-03-19 13:44:32,2,真的+逃亡
普通美,NaN,2014-02-12 23:23:18,1,随堂测验！
小澈,5,2009-07-08 16:58:34,2,大爱
Vince♫,4,2008-06-19 00:46:28,2,现在可以算经典了
笪笪,4,2014-06-05 21:28:34,4,应该是我听的孙燕姿第一张专辑，当时觉得很惊艳，现在可能是听多了，觉得这张一般般。。
家常辣酱,5,2009-03-08 20:51:28,3,高考前狂听逃亡
Yutong,5,2012-01-17 01:43:03,1,我不要將你多綁住一秒。愛你的彼時與此時。
然,5,2009-01-06 16:37:41,1,天上的风筝哪儿去了
mikaholic,4,2009-06-17 14:54:32,2,穿越云霄...
逆光,NaN,2010-03-04 11:50:47,3,小学五年级的卡带。这一张现在想起来还是觉得很好，十首有六首喜欢
悟怡,4,2007-03-30 17:21:42,0,真的
tlmgt,4,2011-06-07 01:00:04,0,重听，不是很喜欢这张的后半张。
寒凌旭,5,2008-03-16 23:47:57,0,逃亡！
郭七七,5,2010-04-13 20:27:07,0,绿光~~~~
[已注销],4,2009-11-02 18:59:54,0,当年用音带听的..
菲以,5,2011-12-16 21:21:34,1,不亏是王牌砖，每一首都很耐听。
鹤鹤崽,3,2009-11-17 10:29:53,1,姐姐的碟
yes,5,2012-09-07 08:42:40,1,记忆
NickyROி,NaN,2006-05-13 22:51:22,1,深情
林佳 树,NaN,2010-06-01 20:16:57,0,这张绝对不是原版的...不解释..
yu,NaN,2010-12-06 23:15:26,1,初一时，很喜欢的风筝。我记得刘媛，那位多年见的第一次住校时的舍友也很喜欢燕姿。
六月天蝎,4,2007-05-11 09:52:11,2,奠定她音乐地位的唱片，很喜欢逃亡这歌
zhangxunnj,5,2015-02-04 10:31:28,1,逃亡天上的风筝哪儿去了
某S,5,2017-05-10 09:36:55,1,什么鬼居然忘记标
士多啤梨苹果橙,5,2009-12-26 20:23:19,1,喜欢任性。。。
朱大侠。,5,2011-07-18 14:46:53,3,上回孙燕姿唱李偲菘写的“我要的幸福”，唱到泪洒录音室，这回她唱李伟菘写的“风筝”，难度跟“我要的幸福”一样高，整体感觉呈现如恩雅般的空灵质感，悠远又震慑人心，连高音清唱时的几度喘气声都被原汁原味的收录在歌曲当中。
五月之星,5,2007-10-07 22:52:58,1,kate，kite
牛腩羊耳朵,5,2008-02-20 13:12:17,3,喜欢逃亡。
每天一粒茶叶蛋,5,2011-04-04 23:58:59,0,TT
❤  立 夏 。,5,2010-09-03 09:27:01,3,2001年。十三歲。骨子裏充滿叛逆意識，卻要在父母面前假裝乖巧。風箏讓我聽到心底最寧靜的聲音。那年，我有了我的初戀。
Spheniscidae,NaN,2008-12-12 22:57:55,2,是她最大的成就之一
Felix,4,2010-01-09 16:47:51,1,孙燕姿风筝
洗头油|盖盖儿,5,2008-12-08 21:57:39,1,余诗孟。你很美。
Chimney,NaN,2009-09-03 23:54:38,1,2001/孙燕姿
psy,4,2009-03-07 02:10:44,1,某人的偶像
Lillian,5,2010-09-17 08:07:42,1,这盘磁带被我听到坏掉
Carrie,5,2014-02-09 13:49:46,1,任性逃亡练习
Shining,4,2007-12-03 11:24:50,0,天上的风筝哪去了...
Silence🌸🌸,5,2021-04-04 07:16:56,2,这张也有20年了呀
绿腰,3,2008-03-06 03:21:02,1,有几首很不错，其余完全不喜欢...
ILYZ,5,2008-09-19 19:47:36,0,我爱燕姿
璀璨的星空,5,2009-12-30 14:30:19,0,借过同学的卡带听……
jude,4,2009-02-25 10:41:48,0,人总是不能太容易感动
哲雄,4,2010-06-05 14:42:18,0,是从《绿光》开始听这张专辑的。
blueblue,5,2009-12-06 20:42:15,0,风筝
狐,4,2009-06-21 14:45:21,0,错过这世界有什么可惜，我已经有你……
Yuennnnn,5,2009-12-01 23:37:56,0,毋须多言
辞掉工作买大彩,4,2007-10-31 16:09:32,0,好像是从这张专辑开始红了。。。
Seashell这样啊,4,2008-12-02 22:49:51,0,逃亡~
北流,5,2012-03-08 01:50:01,2,那时候的每首基本都喜欢觉得太意外
Mellr,5,2008-12-30 11:19:13,1,绿光也算是快歌中的上好之作了
