user_name,star,comment_time,vote,short
停用豆瓣勿cue,4,2011-11-10 20:41:14,456,「花海」「说好的幸福呢」「兰亭序」「稻香」
MeetMeinaMaze,3,2012-07-31 22:28:32,301,连膝盖都会写歌的人怎么会江郎才尽？对于一出道就拿了95分的人不要苛求太多。再说难听点你不喜欢有人喜欢嘛。
韧勉,3,2008-10-18 21:10:56,146,就喜欢花海
熟客思春期,4,2018-03-31 23:29:17,69,倒是觉得这张比牛仔好。初中时候全班放过大概不下100次《稻香》。在那样年轻又和平的年代，假装投入的体会归乡这类成熟事。真不愧是90后。
猫打喷嚏,3,2010-04-27 19:43:05,69,这张让我很崩溃。。
宇文宙,4,2015-03-01 10:50:57,70,回头听这张专辑其实挺不错的，当时有点被低估了。
DeerColin,3,2013-04-13 10:00:21,18,《给我一首歌的时间》《花海》《魔术先生》《乔克叔叔》这唱腔，悲剧的开始。。。目前喜欢《流浪诗人》
33迟来_小小岛,5,2014-01-02 16:35:11,38,给我一首歌的时间稻香说好的幸福呢花海
Song³,3,2008-10-21 18:53:17,22,三星半。几乎秉承了他近几年来的流水线作业，没有新意、只有耐力。//第20届金曲奖最佳国语男歌手。《稻香》获年度最佳歌曲奖。
斯 琰 🌈 🍭,4,2012-08-23 08:38:15,5,今天突然又看到这张专辑貌似这是最后一次我依然被他小小的感动……
Bill,3,2009-07-02 20:09:16,18,词曲退步唱功上面有些不够放得开在音乐上寻找突破是件挺困难的事情
zard砸得王大崩,3,2008-10-21 20:30:47,26,因为稻香所以三星半
冰山李,4,2008-10-18 20:11:49,8,近四年来最好的一张
PabloHoney,3,2008-11-11 21:20:37,11,如果不是周杰伦，我就给不及格分了
阿落,3,2011-11-06 03:12:45,10,我很想找出继续喜欢他的理由但……
锐利修蕊,3,2020-04-24 00:06:28,24,早期歌迷开始脱粉，后期流行化大开大合，这张让周杰伦开始吸纳更多的人群，专辑做的更加主流，几首情歌做的很好，尤其《说好的幸福呢》。如今觉得一些怪异的歌，是他对曾经才华的加固，那些娘娘的部分也拿捏的很好，我喜欢《蛇舞》和《乔克叔叔》，《魔术先生》副歌厉害！金曲奖补救给了第一次歌王，但这张确实也唱的很好，尤其《花海》，就是他已经没有做出，那种能让人惊喜专辑的能力。
阿朽,3,2008-10-02 18:21:56,4,听多了觉得还不错
tlmgt,4,2011-06-07 00:31:50,5,时光机花海。
吴嘎嘎,3,2008-10-19 22:49:28,4,一首歌的时间
Rebecca,3,2008-10-16 19:47:06,6,再也不能和从前相比。
岛上的夏奈,2,2021-08-08 12:32:55,7,真的被这一张的唱腔油到！
眠去,3,2008-11-09 17:25:05,1,乔克。
香水瓶,5,2009-03-25 14:59:18,7,Jay对不起但既然已经流出了我忍不住不down来听正版上市时我会去买的
加州站街男孩,3,2008-11-30 20:40:59,0,里面几首不错，杰伦好娘，HOHO，真欢乐～～
Seine,NaN,2008-10-04 18:39:38,0,恩，抢先版删了不少，好容易找到一家在线
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,4,2008-10-04 00:14:47,3,用心了.谢谢.
川总,4,2011-11-01 20:22:06,0,我觉得还行啊。。。。
令糊葱,3,2008-10-18 04:22:36,0,重新认真听了一遍，发现没有第一遍听那么反感了。
人淡如菊。无奈,4,2008-10-13 11:15:02,1,说好的幸福呢乔克叔叔稻香
usquebaugh,4,2008-11-05 19:53:41,3,偶像会老但请不要消失。
草威,NaN,2008-11-20 12:15:56,1,中孝介
了了,4,2008-10-26 16:36:18,0,只听到一首还不能下定论
小偷|隐忍沉定,1,2008-10-21 05:56:37,5,还是没听懂他在唱什么
不宁,2,2008-10-02 11:46:53,0,完全无语了。
钟,1,2008-12-24 23:38:24,3,真是不好听啊。
尉迟,3,2008-10-16 23:00:18,0,听起来不像内地版封套那么雷人。
不万能青年,5,2012-07-07 15:25:01,2,不要哭，让萤火虫带着你逃跑。
小狐狸BOBO,3,2008-10-26 20:04:50,0,周董是尊稱吧，就算不能認同，也實在找不出能夠分庭抗禮的對象。
莊小壞,1,2009-06-19 14:33:49,1,1－－－简直就是糟糕到无以复加的地步。
熊猫没彩照,2,2015-09-08 15:27:14,1,重复自己。
大橘喵子^ ^,4,2009-03-23 20:34:02,1,都挺好听的，但是缺少了经典~~
BlackScholes,3,2012-12-09 05:14:38,1,给我一首歌的时间时光机稻香
mee,3,2009-02-07 00:41:13,3,实得三星半。风格杂乱，还想学一把平井坚，就你那嗓子你学的来么。最好的是《流浪诗人》，正经音乐。
夏日良人°,2,2008-10-26 13:06:07,0,他的唱腔越来越奇怪了。
乐化天,3,2008-10-02 13:36:20,1,支离破碎，文气不通，还算能听
crascopy,3,2020-06-26 00:40:41,18,77/100除了稻香大部分都没什么意思*突然想到了一个传言说什么周杰伦不听其他流行音乐，但每次旅行总要收集当地的民族音乐听。虽然我不信周杰伦真不听同行的作品，但是这个段子是可以反应他的创作精髓，既广博的曲风拼贴，以rnb为主体再辅以优秀的旋律制作出万花筒般令人炫目的作品。但是他可能确实是没有认真当过乐迷，过于依赖天赋了，导致年纪大旋律写作能力衰退以后对于各种曲风的运用都显得很幼稚（其实巅峰期，这些元素本身也没有很“成熟”，只是在主体为rnb的前提下当成佐料辅助很成熟罢了）。而那些乐迷力深的艺人，即使写歌灵气衰退，也能转向晦涩做出一些还蛮像样的作品
Tatiana,4,2008-11-11 19:37:41,4,稻香
不擅长,2,2010-07-20 10:44:32,0,9稻香http://www.xiami.com/album/304683
Inevitable,5,2008-11-05 23:31:52,3,周杰伦是一个情结无论多少年
17950,NaN,2008-11-01 01:11:30,0,这会我想我可能不会再听第二次…
essence.c,2,2014-07-11 09:41:30,0,【给我一首歌的时间】【龙战骑士】
leon mai,3,2009-02-06 23:19:44,1,唉...这不是他最差的一张...这样就好。
eveilebi,4,2013-07-29 22:11:30,0,该听的也基本都听过，虽已不如从前，但还有些脍炙人口的好歌。
Ms.蔡藍三,2,2008-11-30 10:09:54,0,不会变化了吗？
神秘金针菇,1,2010-09-17 15:04:10,0,毫无价值的胡闹
