user_name,star,comment_time,vote,short
Kreuzberg,5,2010-11-01 15:55:53,474,窦唯有一把好嗓子，真可惜他哑巴了。
伪会计,5,2013-04-25 23:36:04,195,窦唯是最好的情人
阿朽,5,2009-07-13 22:30:08,172,那年代实在屌
维舟,5,2019-03-24 19:10:04,92,重温了下神作。大学时因为室友常放黑豹，连带着也听了魔岩三杰，当时对摇滚所知甚浅，对窦唯这张专辑当时真是惊为天人，让人听得惝恍迷离，音乐固然极具魔力，各首歌之间连贯为一体，歌词也写得很好，可说大大扩展了我的感官世界，很多年里都再未有过这样的感觉。
tlmgt,3,2012-04-08 17:47:36,81,“当时台湾制作人限制了黑梦本来的音乐倾向，所以窦唯讨厌录音版黑梦”
神不能法式湿吻,5,2013-09-17 14:01:53,50,为什么到今天这张唱片还是会让人觉得惊艳？
SilentTyler,5,2015-01-17 19:40:05,43,黑色梦中，太前卫，在这个烂国度里太纯洁
普通美,NaN,2012-02-08 13:34:10,75,听窦唯难道不会激动到哭么？中国最有才华的男人
夜国,4,2010-11-16 08:12:47,31,不奇怪当年的王菲会爱上窦唯
夏日扬帆,4,2013-04-26 20:27:29,56,就听cd我都能感觉到窦唯那股子帅劲
饭夫斯基,5,2011-03-02 17:07:32,20,有人告诉我，很多人喜欢Radiohead的Creep，那是因为这首歌唱的好像就是他们自己。窦唯这张专辑每一首歌都好像唱的是我自己，尤其是在昨晚地狱一般的梦中挣扎时，像要摆脱火的焚烧，今天再听到“黑色梦中”格外戚戚。我好想躲到厕所里哭一场。就用这个封面的姿势。
感情丰富的毛巾,5,2020-08-08 21:24:46,14,真就超了同行10到20年呗，94年做出这样的专辑，真的太前卫了。
Psychocandy,4,2013-10-14 11:42:30,9,沮丧听好音乐是多么地令人精神抖擞。
蕉,5,2010-07-28 18:26:43,51,感谢国家出过这样一个人，最后疯魔地对着我们笑
Song³,5,2009-04-22 13:55:19,36,开心电话
半點,5,2009-05-18 13:56:50,30,在那個資源缺乏的年代，我反復地聽著『黑夢』，并為之深深著迷。“夢中沒有錯與對，夢中有安也有危，夢的時代我在胡說，夢醒時刻才會解脫，我不知道，我不能去說，我不能不能……”
强叔,5,2013-01-26 00:55:29,52,头一次用ZUNE听黑梦，黑色梦中间奏的鼓点突然让自己空了……空了！空了！
澈黑,4,2010-10-11 13:59:15,11,......咋感觉国内音乐的鼓点全都一个模式啊
不万能青年,5,2013-04-18 18:57:49,15,矛盾虚伪贪婪欺骗，幻想疑惑简单善变，好强无奈孤独脆弱，忍让气忿复杂讨厌。
索君,5,2011-11-08 14:28:12,19,远方，梦境，黑色。我曾以為他是趨近于完美的男人，隔著夢境與世間相望，現實如夢，夢如現實。他的掙扎憤怒夢想追逐都顯得冰冷起來在才華橫溢的編曲下，身體懸浮，靈魂出竅，然後內心飄蕩起一些觸不到的傷口，它曾在我身上生根發芽，我缺沒有看它拔節成長，它們終究隨著我的懦弱膽小而藏匿與身體某個角落。
frodo,5,2010-08-19 22:58:00,16,所以说天才是和时代与环境无关的，他们生下来就是天才。
佐罗大王🌸,5,2011-01-20 22:27:23,23,十多年前我是幼稚小学生，哥哥是装逼小文青。一遍遍给我读歌词。当时只觉好听，而如今我渐渐领会更多。
DeerColin,5,2015-07-11 07:20:25,18,听了窦唯，才觉得王菲【浮躁】的一切，都是窦唯所给！
♬ CaR,5,2012-06-04 12:49:18,16,实在太好听。
virgin,5,2010-03-15 21:09:19,8,窦儿啊!我亲切的呼唤你!:)。。
收音鸡·耳東,5,2012-03-24 16:28:50,5,窦儿啊!我们亲切的呼唤你!:)~~已收CD:)~~
格几。,5,2010-01-06 20:00:45,7,去年，有一天我去报考一个外省的学校。报名的老师似乎是在哼上帝保佑。。我惊到了，、。
yum,5,2010-01-27 10:53:56,5,立刻就能进入状态，然后飞了？
讓-克勞德.浮雲,5,2008-06-07 18:09:29,3,拼接的艺术，梦是无序的，但又经常相连
小鹿e^x,5,2013-08-08 19:28:33,4,《明天更漫长》和《高级动物》都很喜欢，我没听错...《开心电话》最后唱的可是王菲?这首和《上帝保佑》都是写给她的吧?
冰山的阴影,5,2013-03-30 22:05:13,8,当八十年代末的理想青年们跟着在人道主义和寻根意识的的呐喊里一遍遍声嘶力歇的多年后，很多人也开始慢慢变回了自己。这时窦唯带着他的梦来了，无须唤醒一个时代的良知，却也不是仅仅取悦感官的表层刺激，它私密、独立，充满着想像力。并且最终在梦中找到了从低调到升华的出路。
Codex,5,2011-06-24 09:57:58,7,这张专听了这么久，但只要《明天更漫长》的前奏一起，心还是会震颤。这已然不是窦唯有才华的问题，他了解心灵的状态，一种复杂的自由与羁绊。
命运的深渊,4,2007-02-05 15:26:20,3,当1994年我第一次听到这张专集的时候，最大的一个疑问就是窦唯怎么不唱高音了？当时对窦唯的印象是和黑豹捆绑在一起的，窦唯的第一张个人专集出乎所有人的意料。1994年的时候几乎所有的摇滚乐仍然是以模仿为主，激昂而高亢，在这种大环境中窦唯给我们带来了《黑梦》，一张抑郁而神秘的专集，提醒我们，窦唯，和他们不同。
范德一彪 Alex,5,2012-09-23 12:06:01,2,窦唯的幽暗和我的阴霾，交相辉映的一年。磁带夜晚幽墙
im_weak,5,2013-08-07 14:11:49,3,黑色的梦，窦唯由曾经的高亢到现在的低吟，山水往复，流入心田。迎合着自己的心，探索的前路，梦一般迷幻，发现一切尽是黑色的。
L I M O,4,2010-08-23 22:39:00,2,黑夢。
肖浑,3,2009-11-01 19:16:03,7,一听就想睡觉
1968小金,5,2008-04-28 15:34:14,3,听1万次也不厌
Luffyjun,5,2016-01-28 15:18:03,7,94年的音乐啊~碉堡了~鼓点不能再赞
Enjoy🌈Rachel,5,2012-06-22 03:45:17,7,！要做窦唯脑残粉！！
马来可,NaN,2008-02-23 09:19:59,6,1994年是多美好的一年啊！！！
果酱☮,5,2008-12-10 20:19:01,4,噢，高级动物
韧勉,5,2010-09-06 14:50:51,3,痴迷中~
91.7,5,2010-11-04 11:27:03,3,哦我愛你是不是來的太遲
RIC,4,2011-07-23 20:15:52,5,不好意思，我对国内和国外音乐的评价标准是一样的~
繪心,5,2010-02-19 21:31:35,3,就是上帝的梦
playdead,NaN,2007-04-01 11:40:52,5,中国摇滚的颠峰之作
𝙎𝙥𝙖𝙧𝙠𝙮 | ✟,5,2008-08-15 18:55:28,6,黑色的梦不一定悲伤。
查尔斯公主,5,2020-07-21 17:37:32,4,看封面还以为是那种极其阴暗的作品，后来发现很多歌还都挺积极的。还有吉他和bass的solo都非常舒服。非常喜欢《黑色梦中》的前奏。
中秋,NaN,2018-02-02 13:06:38,5,这是一张完美的预言
小魔@优雅穿梭,4,2010-12-04 17:08:48,2,窦唯真的有好几张脸
Topfun,5,2012-04-01 05:10:29,2,窦大仙
zk,5,2011-04-13 20:22:25,6,如果他没有成仙，一直这样该多好？
Ridden,NaN,2009-11-06 21:01:16,2,高级动物。
Hao,5,2014-11-12 12:32:33,1,……
时以星,4,2012-10-05 00:33:20,2,你必走向一条世人不知的路。
blackstar,5,2012-04-22 12:13:15,2,窦唯最好的时期。
息为,3,2015-10-10 20:37:38,3,作为一种试金石以及黑历史的存在。
武侠小王子,5,2009-11-10 22:37:55,4,太他妈牛B了。
儿童成长手册,5,2020-04-29 21:48:04,12,没有值得羡慕的年代，也没有人是特别的。
Summer孙夏天,3,2011-08-21 19:50:57,0,3.5，明天更漫长
小M,4,2009-09-05 14:58:00,0,那时的你真好。
Wongsorry,NaN,2010-07-01 15:02:39,1,这都10多年了，还是挺爽！！！！
你今日飲咗未,5,2011-12-16 21:41:56,2,我爱死这王八蛋了。
小小玛丽奥,5,2010-12-08 10:08:12,1,现在的心境，还是比较喜欢这张
Cross,5,2010-02-24 17:29:10,3,谁能不爱当年的窦唯
苇间疯,5,2014-03-07 16:56:03,5,《黑色梦中》，迷幻到极致几乎成了弥撒。
一絲不掛,4,2010-03-01 21:03:29,3,明天更漫长，黑色梦中还有你开心电话，从命，感觉时刻悲伤的梦，噢！乖，高级动物上帝保佑！
不擅长,4,2012-11-12 18:30:05,0,http://www.xiami.com/album/817
