user_name,star,comment_time,vote,short
DeerColin,5,2013-04-05 20:03:42,32,陈奕迅经典国语专辑之一，爱Eason〜
Bill,5,2007-09-16 22:08:58,23,这一张主基调有点灰暗在心情不好的时候听能得到一些慰藉
Song³,5,2007-11-22 18:05:04,12,英皇。最好的一张国语专辑。//LastOrder/我们都寂寞/幸福摩天轮/谢谢/寂寞奏鸣曲
Luffyjun,4,2013-03-25 18:24:07,5,《阿怪》《兄妹》《十年》
锐利修蕊,4,2018-09-19 21:10:34,8,小学时候听到斜对面男生，在自习的时候小声哼哼《十年》，喜欢他的女孩和我说感觉陈奕迅也蛮有“味道”的，那便是我们听到陈奕迅的第一首歌，也是陈奕迅开辟大陆市场最“得心应手”的一首，如今想来却是“少年不识愁滋味”，才过了人生的第一个“十年”，又怎么能听懂陈奕迅？后来听《世界》和《谢谢》，以及《寂寞奏鸣曲》和《LastOrder》歌里面刻画的都是一个下班后独居的男人，不需要爱情更不需要寂寞。这张概念定性为“黑白灰”的专辑，将男人人生中的状态浓缩成极为简朴的，又不是渺小不可提的。《我们都寂寞》说的是“没爱好难过，有爱算什么”大概能说明这个时代年轻人的虚妄和迷惘。时至今日无论如何，都还是不要随波逐流，活的像一句广告才是。
RD,5,2008-08-21 19:58:00,4,最棒的一张
zard砸得王大崩,4,2006-12-14 16:00:43,5,国语总觉得比粤语差点味道
塘坑一姐小渡边,4,2018-06-09 15:12:25,2,LastOrder、谢谢、兄妹、十年（明年今日）、要你的、阿怪
Summer孙夏天,4,2011-06-18 19:05:58,1,LastOrder，世界，谢谢，兄妹
1806,5,2022-01-27 18:35:16,2,《兄妹》是为数不多的eason国语词作胜过粤语的一首
小狐狸BOBO,4,2005-11-26 19:02:55,1,无人不知的十年，黑白灰是永恒的经典，现在的EISON胖了许多，却也平和了许多，是好事一件！
乡愁,5,2011-03-27 09:16:32,3,哎呀呀，这专辑真是好，从头听到尾，首首都是佳作。/“他说时间好快，还没试过亲身种小麦；阿怪说时间好快，来不及到北极看苔原带；阿怪说时间好快，来不及看一朵花怎么盛开；他真的真的好奇怪，说没有时间谈个恋爱。”
谁亲爱的偏执狂,5,2010-10-09 10:03:36,1,鼎盛的国语专辑，但不是我最爱的。。不过兄妹和阿怪都很经典。。我们都寂寞虽然很诡异但一听就停不下来。。
Topfun,5,2012-03-21 00:33:50,0,经典色
伊豆,5,2007-02-02 12:13:42,0,那些黑色白色灰色的过往，将永远铭刻在记忆中，音乐一起，便翻涌而出……
莊小壞,4,2009-03-25 22:17:49,0,4.2－－－曾经一起听的，十年。
落羽杉,5,2010-12-31 14:17:01,1,他最好的国语专辑。
BlackScholes,4,2014-02-23 03:29:33,0,十年，　兄妹
KeneL裤头,5,2008-01-06 09:17:13,0,小学买的卡带.因为这张专辑黑白灰成为我最爱的颜色.
ice cream,5,2010-08-29 02:33:25,1,在很久很久以前，就是这张让我接触咯所谓的流行，后来发现也是为数不多比较喜欢的流行之一。
kiminimuchu,5,2010-03-23 19:17:57,0,这张专辑对我有特殊的意义
冰糖木耳,5,2009-12-26 13:15:02,1,这张太好听啦~~
米粒,5,2010-07-26 10:10:13,2,神作
薇羅尼卡,4,2006-02-01 23:40:52,0,多年后再次回顾，最爱的竟然是《LastOrder》，并且专辑前半部分的街曲也再难打动我的心。果然人都不是长情的动物。
安东妮,4,2006-01-21 14:55:03,0,lastorder寂寞奏鸣曲
詹尼金,4,2008-07-20 14:40:05,0,2003年发行的黑白灰是我买的第一张医生，即便日后拨云见日，也仍然认为这张砖水准很高好歌如云，以至于都没人记得这首《世界》，陈小霞的曲自不必说，姚若龙的词也很好。原来爱情的世界很大、塞了多少幸福还是有空虚、原来爱情的世界很小、被一脚踩过就变成废墟。
沉歌,5,2008-04-20 00:13:35,0,Eason
RoJay,4,2013-05-02 15:08:03,0,兄妹和十年烂大街，喜欢世界和谢谢多点。
悬溯,3,2010-07-01 16:05:49,0,soso
Seamoon,5,2010-06-05 23:09:55,0,陈奕迅最好的国语专辑。这张专辑对于我，是白色。
铎奇,3,2009-12-02 12:43:25,0,那年这张专辑很火，跟风买了一张。结果。
朱朱朱古力♥,5,2008-07-03 04:10:49,0,能打十颗星么？
