user_name,star,comment_time,vote,short
長閑,5,2013-05-29 19:10:44,746,叶子用坠落证明换季，可我昏昏沉沉没有办法醒。
高歌,5,2012-10-17 23:04:15,417,周杰伦陶喆王力宏孙燕姿蔡依林，有这五位的流行乐时代真让人怀念。
香水瓶,4,2006-08-02 23:21:33,388,都好听，我最喜欢《蝴蝶》。
Doublebitch,5,2008-12-21 13:11:42,137,最喜欢陶喆的一张
薇羅尼卡,5,2006-04-18 17:06:16,105,二十二的我，遇到了陶喆~~喜欢很多歌，我今年二十二
MeetMeinaMaze,5,2012-02-22 13:14:09,47,专辑发行那年我还不晓得两个“吉”放一起该怎么念。
知识雪豹,5,2012-08-17 15:53:05,31,华语男歌手里最好的R&B专辑之一
Bill,5,2007-05-21 23:25:20,51,争议掩盖不了的有思想的音乐今天晚间新闻depressinglyhopeful有思想的音乐
停用豆瓣勿cue,4,2013-02-14 00:03:34,28,陶喆所有专辑中无疑最爱这张
DeerColin,5,2012-12-03 12:46:38,33,这简直是一张神砖，从《找自己》认识陶喆，从《普通朋友》喜欢他，但从没有将他的专辑完整听一遍。今天完整地听完这张《黑色柳丁》，太完美了，太有才了，太好听了，不愧是R&B的教父级人物！！！
朴九月,5,2010-02-16 18:49:48,18,陶喆最好的专辑。
张恩勾,5,2006-10-09 00:08:47,24,陶大师第一个三部曲的结束。概念专辑的模样已经突现。
杉九九,5,2010-03-31 10:19:36,16,不管我听再多的专辑始终最爱的是陶吉吉的这黑色柳丁
普通小葉,5,2013-07-30 00:11:46,6,最好的一张
Bill,5,2009-08-17 19:57:08,9,陶喆最好的专辑，也是R&B风格里最耐听的一张。
坏人瓦卡卡卡卡,4,2013-05-14 09:51:43,9,多元化巅峰之作
MOMO,4,2007-11-07 19:18:59,3,DAVID最好的专辑，期待超越
Kreuzberg,5,2012-05-09 19:40:24,5,陶喆！
L I M O,5,2007-06-25 23:14:47,6,壞掉的橙。
KeneL裤头,5,2006-08-27 15:19:18,9,如此完整的一张唱片，从头到尾不带一点多余的成分.最爱他这一张.
Song³,5,2008-10-07 13:04:56,9,黑色柳丁/Melody/二十二/月亮代表谁的心/Angel/摇篮曲
卢十四,4,2014-12-09 16:08:23,6,终于发现听这类音乐的秘诀了，那就是：别走心。
